,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 October 2017 00:00,2539,-,Ireland
1,1 October 2017 00:15,2528,-,Ireland
2,1 October 2017 00:30,2488,-,Ireland
3,1 October 2017 00:45,2434,-,Ireland
4,1 October 2017 01:00,2396,-,Ireland
5,1 October 2017 01:15,2362,-,Ireland
6,1 October 2017 01:30,2322,-,Ireland
7,1 October 2017 01:45,2283,-,Ireland
8,1 October 2017 02:00,2263,-,Ireland
9,1 October 2017 02:15,2230,-,Ireland
10,1 October 2017 02:30,2194,-,Ireland
11,1 October 2017 02:45,2173,-,Ireland
12,1 October 2017 03:00,2161,-,Ireland
13,1 October 2017 03:15,2141,-,Ireland
14,1 October 2017 03:30,2142,-,Ireland
15,1 October 2017 03:45,2144,-,Ireland
16,1 October 2017 04:00,2131,-,Ireland
17,1 October 2017 04:15,2140,-,Ireland
18,1 October 2017 04:30,2143,-,Ireland
19,1 October 2017 04:45,2151,-,Ireland
20,1 October 2017 05:00,2166,-,Ireland
21,1 October 2017 05:15,2177,-,Ireland
22,1 October 2017 05:30,2163,-,Ireland
23,1 October 2017 05:45,2150,-,Ireland
24,1 October 2017 06:00,2176,-,Ireland
25,1 October 2017 06:15,2207,-,Ireland
26,1 October 2017 06:30,2224,-,Ireland
27,1 October 2017 06:45,2258,-,Ireland
28,1 October 2017 07:00,2292,-,Ireland
29,1 October 2017 07:15,2363,-,Ireland
30,1 October 2017 07:30,2343,-,Ireland
31,1 October 2017 07:45,2350,-,Ireland
32,1 October 2017 08:00,2421,-,Ireland
33,1 October 2017 08:15,2524,-,Ireland
34,1 October 2017 08:30,2610,-,Ireland
35,1 October 2017 08:45,2704,-,Ireland
36,1 October 2017 09:00,2755,-,Ireland
37,1 October 2017 09:15,2816,-,Ireland
38,1 October 2017 09:30,2871,-,Ireland
39,1 October 2017 09:45,2940,-,Ireland
40,1 October 2017 10:00,2992,-,Ireland
41,1 October 2017 10:15,3058,-,Ireland
42,1 October 2017 10:30,3067,-,Ireland
43,1 October 2017 10:45,3090,-,Ireland
44,1 October 2017 11:00,3135,-,Ireland
45,1 October 2017 11:15,3154,-,Ireland
46,1 October 2017 11:30,3199,-,Ireland
47,1 October 2017 11:45,3207,-,Ireland
48,1 October 2017 12:00,3245,-,Ireland
49,1 October 2017 12:15,3288,-,Ireland
50,1 October 2017 12:30,3286,-,Ireland
51,1 October 2017 12:45,3298,-,Ireland
52,1 October 2017 13:00,3308,-,Ireland
53,1 October 2017 13:15,3298,-,Ireland
54,1 October 2017 13:30,3252,-,Ireland
55,1 October 2017 13:45,3242,-,Ireland
56,1 October 2017 14:00,3204,-,Ireland
57,1 October 2017 14:15,3170,-,Ireland
58,1 October 2017 14:30,3156,-,Ireland
59,1 October 2017 14:45,3139,-,Ireland
60,1 October 2017 15:00,3103,-,Ireland
61,1 October 2017 15:15,3101,-,Ireland
62,1 October 2017 15:30,3080,-,Ireland
63,1 October 2017 15:45,3077,-,Ireland
64,1 October 2017 16:00,3082,-,Ireland
65,1 October 2017 16:15,3121,-,Ireland
66,1 October 2017 16:30,3071,-,Ireland
67,1 October 2017 16:45,3118,-,Ireland
68,1 October 2017 17:00,3152,-,Ireland
69,1 October 2017 17:15,3186,-,Ireland
70,1 October 2017 17:30,3229,-,Ireland
71,1 October 2017 17:45,3240,-,Ireland
72,1 October 2017 18:00,3282,-,Ireland
73,1 October 2017 18:15,3305,-,Ireland
74,1 October 2017 18:30,3329,-,Ireland
75,1 October 2017 18:45,3361,-,Ireland
76,1 October 2017 19:00,3404,-,Ireland
77,1 October 2017 19:15,3472,-,Ireland
78,1 October 2017 19:30,3540,-,Ireland
79,1 October 2017 19:45,3544,-,Ireland
80,1 October 2017 20:00,3503,-,Ireland
81,1 October 2017 20:15,3455,-,Ireland
82,1 October 2017 20:30,3372,-,Ireland
83,1 October 2017 20:45,3310,-,Ireland
84,1 October 2017 21:00,3262,-,Ireland
85,1 October 2017 21:15,3216,-,Ireland
86,1 October 2017 21:30,3150,-,Ireland
87,1 October 2017 21:45,3063,-,Ireland
88,1 October 2017 22:00,2993,-,Ireland
89,1 October 2017 22:15,2925,-,Ireland
90,1 October 2017 22:30,2835,-,Ireland
91,1 October 2017 22:45,2765,-,Ireland
92,1 October 2017 23:00,2691,-,Ireland
93,1 October 2017 23:15,2612,-,Ireland
94,1 October 2017 23:30,2540,-,Ireland
95,1 October 2017 23:45,2489,-,Ireland
96,2 October 2017 00:00,2440,-,Ireland
97,2 October 2017 00:15,2443,-,Ireland
98,2 October 2017 00:30,2381,-,Ireland
99,2 October 2017 00:45,2346,-,Ireland
100,2 October 2017 01:00,2314,-,Ireland
101,2 October 2017 01:15,2278,-,Ireland
102,2 October 2017 01:30,2216,-,Ireland
103,2 October 2017 01:45,2215,-,Ireland
104,2 October 2017 02:00,2151,-,Ireland
105,2 October 2017 02:15,2148,-,Ireland
106,2 October 2017 02:30,2104,-,Ireland
107,2 October 2017 02:45,2132,-,Ireland
108,2 October 2017 03:00,2151,-,Ireland
109,2 October 2017 03:15,2147,-,Ireland
110,2 October 2017 03:30,2149,-,Ireland
111,2 October 2017 03:45,2134,-,Ireland
112,2 October 2017 04:00,2129,-,Ireland
113,2 October 2017 04:15,2153,-,Ireland
114,2 October 2017 04:30,2150,-,Ireland
115,2 October 2017 04:45,2172,-,Ireland
116,2 October 2017 05:00,2155,-,Ireland
117,2 October 2017 05:15,2191,-,Ireland
118,2 October 2017 05:30,2214,-,Ireland
119,2 October 2017 05:45,2265,-,Ireland
120,2 October 2017 06:00,2368,-,Ireland
121,2 October 2017 06:15,2520,-,Ireland
122,2 October 2017 06:30,2574,-,Ireland
123,2 October 2017 06:45,2724,-,Ireland
124,2 October 2017 07:00,2875,-,Ireland
125,2 October 2017 07:15,3108,-,Ireland
126,2 October 2017 07:30,3174,-,Ireland
127,2 October 2017 07:45,3280,-,Ireland
128,2 October 2017 08:00,3337,-,Ireland
129,2 October 2017 08:15,3444,-,Ireland
130,2 October 2017 08:30,3451,-,Ireland
131,2 October 2017 08:45,3499,-,Ireland
132,2 October 2017 09:00,3523,-,Ireland
133,2 October 2017 09:15,3541,-,Ireland
134,2 October 2017 09:30,3592,-,Ireland
135,2 October 2017 09:45,3589,-,Ireland
136,2 October 2017 10:00,3574,-,Ireland
137,2 October 2017 10:15,3564,-,Ireland
138,2 October 2017 10:30,3581,-,Ireland
139,2 October 2017 10:45,3580,-,Ireland
140,2 October 2017 11:00,3581,-,Ireland
141,2 October 2017 11:15,3593,-,Ireland
142,2 October 2017 11:30,3609,-,Ireland
143,2 October 2017 11:45,3602,-,Ireland
144,2 October 2017 12:00,3593,-,Ireland
145,2 October 2017 12:15,3619,-,Ireland
146,2 October 2017 12:30,3626,-,Ireland
147,2 October 2017 12:45,3611,-,Ireland
148,2 October 2017 13:00,3612,-,Ireland
149,2 October 2017 13:15,3553,-,Ireland
150,2 October 2017 13:30,3525,-,Ireland
151,2 October 2017 13:45,3520,-,Ireland
152,2 October 2017 14:00,3532,-,Ireland
153,2 October 2017 14:15,3526,-,Ireland
154,2 October 2017 14:30,3546,-,Ireland
155,2 October 2017 14:45,3524,-,Ireland
156,2 October 2017 15:00,3529,-,Ireland
157,2 October 2017 15:15,3547,-,Ireland
158,2 October 2017 15:30,3605,-,Ireland
159,2 October 2017 15:45,3586,-,Ireland
160,2 October 2017 16:00,3584,-,Ireland
