,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 September 2017 00:00,2508,-,Ireland
1,1 September 2017 00:15,2467,-,Ireland
2,1 September 2017 00:30,2424,-,Ireland
3,1 September 2017 00:45,2445,-,Ireland
4,1 September 2017 01:00,2407,-,Ireland
5,1 September 2017 01:15,2371,-,Ireland
6,1 September 2017 01:30,2338,-,Ireland
7,1 September 2017 01:45,2307,-,Ireland
8,1 September 2017 02:00,2281,-,Ireland
9,1 September 2017 02:15,2257,-,Ireland
10,1 September 2017 02:30,2243,-,Ireland
11,1 September 2017 02:45,2232,-,Ireland
12,1 September 2017 03:00,2221,-,Ireland
13,1 September 2017 03:15,2219,-,Ireland
14,1 September 2017 03:30,2214,-,Ireland
15,1 September 2017 03:45,2207,-,Ireland
16,1 September 2017 04:00,2213,-,Ireland
17,1 September 2017 04:15,2180,-,Ireland
18,1 September 2017 04:30,2181,-,Ireland
19,1 September 2017 04:45,2191,-,Ireland
20,1 September 2017 05:00,2209,-,Ireland
21,1 September 2017 05:15,2228,-,Ireland
22,1 September 2017 05:30,2250,-,Ireland
23,1 September 2017 05:45,2287,-,Ireland
24,1 September 2017 06:00,2361,-,Ireland
25,1 September 2017 06:15,2483,-,Ireland
26,1 September 2017 06:30,2511,-,Ireland
27,1 September 2017 06:45,2604,-,Ireland
28,1 September 2017 07:00,2743,-,Ireland
29,1 September 2017 07:15,2968,-,Ireland
30,1 September 2017 07:30,3100,-,Ireland
31,1 September 2017 07:45,3229,-,Ireland
32,1 September 2017 08:00,3289,-,Ireland
33,1 September 2017 08:15,3352,-,Ireland
34,1 September 2017 08:30,3370,-,Ireland
35,1 September 2017 08:45,3377,-,Ireland
36,1 September 2017 09:00,3413,-,Ireland
37,1 September 2017 09:15,3451,-,Ireland
38,1 September 2017 09:30,3469,-,Ireland
39,1 September 2017 09:45,3477,-,Ireland
40,1 September 2017 10:00,3474,-,Ireland
41,1 September 2017 10:15,3467,-,Ireland
42,1 September 2017 10:30,3463,-,Ireland
43,1 September 2017 10:45,3466,-,Ireland
44,1 September 2017 11:00,3467,-,Ireland
45,1 September 2017 11:15,3462,-,Ireland
46,1 September 2017 11:30,3470,-,Ireland
47,1 September 2017 11:45,3462,-,Ireland
48,1 September 2017 12:00,3466,-,Ireland
49,1 September 2017 12:15,3476,-,Ireland
50,1 September 2017 12:30,3482,-,Ireland
51,1 September 2017 12:45,3484,-,Ireland
52,1 September 2017 13:00,3465,-,Ireland
53,1 September 2017 13:15,3445,-,Ireland
54,1 September 2017 13:30,3404,-,Ireland
55,1 September 2017 13:45,3400,-,Ireland
56,1 September 2017 14:00,3382,-,Ireland
57,1 September 2017 14:15,3390,-,Ireland
58,1 September 2017 14:30,3374,-,Ireland
59,1 September 2017 14:45,3369,-,Ireland
60,1 September 2017 15:00,3368,-,Ireland
61,1 September 2017 15:15,3358,-,Ireland
62,1 September 2017 15:30,3363,-,Ireland
63,1 September 2017 15:45,3358,-,Ireland
64,1 September 2017 16:00,3358,-,Ireland
65,1 September 2017 16:15,3371,-,Ireland
66,1 September 2017 16:30,3390,-,Ireland
67,1 September 2017 16:45,3414,-,Ireland
68,1 September 2017 17:00,3433,-,Ireland
69,1 September 2017 17:15,3445,-,Ireland
70,1 September 2017 17:30,3509,-,Ireland
71,1 September 2017 17:45,3507,-,Ireland
72,1 September 2017 18:00,3489,-,Ireland
