,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 December 2018 00:00,3317,-,Ireland
1,1 December 2018 00:15,3258,-,Ireland
2,1 December 2018 00:30,3175,-,Ireland
3,1 December 2018 00:45,3115,-,Ireland
4,1 December 2018 01:00,3038,-,Ireland
5,1 December 2018 01:15,2987,-,Ireland
6,1 December 2018 01:30,2919,-,Ireland
7,1 December 2018 01:45,2876,-,Ireland
8,1 December 2018 02:00,2829,-,Ireland
9,1 December 2018 02:15,2791,-,Ireland
10,1 December 2018 02:30,2766,-,Ireland
11,1 December 2018 02:45,2722,-,Ireland
12,1 December 2018 03:00,2678,-,Ireland
13,1 December 2018 03:15,2643,-,Ireland
14,1 December 2018 03:30,2623,-,Ireland
15,1 December 2018 03:45,2606,-,Ireland
16,1 December 2018 04:00,2592,-,Ireland
17,1 December 2018 04:15,2605,-,Ireland
18,1 December 2018 04:30,2577,-,Ireland
19,1 December 2018 04:45,2587,-,Ireland
20,1 December 2018 05:00,2586,-,Ireland
21,1 December 2018 05:15,2616,-,Ireland
22,1 December 2018 05:30,2626,-,Ireland
23,1 December 2018 05:45,2628,-,Ireland
24,1 December 2018 06:00,2672,-,Ireland
25,1 December 2018 06:15,2734,-,Ireland
26,1 December 2018 06:30,2771,-,Ireland
27,1 December 2018 06:45,2812,-,Ireland
28,1 December 2018 07:00,2867,-,Ireland
29,1 December 2018 07:15,2967,-,Ireland
30,1 December 2018 07:30,2985,-,Ireland
31,1 December 2018 07:45,3062,-,Ireland
32,1 December 2018 08:00,3135,-,Ireland
33,1 December 2018 08:15,3173,-,Ireland
34,1 December 2018 08:30,3254,-,Ireland
35,1 December 2018 08:45,3323,-,Ireland
36,1 December 2018 09:00,3408,-,Ireland
37,1 December 2018 09:15,3485,-,Ireland
38,1 December 2018 09:30,3536,-,Ireland
39,1 December 2018 09:45,3580,-,Ireland
40,1 December 2018 10:00,3620,-,Ireland
41,1 December 2018 10:15,3660,-,Ireland
42,1 December 2018 10:30,3671,-,Ireland
43,1 December 2018 10:45,3673,-,Ireland
44,1 December 2018 11:00,3692,-,Ireland
45,1 December 2018 11:15,3705,-,Ireland
46,1 December 2018 11:30,3721,-,Ireland
47,1 December 2018 11:45,3724,-,Ireland
48,1 December 2018 12:00,3720,-,Ireland
49,1 December 2018 12:15,3736,-,Ireland
50,1 December 2018 12:30,3746,-,Ireland
51,1 December 2018 12:45,3726,-,Ireland
52,1 December 2018 13:00,3727,-,Ireland
53,1 December 2018 13:15,3706,-,Ireland
54,1 December 2018 13:30,3697,-,Ireland
55,1 December 2018 13:45,3670,-,Ireland
56,1 December 2018 14:00,3661,-,Ireland
57,1 December 2018 14:15,3653,-,Ireland
58,1 December 2018 14:30,3638,-,Ireland
59,1 December 2018 14:45,3654,-,Ireland
60,1 December 2018 15:00,3651,-,Ireland
61,1 December 2018 15:15,3680,-,Ireland
62,1 December 2018 15:30,3676,-,Ireland
63,1 December 2018 15:45,3727,-,Ireland
64,1 December 2018 16:00,3776,-,Ireland
65,1 December 2018 16:15,3872,-,Ireland
66,1 December 2018 16:30,3992,-,Ireland
67,1 December 2018 16:45,4088,-,Ireland
68,1 December 2018 17:00,4179,-,Ireland
69,1 December 2018 17:15,4228,-,Ireland
70,1 December 2018 17:30,4254,-,Ireland
71,1 December 2018 17:45,4243,-,Ireland
72,1 December 2018 18:00,4224,-,Ireland
73,1 December 2018 18:15,4170,-,Ireland
74,1 December 2018 18:30,4140,-,Ireland
75,1 December 2018 18:45,4094,-,Ireland
76,1 December 2018 19:00,4046,-,Ireland
77,1 December 2018 19:15,3986,-,Ireland
78,1 December 2018 19:30,3933,-,Ireland
79,1 December 2018 19:45,3855,-,Ireland
80,1 December 2018 20:00,3807,-,Ireland
81,1 December 2018 20:15,3762,-,Ireland
82,1 December 2018 20:30,3726,-,Ireland
83,1 December 2018 20:45,3670,-,Ireland
84,1 December 2018 21:00,3609,-,Ireland
85,1 December 2018 21:15,3536,-,Ireland
86,1 December 2018 21:30,3511,-,Ireland
87,1 December 2018 21:45,3443,-,Ireland
88,1 December 2018 22:00,3390,-,Ireland
89,1 December 2018 22:15,3339,-,Ireland
90,1 December 2018 22:30,3270,-,Ireland
91,1 December 2018 22:45,3246,-,Ireland
92,1 December 2018 23:00,3257,-,Ireland
93,1 December 2018 23:15,3301,-,Ireland
94,1 December 2018 23:30,3251,-,Ireland
95,1 December 2018 23:45,3189,-,Ireland
96,2 December 2018 00:00,3127,-,Ireland
97,2 December 2018 00:15,3100,-,Ireland
98,2 December 2018 00:30,3036,-,Ireland
99,2 December 2018 00:45,2980,-,Ireland
100,2 December 2018 01:00,2905,-,Ireland
101,2 December 2018 01:15,2849,-,Ireland
102,2 December 2018 01:30,2809,-,Ireland
103,2 December 2018 01:45,2780,-,Ireland
104,2 December 2018 02:00,2748,-,Ireland
105,2 December 2018 02:15,2714,-,Ireland
106,2 December 2018 02:30,2688,-,Ireland
107,2 December 2018 02:45,2646,-,Ireland
108,2 December 2018 03:00,2636,-,Ireland
109,2 December 2018 03:15,2616,-,Ireland
110,2 December 2018 03:30,2605,-,Ireland
111,2 December 2018 03:45,2578,-,Ireland
112,2 December 2018 04:00,2563,-,Ireland
113,2 December 2018 04:15,2568,-,Ireland
114,2 December 2018 04:30,2556,-,Ireland
115,2 December 2018 04:45,2532,-,Ireland
116,2 December 2018 05:00,2540,-,Ireland
117,2 December 2018 05:15,2542,-,Ireland
118,2 December 2018 05:30,2544,-,Ireland
119,2 December 2018 05:45,2546,-,Ireland
120,2 December 2018 06:00,2552,-,Ireland
121,2 December 2018 06:15,2601,-,Ireland
122,2 December 2018 06:30,2616,-,Ireland
123,2 December 2018 06:45,2640,-,Ireland
124,2 December 2018 07:00,2665,-,Ireland
125,2 December 2018 07:15,2699,-,Ireland
126,2 December 2018 07:30,2739,-,Ireland
127,2 December 2018 07:45,2763,-,Ireland
128,2 December 2018 08:00,2783,-,Ireland
129,2 December 2018 08:15,2784,-,Ireland
130,2 December 2018 08:30,2842,-,Ireland
131,2 December 2018 08:45,2903,-,Ireland
132,2 December 2018 09:00,2966,-,Ireland
133,2 December 2018 09:15,3063,-,Ireland
134,2 December 2018 09:30,3114,-,Ireland
135,2 December 2018 09:45,3171,-,Ireland
136,2 December 2018 10:00,3233,-,Ireland
137,2 December 2018 10:15,3288,-,Ireland
138,2 December 2018 10:30,3339,-,Ireland
139,2 December 2018 10:45,3354,-,Ireland
140,2 December 2018 11:00,3415,-,Ireland
141,2 December 2018 11:15,3450,-,Ireland
142,2 December 2018 11:30,3499,-,Ireland
143,2 December 2018 11:45,3523,-,Ireland
144,2 December 2018 12:00,3547,-,Ireland
145,2 December 2018 12:15,3622,-,Ireland
146,2 December 2018 12:30,3642,-,Ireland
147,2 December 2018 12:45,3610,-,Ireland
148,2 December 2018 13:00,3626,-,Ireland
149,2 December 2018 13:15,3610,-,Ireland
150,2 December 2018 13:30,3592,-,Ireland
151,2 December 2018 13:45,3574,-,Ireland
152,2 December 2018 14:00,3552,-,Ireland
153,2 December 2018 14:15,3545,-,Ireland
154,2 December 2018 14:30,3507,-,Ireland
155,2 December 2018 14:45,3480,-,Ireland
156,2 December 2018 15:00,3496,-,Ireland
157,2 December 2018 15:15,3528,-,Ireland
158,2 December 2018 15:30,3555,-,Ireland
159,2 December 2018 15:45,3556,-,Ireland
160,2 December 2018 16:00,3580,-,Ireland
161,2 December 2018 16:15,3644,-,Ireland
162,2 December 2018 16:30,3768,-,Ireland
163,2 December 2018 16:45,3873,-,Ireland
164,2 December 2018 17:00,3948,-,Ireland
165,2 December 2018 17:15,4022,-,Ireland
166,2 December 2018 17:30,4064,-,Ireland
167,2 December 2018 17:45,4036,-,Ireland
168,2 December 2018 18:00,3999,-,Ireland
169,2 December 2018 18:15,3988,-,Ireland
170,2 December 2018 18:30,3959,-,Ireland
171,2 December 2018 18:45,3930,-,Ireland
172,2 December 2018 19:00,3883,-,Ireland
173,2 December 2018 19:15,3836,-,Ireland
174,2 December 2018 19:30,3812,-,Ireland
175,2 December 2018 19:45,3793,-,Ireland
176,2 December 2018 20:00,3754,-,Ireland
177,2 December 2018 20:15,3721,-,Ireland
178,2 December 2018 20:30,3661,-,Ireland
179,2 December 2018 20:45,3623,-,Ireland
180,2 December 2018 21:00,3584,-,Ireland
181,2 December 2018 21:15,3523,-,Ireland
182,2 December 2018 21:30,3457,-,Ireland
183,2 December 2018 21:45,3371,-,Ireland
184,2 December 2018 22:00,3301,-,Ireland
185,2 December 2018 22:15,3231,-,Ireland
186,2 December 2018 22:30,3195,-,Ireland
187,2 December 2018 22:45,3124,-,Ireland
188,2 December 2018 23:00,3098,-,Ireland
189,2 December 2018 23:15,3110,-,Ireland
190,2 December 2018 23:30,3063,-,Ireland
191,2 December 2018 23:45,2986,-,Ireland
192,3 December 2018 00:00,2921,-,Ireland
193,3 December 2018 00:15,2869,-,Ireland
194,3 December 2018 00:30,2809,-,Ireland
195,3 December 2018 00:45,2754,-,Ireland
196,3 December 2018 01:00,2704,-,Ireland
197,3 December 2018 01:15,2666,-,Ireland
198,3 December 2018 01:30,2629,-,Ireland
199,3 December 2018 01:45,2603,-,Ireland
200,3 December 2018 02:00,2577,-,Ireland
201,3 December 2018 02:15,2551,-,Ireland
202,3 December 2018 02:30,2538,-,Ireland
203,3 December 2018 02:45,2526,-,Ireland
204,3 December 2018 03:00,2520,-,Ireland
205,3 December 2018 03:15,2516,-,Ireland
206,3 December 2018 03:30,2510,-,Ireland
207,3 December 2018 03:45,2515,-,Ireland
208,3 December 2018 04:00,2505,-,Ireland
209,3 December 2018 04:15,2517,-,Ireland
210,3 December 2018 04:30,2493,-,Ireland
211,3 December 2018 04:45,2495,-,Ireland
212,3 December 2018 05:00,2514,-,Ireland
213,3 December 2018 05:15,2551,-,Ireland
214,3 December 2018 05:30,2582,-,Ireland
215,3 December 2018 05:45,2606,-,Ireland
216,3 December 2018 06:00,2693,-,Ireland
217,3 December 2018 06:15,2843,-,Ireland
218,3 December 2018 06:30,2925,-,Ireland
219,3 December 2018 06:45,3060,-,Ireland
220,3 December 2018 07:00,3214,-,Ireland
221,3 December 2018 07:15,3449,-,Ireland
222,3 December 2018 07:30,3560,-,Ireland
223,3 December 2018 07:45,3705,-,Ireland
224,3 December 2018 08:00,3781,-,Ireland
225,3 December 2018 08:15,3823,-,Ireland
226,3 December 2018 08:30,3802,-,Ireland
227,3 December 2018 08:45,3819,-,Ireland
228,3 December 2018 09:00,3829,-,Ireland
229,3 December 2018 09:15,3879,-,Ireland
230,3 December 2018 09:30,3913,-,Ireland
231,3 December 2018 09:45,3926,-,Ireland
232,3 December 2018 10:00,3909,-,Ireland
233,3 December 2018 10:15,3902,-,Ireland
234,3 December 2018 10:30,3900,-,Ireland
235,3 December 2018 10:45,3806,-,Ireland
236,3 December 2018 11:00,3808,-,Ireland
237,3 December 2018 11:15,3806,-,Ireland
238,3 December 2018 11:30,3813,-,Ireland
239,3 December 2018 11:45,3810,-,Ireland
240,3 December 2018 12:00,3807,-,Ireland
241,3 December 2018 12:15,3816,-,Ireland
242,3 December 2018 12:30,3824,-,Ireland
243,3 December 2018 12:45,3821,-,Ireland
244,3 December 2018 13:00,3802,-,Ireland
245,3 December 2018 13:15,3766,-,Ireland
246,3 December 2018 13:30,3721,-,Ireland
247,3 December 2018 13:45,3714,-,Ireland
248,3 December 2018 14:00,3719,-,Ireland
249,3 December 2018 14:15,3741,-,Ireland
250,3 December 2018 14:30,3744,-,Ireland
251,3 December 2018 14:45,3760,-,Ireland
252,3 December 2018 15:00,3781,-,Ireland
253,3 December 2018 15:15,3823,-,Ireland
254,3 December 2018 15:30,3860,-,Ireland
255,3 December 2018 15:45,3889,-,Ireland
256,3 December 2018 16:00,3921,-,Ireland
257,3 December 2018 16:15,4036,-,Ireland
258,3 December 2018 16:30,4287,-,Ireland
259,3 December 2018 16:45,4463,-,Ireland
260,3 December 2018 17:00,4567,-,Ireland
261,3 December 2018 17:15,4655,-,Ireland
262,3 December 2018 17:30,4688,-,Ireland
263,3 December 2018 17:45,4680,-,Ireland
264,3 December 2018 18:00,4645,-,Ireland
265,3 December 2018 18:15,4606,-,Ireland
266,3 December 2018 18:30,4569,-,Ireland
267,3 December 2018 18:45,4514,-,Ireland
268,3 December 2018 19:00,4457,-,Ireland
269,3 December 2018 19:15,4407,-,Ireland
270,3 December 2018 19:30,4355,-,Ireland
271,3 December 2018 19:45,4303,-,Ireland
272,3 December 2018 20:00,4246,-,Ireland
273,3 December 2018 20:15,4203,-,Ireland
274,3 December 2018 20:30,4144,-,Ireland
275,3 December 2018 20:45,4089,-,Ireland
276,3 December 2018 21:00,4019,-,Ireland
277,3 December 2018 21:15,3935,-,Ireland
278,3 December 2018 21:30,3834,-,Ireland
279,3 December 2018 21:45,3743,-,Ireland
280,3 December 2018 22:00,3643,-,Ireland
281,3 December 2018 22:15,3555,-,Ireland
282,3 December 2018 22:30,3465,-,Ireland
283,3 December 2018 22:45,3404,-,Ireland
284,3 December 2018 23:00,3370,-,Ireland
285,3 December 2018 23:15,3379,-,Ireland
286,3 December 2018 23:30,3315,-,Ireland
287,3 December 2018 23:45,3251,-,Ireland
288,4 December 2018 00:00,3156,-,Ireland
289,4 December 2018 00:15,3105,-,Ireland
290,4 December 2018 00:30,3047,-,Ireland
291,4 December 2018 00:45,2972,-,Ireland
292,4 December 2018 01:00,2917,-,Ireland
293,4 December 2018 01:15,2873,-,Ireland
294,4 December 2018 01:30,2822,-,Ireland
295,4 December 2018 01:45,2786,-,Ireland
296,4 December 2018 02:00,2760,-,Ireland
297,4 December 2018 02:15,2743,-,Ireland
298,4 December 2018 02:30,2721,-,Ireland
299,4 December 2018 02:45,2698,-,Ireland
300,4 December 2018 03:00,2677,-,Ireland
301,4 December 2018 03:15,2674,-,Ireland
302,4 December 2018 03:30,2666,-,Ireland
303,4 December 2018 03:45,2669,-,Ireland
304,4 December 2018 04:00,2667,-,Ireland
305,4 December 2018 04:15,2670,-,Ireland
306,4 December 2018 04:30,2668,-,Ireland
307,4 December 2018 04:45,2668,-,Ireland
308,4 December 2018 05:00,2682,-,Ireland
309,4 December 2018 05:15,2721,-,Ireland
310,4 December 2018 05:30,2733,-,Ireland
311,4 December 2018 05:45,2782,-,Ireland
312,4 December 2018 06:00,2868,-,Ireland
313,4 December 2018 06:15,3034,-,Ireland
314,4 December 2018 06:30,3116,-,Ireland
315,4 December 2018 06:45,3255,-,Ireland
316,4 December 2018 07:00,3425,-,Ireland
317,4 December 2018 07:15,3670,-,Ireland
318,4 December 2018 07:30,3824,-,Ireland
319,4 December 2018 07:45,3967,-,Ireland
320,4 December 2018 08:00,4065,-,Ireland
321,4 December 2018 08:15,4069,-,Ireland
322,4 December 2018 08:30,4046,-,Ireland
323,4 December 2018 08:45,4033,-,Ireland
324,4 December 2018 09:00,4060,-,Ireland
325,4 December 2018 09:15,4126,-,Ireland
326,4 December 2018 09:30,4151,-,Ireland
327,4 December 2018 09:45,4171,-,Ireland
328,4 December 2018 10:00,4173,-,Ireland
329,4 December 2018 10:15,4159,-,Ireland
330,4 December 2018 10:30,4168,-,Ireland
331,4 December 2018 10:45,4171,-,Ireland
332,4 December 2018 11:00,4180,-,Ireland
333,4 December 2018 11:15,4179,-,Ireland
334,4 December 2018 11:30,4183,-,Ireland
335,4 December 2018 11:45,4176,-,Ireland
336,4 December 2018 12:00,4187,-,Ireland
337,4 December 2018 12:15,4205,-,Ireland
338,4 December 2018 12:30,4211,-,Ireland
339,4 December 2018 12:45,4233,-,Ireland
340,4 December 2018 13:00,4216,-,Ireland
341,4 December 2018 13:15,4194,-,Ireland
342,4 December 2018 13:30,4155,-,Ireland
343,4 December 2018 13:45,4153,-,Ireland
344,4 December 2018 14:00,4160,-,Ireland
345,4 December 2018 14:15,4176,-,Ireland
346,4 December 2018 14:30,4200,-,Ireland
347,4 December 2018 14:45,4222,-,Ireland
348,4 December 2018 15:00,4229,-,Ireland
349,4 December 2018 15:15,4281,-,Ireland
350,4 December 2018 15:30,4310,-,Ireland
351,4 December 2018 15:45,4373,-,Ireland
352,4 December 2018 16:00,4451,-,Ireland
353,4 December 2018 16:15,4575,-,Ireland
354,4 December 2018 16:30,4689,-,Ireland
355,4 December 2018 16:45,4785,-,Ireland
356,4 December 2018 17:00,4839,-,Ireland
357,4 December 2018 17:15,4885,-,Ireland
358,4 December 2018 17:30,4916,-,Ireland
359,4 December 2018 17:45,4900,-,Ireland
360,4 December 2018 18:00,4889,-,Ireland
361,4 December 2018 18:15,4823,-,Ireland
362,4 December 2018 18:30,4799,-,Ireland
363,4 December 2018 18:45,4749,-,Ireland
364,4 December 2018 19:00,4690,-,Ireland
365,4 December 2018 19:15,4635,-,Ireland
366,4 December 2018 19:30,4574,-,Ireland
367,4 December 2018 19:45,4526,-,Ireland
368,4 December 2018 20:00,4469,-,Ireland
369,4 December 2018 20:15,4398,-,Ireland
370,4 December 2018 20:30,4339,-,Ireland
371,4 December 2018 20:45,4289,-,Ireland
372,4 December 2018 21:00,4232,-,Ireland
373,4 December 2018 21:15,4134,-,Ireland
374,4 December 2018 21:30,4012,-,Ireland
375,4 December 2018 21:45,3925,-,Ireland
376,4 December 2018 22:00,3811,-,Ireland
377,4 December 2018 22:15,3674,-,Ireland
378,4 December 2018 22:30,3591,-,Ireland
379,4 December 2018 22:45,3504,-,Ireland
380,4 December 2018 23:00,3439,-,Ireland
381,4 December 2018 23:15,3450,-,Ireland
382,4 December 2018 23:30,3383,-,Ireland
383,4 December 2018 23:45,3305,-,Ireland
384,5 December 2018 00:00,3210,-,Ireland
385,5 December 2018 00:15,3159,-,Ireland
386,5 December 2018 00:30,3084,-,Ireland
387,5 December 2018 00:45,3034,-,Ireland
388,5 December 2018 01:00,2940,-,Ireland
389,5 December 2018 01:15,2875,-,Ireland
390,5 December 2018 01:30,2828,-,Ireland
391,5 December 2018 01:45,2791,-,Ireland
392,5 December 2018 02:00,2764,-,Ireland
393,5 December 2018 02:15,2750,-,Ireland
394,5 December 2018 02:30,2735,-,Ireland
395,5 December 2018 02:45,2718,-,Ireland
396,5 December 2018 03:00,2690,-,Ireland
397,5 December 2018 03:15,2679,-,Ireland
398,5 December 2018 03:30,2661,-,Ireland
399,5 December 2018 03:45,2671,-,Ireland
400,5 December 2018 04:00,2662,-,Ireland
401,5 December 2018 04:15,2668,-,Ireland
402,5 December 2018 04:30,2666,-,Ireland
403,5 December 2018 04:45,2676,-,Ireland
404,5 December 2018 05:00,2706,-,Ireland
405,5 December 2018 05:15,2732,-,Ireland
406,5 December 2018 05:30,2750,-,Ireland
407,5 December 2018 05:45,2810,-,Ireland
408,5 December 2018 06:00,2881,-,Ireland
409,5 December 2018 06:15,3022,-,Ireland
410,5 December 2018 06:30,3114,-,Ireland
411,5 December 2018 06:45,3251,-,Ireland
412,5 December 2018 07:00,3427,-,Ireland
413,5 December 2018 07:15,3639,-,Ireland
414,5 December 2018 07:30,3766,-,Ireland
415,5 December 2018 07:45,3892,-,Ireland
416,5 December 2018 08:00,3969,-,Ireland
417,5 December 2018 08:15,4021,-,Ireland
418,5 December 2018 08:30,3988,-,Ireland
419,5 December 2018 08:45,3979,-,Ireland
420,5 December 2018 09:00,3994,-,Ireland
421,5 December 2018 09:15,4045,-,Ireland
422,5 December 2018 09:30,4065,-,Ireland
423,5 December 2018 09:45,4083,-,Ireland
424,5 December 2018 10:00,4089,-,Ireland
425,5 December 2018 10:15,4089,-,Ireland
426,5 December 2018 10:30,4093,-,Ireland
427,5 December 2018 10:45,4097,-,Ireland
428,5 December 2018 11:00,4112,-,Ireland
429,5 December 2018 11:15,4111,-,Ireland
430,5 December 2018 11:30,4115,-,Ireland
431,5 December 2018 11:45,4106,-,Ireland
432,5 December 2018 12:00,4109,-,Ireland
433,5 December 2018 12:15,4104,-,Ireland
434,5 December 2018 12:30,4109,-,Ireland
435,5 December 2018 12:45,4121,-,Ireland
436,5 December 2018 13:00,4104,-,Ireland
437,5 December 2018 13:15,4068,-,Ireland
438,5 December 2018 13:30,4023,-,Ireland
439,5 December 2018 13:45,4018,-,Ireland
440,5 December 2018 14:00,4019,-,Ireland
441,5 December 2018 14:15,4040,-,Ireland
442,5 December 2018 14:30,4034,-,Ireland
443,5 December 2018 14:45,4049,-,Ireland
444,5 December 2018 15:00,4072,-,Ireland
445,5 December 2018 15:15,4097,-,Ireland
446,5 December 2018 15:30,4132,-,Ireland
447,5 December 2018 15:45,4163,-,Ireland
448,5 December 2018 16:00,4220,-,Ireland
449,5 December 2018 16:15,4314,-,Ireland
450,5 December 2018 16:30,4455,-,Ireland
451,5 December 2018 16:45,4590,-,Ireland
452,5 December 2018 17:00,4681,-,Ireland
453,5 December 2018 17:15,4743,-,Ireland
454,5 December 2018 17:30,4748,-,Ireland
455,5 December 2018 17:45,4741,-,Ireland
456,5 December 2018 18:00,4720,-,Ireland
457,5 December 2018 18:15,4669,-,Ireland
458,5 December 2018 18:30,4626,-,Ireland
459,5 December 2018 18:45,4583,-,Ireland
460,5 December 2018 19:00,4527,-,Ireland
461,5 December 2018 19:15,4470,-,Ireland
462,5 December 2018 19:30,4417,-,Ireland
463,5 December 2018 19:45,4371,-,Ireland
464,5 December 2018 20:00,4303,-,Ireland
465,5 December 2018 20:15,4250,-,Ireland
466,5 December 2018 20:30,4196,-,Ireland
467,5 December 2018 20:45,4145,-,Ireland
468,5 December 2018 21:00,4091,-,Ireland
469,5 December 2018 21:15,3973,-,Ireland
470,5 December 2018 21:30,3871,-,Ireland
471,5 December 2018 21:45,3756,-,Ireland
472,5 December 2018 22:00,3667,-,Ireland
473,5 December 2018 22:15,3588,-,Ireland
474,5 December 2018 22:30,3498,-,Ireland
475,5 December 2018 22:45,3429,-,Ireland
476,5 December 2018 23:00,3378,-,Ireland
477,5 December 2018 23:15,3384,-,Ireland
478,5 December 2018 23:30,3296,-,Ireland
479,5 December 2018 23:45,3232,-,Ireland
480,6 December 2018 00:00,3159,-,Ireland
481,6 December 2018 00:15,3097,-,Ireland
482,6 December 2018 00:30,3013,-,Ireland
483,6 December 2018 00:45,2957,-,Ireland
484,6 December 2018 01:00,2916,-,Ireland
485,6 December 2018 01:15,2866,-,Ireland
486,6 December 2018 01:30,2841,-,Ireland
487,6 December 2018 01:45,2806,-,Ireland
488,6 December 2018 02:00,2731,-,Ireland
489,6 December 2018 02:15,2719,-,Ireland
490,6 December 2018 02:30,2712,-,Ireland
491,6 December 2018 02:45,2695,-,Ireland
492,6 December 2018 03:00,2676,-,Ireland
493,6 December 2018 03:15,2701,-,Ireland
494,6 December 2018 03:30,2707,-,Ireland
495,6 December 2018 03:45,2683,-,Ireland
496,6 December 2018 04:00,2696,-,Ireland
497,6 December 2018 04:15,2726,-,Ireland
498,6 December 2018 04:30,2694,-,Ireland
499,6 December 2018 04:45,2707,-,Ireland
500,6 December 2018 05:00,2723,-,Ireland
501,6 December 2018 05:15,2735,-,Ireland
502,6 December 2018 05:30,2744,-,Ireland
503,6 December 2018 05:45,2804,-,Ireland
504,6 December 2018 06:00,2885,-,Ireland
505,6 December 2018 06:15,3021,-,Ireland
506,6 December 2018 06:30,3113,-,Ireland
507,6 December 2018 06:45,3267,-,Ireland
508,6 December 2018 07:00,3443,-,Ireland
509,6 December 2018 07:15,3658,-,Ireland
510,6 December 2018 07:30,3789,-,Ireland
511,6 December 2018 07:45,3907,-,Ireland
512,6 December 2018 08:00,3969,-,Ireland
513,6 December 2018 08:15,4013,-,Ireland
514,6 December 2018 08:30,3993,-,Ireland
515,6 December 2018 08:45,3979,-,Ireland
516,6 December 2018 09:00,4010,-,Ireland
517,6 December 2018 09:15,4041,-,Ireland
518,6 December 2018 09:30,4058,-,Ireland
519,6 December 2018 09:45,4052,-,Ireland
520,6 December 2018 10:00,4028,-,Ireland
521,6 December 2018 10:15,4011,-,Ireland
522,6 December 2018 10:30,4013,-,Ireland
523,6 December 2018 10:45,4044,-,Ireland
524,6 December 2018 11:00,4037,-,Ireland
525,6 December 2018 11:15,4016,-,Ireland
