,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 February 2018 00:00,3248,-,Ireland
1,1 February 2018 00:15,3190,-,Ireland
2,1 February 2018 00:30,3123,-,Ireland
3,1 February 2018 00:45,3086,-,Ireland
4,1 February 2018 01:00,3044,-,Ireland
5,1 February 2018 01:15,2987,-,Ireland
6,1 February 2018 01:30,2929,-,Ireland
7,1 February 2018 01:45,2891,-,Ireland
8,1 February 2018 02:00,2889,-,Ireland
9,1 February 2018 02:15,2867,-,Ireland
10,1 February 2018 02:30,2835,-,Ireland
11,1 February 2018 02:45,2836,-,Ireland
12,1 February 2018 03:00,2841,-,Ireland
13,1 February 2018 03:15,2797,-,Ireland
14,1 February 2018 03:30,2787,-,Ireland
15,1 February 2018 03:45,2793,-,Ireland
16,1 February 2018 04:00,2785,-,Ireland
17,1 February 2018 04:15,2771,-,Ireland
18,1 February 2018 04:30,2774,-,Ireland
19,1 February 2018 04:45,2742,-,Ireland
20,1 February 2018 05:00,2762,-,Ireland
21,1 February 2018 05:15,2804,-,Ireland
22,1 February 2018 05:30,2794,-,Ireland
23,1 February 2018 05:45,2879,-,Ireland
24,1 February 2018 06:00,2920,-,Ireland
25,1 February 2018 06:15,3045,-,Ireland
26,1 February 2018 06:30,3118,-,Ireland
27,1 February 2018 06:45,3285,-,Ireland
28,1 February 2018 07:00,3427,-,Ireland
29,1 February 2018 07:15,3676,-,Ireland
30,1 February 2018 07:30,3831,-,Ireland
31,1 February 2018 07:45,3980,-,Ireland
32,1 February 2018 08:00,3988,-,Ireland
33,1 February 2018 08:15,3977,-,Ireland
34,1 February 2018 08:30,3945,-,Ireland
35,1 February 2018 08:45,3968,-,Ireland
36,1 February 2018 09:00,3975,-,Ireland
37,1 February 2018 09:15,4042,-,Ireland
38,1 February 2018 09:30,4075,-,Ireland
39,1 February 2018 09:45,4099,-,Ireland
40,1 February 2018 10:00,4075,-,Ireland
41,1 February 2018 10:15,4061,-,Ireland
42,1 February 2018 10:30,4081,-,Ireland
43,1 February 2018 10:45,4053,-,Ireland
44,1 February 2018 11:00,4060,-,Ireland
45,1 February 2018 11:15,4074,-,Ireland
46,1 February 2018 11:30,4086,-,Ireland
47,1 February 2018 11:45,4092,-,Ireland
48,1 February 2018 12:00,4086,-,Ireland
49,1 February 2018 12:15,4092,-,Ireland
50,1 February 2018 12:30,4097,-,Ireland
51,1 February 2018 12:45,4138,-,Ireland
52,1 February 2018 13:00,4108,-,Ireland
53,1 February 2018 13:15,4083,-,Ireland
54,1 February 2018 13:30,4043,-,Ireland
55,1 February 2018 13:45,4021,-,Ireland
56,1 February 2018 14:00,4020,-,Ireland
57,1 February 2018 14:15,4027,-,Ireland
58,1 February 2018 14:30,4032,-,Ireland
59,1 February 2018 14:45,4031,-,Ireland
60,1 February 2018 15:00,4022,-,Ireland
61,1 February 2018 15:15,4064,-,Ireland
62,1 February 2018 15:30,4094,-,Ireland
