,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 November 2019 00:00,3120,-,Ireland
1,1 November 2019 00:15,3053,-,Ireland
2,1 November 2019 00:30,3020,-,Ireland
3,1 November 2019 00:45,2968,-,Ireland
4,1 November 2019 01:00,2921,-,Ireland
5,1 November 2019 01:15,2886,-,Ireland
6,1 November 2019 01:30,2846,-,Ireland
7,1 November 2019 01:45,2819,-,Ireland
8,1 November 2019 02:00,2780,-,Ireland
9,1 November 2019 02:15,2763,-,Ireland
10,1 November 2019 02:30,2751,-,Ireland
11,1 November 2019 02:45,2730,-,Ireland
12,1 November 2019 03:00,2723,-,Ireland
13,1 November 2019 03:15,2698,-,Ireland
14,1 November 2019 03:30,2667,-,Ireland
15,1 November 2019 03:45,2655,-,Ireland
16,1 November 2019 04:00,2655,-,Ireland
17,1 November 2019 04:15,2638,-,Ireland
18,1 November 2019 04:30,2632,-,Ireland
19,1 November 2019 04:45,2630,-,Ireland
20,1 November 2019 05:00,2662,-,Ireland
21,1 November 2019 05:15,2690,-,Ireland
22,1 November 2019 05:30,2698,-,Ireland
23,1 November 2019 05:45,2738,-,Ireland
24,1 November 2019 06:00,2794,-,Ireland
25,1 November 2019 06:15,2917,-,Ireland
26,1 November 2019 06:30,2982,-,Ireland
27,1 November 2019 06:45,3086,-,Ireland
28,1 November 2019 07:00,3177,-,Ireland
29,1 November 2019 07:15,3306,-,Ireland
30,1 November 2019 07:30,3368,-,Ireland
31,1 November 2019 07:45,3444,-,Ireland
32,1 November 2019 08:00,3515,-,Ireland
33,1 November 2019 08:15,3620,-,Ireland
34,1 November 2019 08:30,3682,-,Ireland
35,1 November 2019 08:45,3754,-,Ireland
36,1 November 2019 09:00,3822,-,Ireland
37,1 November 2019 09:15,3879,-,Ireland
38,1 November 2019 09:30,3888,-,Ireland
39,1 November 2019 09:45,3923,-,Ireland
40,1 November 2019 10:00,3951,-,Ireland
41,1 November 2019 10:15,3945,-,Ireland
42,1 November 2019 10:30,3944,-,Ireland
43,1 November 2019 10:45,3927,-,Ireland
44,1 November 2019 11:00,3956,-,Ireland
45,1 November 2019 11:15,3961,-,Ireland
46,1 November 2019 11:30,3966,-,Ireland
47,1 November 2019 11:45,3949,-,Ireland
48,1 November 2019 12:00,3977,-,Ireland
49,1 November 2019 12:15,3989,-,Ireland
50,1 November 2019 12:30,3991,-,Ireland
51,1 November 2019 12:45,3997,-,Ireland
52,1 November 2019 13:00,3987,-,Ireland
53,1 November 2019 13:15,3968,-,Ireland
54,1 November 2019 13:30,3929,-,Ireland
55,1 November 2019 13:45,3927,-,Ireland
56,1 November 2019 14:00,3921,-,Ireland
57,1 November 2019 14:15,3903,-,Ireland
58,1 November 2019 14:30,3904,-,Ireland
59,1 November 2019 14:45,3938,-,Ireland
60,1 November 2019 15:00,3933,-,Ireland
61,1 November 2019 15:15,3924,-,Ireland
62,1 November 2019 15:30,3927,-,Ireland
63,1 November 2019 15:45,3961,-,Ireland
64,1 November 2019 16:00,3948,-,Ireland
65,1 November 2019 16:15,3984,-,Ireland
66,1 November 2019 16:30,4052,-,Ireland
67,1 November 2019 16:45,4148,-,Ireland
68,1 November 2019 17:00,4225,-,Ireland
69,1 November 2019 17:15,4367,-,Ireland
70,1 November 2019 17:30,4401,-,Ireland
71,1 November 2019 17:45,4414,-,Ireland
72,1 November 2019 18:00,4409,-,Ireland
73,1 November 2019 18:15,4360,-,Ireland
74,1 November 2019 18:30,4327,-,Ireland
75,1 November 2019 18:45,4245,-,Ireland
76,1 November 2019 19:00,4182,-,Ireland
77,1 November 2019 19:15,4102,-,Ireland
78,1 November 2019 19:30,4086,-,Ireland
79,1 November 2019 19:45,4021,-,Ireland
80,1 November 2019 20:00,3934,-,Ireland
81,1 November 2019 20:15,3854,-,Ireland
82,1 November 2019 20:30,3782,-,Ireland
83,1 November 2019 20:45,3684,-,Ireland
84,1 November 2019 21:00,3601,-,Ireland
85,1 November 2019 21:15,3534,-,Ireland
86,1 November 2019 21:30,3457,-,Ireland
87,1 November 2019 21:45,3366,-,Ireland
88,1 November 2019 22:00,3300,-,Ireland
89,1 November 2019 22:15,3272,-,Ireland
90,1 November 2019 22:30,3179,-,Ireland
91,1 November 2019 22:45,3131,-,Ireland
92,1 November 2019 23:00,3155,-,Ireland
93,1 November 2019 23:15,3190,-,Ireland
94,1 November 2019 23:30,3151,-,Ireland
95,1 November 2019 23:45,3106,-,Ireland
96,2 November 2019 00:00,3034,-,Ireland
97,2 November 2019 00:15,2969,-,Ireland
98,2 November 2019 00:30,2938,-,Ireland
99,2 November 2019 00:45,2862,-,Ireland
100,2 November 2019 01:00,2804,-,Ireland
101,2 November 2019 01:15,2772,-,Ireland
102,2 November 2019 01:30,2720,-,Ireland
103,2 November 2019 01:45,2683,-,Ireland
104,2 November 2019 02:00,2660,-,Ireland
105,2 November 2019 02:15,2615,-,Ireland
106,2 November 2019 02:30,2589,-,Ireland
107,2 November 2019 02:45,2590,-,Ireland
108,2 November 2019 03:00,2549,-,Ireland
109,2 November 2019 03:15,2543,-,Ireland
110,2 November 2019 03:30,2547,-,Ireland
111,2 November 2019 03:45,2556,-,Ireland
112,2 November 2019 04:00,2548,-,Ireland
113,2 November 2019 04:15,2553,-,Ireland
114,2 November 2019 04:30,2557,-,Ireland
115,2 November 2019 04:45,2553,-,Ireland
116,2 November 2019 05:00,2574,-,Ireland
117,2 November 2019 05:15,2589,-,Ireland
118,2 November 2019 05:30,2606,-,Ireland
119,2 November 2019 05:45,2622,-,Ireland
120,2 November 2019 06:00,2661,-,Ireland
121,2 November 2019 06:15,2729,-,Ireland
122,2 November 2019 06:30,2747,-,Ireland
123,2 November 2019 06:45,2790,-,Ireland
124,2 November 2019 07:00,2838,-,Ireland
125,2 November 2019 07:15,2880,-,Ireland
126,2 November 2019 07:30,2896,-,Ireland
127,2 November 2019 07:45,2972,-,Ireland
128,2 November 2019 08:00,3023,-,Ireland
129,2 November 2019 08:15,3088,-,Ireland
130,2 November 2019 08:30,3178,-,Ireland
131,2 November 2019 08:45,3275,-,Ireland
132,2 November 2019 09:00,3372,-,Ireland
133,2 November 2019 09:15,3434,-,Ireland
134,2 November 2019 09:30,3458,-,Ireland
135,2 November 2019 09:45,3483,-,Ireland
136,2 November 2019 10:00,3624,-,Ireland
137,2 November 2019 10:15,3606,-,Ireland
138,2 November 2019 10:30,3586,-,Ireland
139,2 November 2019 10:45,3581,-,Ireland
140,2 November 2019 11:00,3612,-,Ireland
141,2 November 2019 11:15,3668,-,Ireland
142,2 November 2019 11:30,3662,-,Ireland
143,2 November 2019 11:45,3686,-,Ireland
144,2 November 2019 12:00,3686,-,Ireland
145,2 November 2019 12:15,3677,-,Ireland
146,2 November 2019 12:30,3689,-,Ireland
147,2 November 2019 12:45,3699,-,Ireland
148,2 November 2019 13:00,3698,-,Ireland
149,2 November 2019 13:15,3678,-,Ireland
150,2 November 2019 13:30,3669,-,Ireland
151,2 November 2019 13:45,3636,-,Ireland
152,2 November 2019 14:00,3589,-,Ireland
153,2 November 2019 14:15,3590,-,Ireland
154,2 November 2019 14:30,3554,-,Ireland
155,2 November 2019 14:45,3530,-,Ireland
156,2 November 2019 15:00,3540,-,Ireland
157,2 November 2019 15:15,3562,-,Ireland
158,2 November 2019 15:30,3545,-,Ireland
159,2 November 2019 15:45,3554,-,Ireland
160,2 November 2019 16:00,3586,-,Ireland
161,2 November 2019 16:15,3628,-,Ireland
162,2 November 2019 16:30,3669,-,Ireland
163,2 November 2019 16:45,3769,-,Ireland
164,2 November 2019 17:00,3882,-,Ireland
165,2 November 2019 17:15,4032,-,Ireland
166,2 November 2019 17:30,4092,-,Ireland
167,2 November 2019 17:45,4105,-,Ireland
168,2 November 2019 18:00,4102,-,Ireland
169,2 November 2019 18:15,4062,-,Ireland
170,2 November 2019 18:30,4012,-,Ireland
171,2 November 2019 18:45,3971,-,Ireland
172,2 November 2019 19:00,3912,-,Ireland
173,2 November 2019 19:15,3871,-,Ireland
174,2 November 2019 19:30,3792,-,Ireland
175,2 November 2019 19:45,3718,-,Ireland
176,2 November 2019 20:00,3662,-,Ireland
177,2 November 2019 20:15,3632,-,Ireland
178,2 November 2019 20:30,3590,-,Ireland
179,2 November 2019 20:45,3520,-,Ireland
180,2 November 2019 21:00,3457,-,Ireland
181,2 November 2019 21:15,3415,-,Ireland
182,2 November 2019 21:30,3348,-,Ireland
183,2 November 2019 21:45,3298,-,Ireland
184,2 November 2019 22:00,3253,-,Ireland
185,2 November 2019 22:15,3219,-,Ireland
186,2 November 2019 22:30,3176,-,Ireland
187,2 November 2019 22:45,3117,-,Ireland
188,2 November 2019 23:00,3107,-,Ireland
189,2 November 2019 23:15,3140,-,Ireland
190,2 November 2019 23:30,3112,-,Ireland
191,2 November 2019 23:45,3045,-,Ireland
192,3 November 2019 00:00,2973,-,Ireland
193,3 November 2019 00:15,2925,-,Ireland
194,3 November 2019 00:30,2886,-,Ireland
195,3 November 2019 00:45,2842,-,Ireland
196,3 November 2019 01:00,2794,-,Ireland
197,3 November 2019 01:15,2749,-,Ireland
198,3 November 2019 01:30,2696,-,Ireland
199,3 November 2019 01:45,2658,-,Ireland
200,3 November 2019 02:00,2629,-,Ireland
201,3 November 2019 02:15,2608,-,Ireland
202,3 November 2019 02:30,2581,-,Ireland
203,3 November 2019 02:45,2559,-,Ireland
204,3 November 2019 03:00,2530,-,Ireland
205,3 November 2019 03:15,2530,-,Ireland
206,3 November 2019 03:30,2520,-,Ireland
207,3 November 2019 03:45,2517,-,Ireland
208,3 November 2019 04:00,2510,-,Ireland
209,3 November 2019 04:15,2513,-,Ireland
210,3 November 2019 04:30,2513,-,Ireland
211,3 November 2019 04:45,2522,-,Ireland
212,3 November 2019 05:00,2535,-,Ireland
213,3 November 2019 05:15,2542,-,Ireland
214,3 November 2019 05:30,2508,-,Ireland
215,3 November 2019 05:45,2510,-,Ireland
216,3 November 2019 06:00,2544,-,Ireland
217,3 November 2019 06:15,2579,-,Ireland
218,3 November 2019 06:30,2585,-,Ireland
219,3 November 2019 06:45,2610,-,Ireland
220,3 November 2019 07:00,2652,-,Ireland
221,3 November 2019 07:15,2690,-,Ireland
222,3 November 2019 07:30,2659,-,Ireland
223,3 November 2019 07:45,2706,-,Ireland
224,3 November 2019 08:00,2735,-,Ireland
225,3 November 2019 08:15,2808,-,Ireland
226,3 November 2019 08:30,2882,-,Ireland
227,3 November 2019 08:45,2957,-,Ireland
228,3 November 2019 09:00,3061,-,Ireland
229,3 November 2019 09:15,3140,-,Ireland
230,3 November 2019 09:30,3200,-,Ireland
231,3 November 2019 09:45,3268,-,Ireland
232,3 November 2019 10:00,3329,-,Ireland
233,3 November 2019 10:15,3378,-,Ireland
234,3 November 2019 10:30,3390,-,Ireland
235,3 November 2019 10:45,3406,-,Ireland
236,3 November 2019 11:00,3438,-,Ireland
237,3 November 2019 11:15,3458,-,Ireland
238,3 November 2019 11:30,3463,-,Ireland
239,3 November 2019 11:45,3476,-,Ireland
240,3 November 2019 12:00,3495,-,Ireland
241,3 November 2019 12:15,3512,-,Ireland
242,3 November 2019 12:30,3527,-,Ireland
243,3 November 2019 12:45,3526,-,Ireland
244,3 November 2019 13:00,3524,-,Ireland
245,3 November 2019 13:15,3541,-,Ireland
246,3 November 2019 13:30,3516,-,Ireland
247,3 November 2019 13:45,3522,-,Ireland
248,3 November 2019 14:00,3483,-,Ireland
249,3 November 2019 14:15,3476,-,Ireland
250,3 November 2019 14:30,3444,-,Ireland
251,3 November 2019 14:45,3427,-,Ireland
252,3 November 2019 15:00,3435,-,Ireland
253,3 November 2019 15:15,3448,-,Ireland
254,3 November 2019 15:30,3460,-,Ireland
255,3 November 2019 15:45,3451,-,Ireland
256,3 November 2019 16:00,3497,-,Ireland
257,3 November 2019 16:15,3535,-,Ireland
258,3 November 2019 16:30,3594,-,Ireland
259,3 November 2019 16:45,3690,-,Ireland
260,3 November 2019 17:00,3828,-,Ireland
261,3 November 2019 17:15,4021,-,Ireland
262,3 November 2019 17:30,4079,-,Ireland
263,3 November 2019 17:45,4122,-,Ireland
264,3 November 2019 18:00,4128,-,Ireland
265,3 November 2019 18:15,4105,-,Ireland
266,3 November 2019 18:30,4072,-,Ireland
267,3 November 2019 18:45,4050,-,Ireland
268,3 November 2019 19:00,3989,-,Ireland
269,3 November 2019 19:15,3948,-,Ireland
270,3 November 2019 19:30,3881,-,Ireland
271,3 November 2019 19:45,3845,-,Ireland
272,3 November 2019 20:00,3773,-,Ireland
273,3 November 2019 20:15,3689,-,Ireland
274,3 November 2019 20:30,3627,-,Ireland
275,3 November 2019 20:45,3552,-,Ireland
276,3 November 2019 21:00,3497,-,Ireland
277,3 November 2019 21:15,3438,-,Ireland
278,3 November 2019 21:30,3376,-,Ireland
279,3 November 2019 21:45,3289,-,Ireland
280,3 November 2019 22:00,3214,-,Ireland
281,3 November 2019 22:15,3134,-,Ireland
282,3 November 2019 22:30,3079,-,Ireland
283,3 November 2019 22:45,3023,-,Ireland
284,3 November 2019 23:00,2971,-,Ireland
285,3 November 2019 23:15,2981,-,Ireland
286,3 November 2019 23:30,2932,-,Ireland
287,3 November 2019 23:45,2887,-,Ireland
288,4 November 2019 00:00,2833,-,Ireland
289,4 November 2019 00:15,2797,-,Ireland
290,4 November 2019 00:30,2750,-,Ireland
291,4 November 2019 00:45,2703,-,Ireland
292,4 November 2019 01:00,2667,-,Ireland
293,4 November 2019 01:15,2635,-,Ireland
294,4 November 2019 01:30,2593,-,Ireland
295,4 November 2019 01:45,2561,-,Ireland
296,4 November 2019 02:00,2544,-,Ireland
297,4 November 2019 02:15,2541,-,Ireland
298,4 November 2019 02:30,2520,-,Ireland
299,4 November 2019 02:45,2513,-,Ireland
300,4 November 2019 03:00,2496,-,Ireland
301,4 November 2019 03:15,2494,-,Ireland
302,4 November 2019 03:30,2486,-,Ireland
303,4 November 2019 03:45,2481,-,Ireland
304,4 November 2019 04:00,2484,-,Ireland
305,4 November 2019 04:15,2497,-,Ireland
