,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 January 2020 00:00,3037,-,Ireland
1,1 January 2020 00:15,3021,-,Ireland
2,1 January 2020 00:30,2973,-,Ireland
3,1 January 2020 00:45,2931,-,Ireland
4,1 January 2020 01:00,2895,-,Ireland
5,1 January 2020 01:15,2842,-,Ireland
6,1 January 2020 01:30,2802,-,Ireland
7,1 January 2020 01:45,2750,-,Ireland
8,1 January 2020 02:00,2720,-,Ireland
9,1 January 2020 02:15,2676,-,Ireland
10,1 January 2020 02:30,2634,-,Ireland
11,1 January 2020 02:45,2583,-,Ireland
12,1 January 2020 03:00,2544,-,Ireland
13,1 January 2020 03:15,2518,-,Ireland
14,1 January 2020 03:30,2505,-,Ireland
15,1 January 2020 03:45,2492,-,Ireland
16,1 January 2020 04:00,2485,-,Ireland
17,1 January 2020 04:15,2474,-,Ireland
18,1 January 2020 04:30,2448,-,Ireland
19,1 January 2020 04:45,2413,-,Ireland
20,1 January 2020 05:00,2414,-,Ireland
21,1 January 2020 05:15,2416,-,Ireland
22,1 January 2020 05:30,2405,-,Ireland
23,1 January 2020 05:45,2402,-,Ireland
24,1 January 2020 06:00,2405,-,Ireland
25,1 January 2020 06:15,2438,-,Ireland
26,1 January 2020 06:30,2453,-,Ireland
27,1 January 2020 06:45,2463,-,Ireland
28,1 January 2020 07:00,2469,-,Ireland
29,1 January 2020 07:15,2489,-,Ireland
30,1 January 2020 07:30,2491,-,Ireland
31,1 January 2020 07:45,2510,-,Ireland
32,1 January 2020 08:00,2526,-,Ireland
33,1 January 2020 08:15,2513,-,Ireland
34,1 January 2020 08:30,2514,-,Ireland
35,1 January 2020 08:45,2529,-,Ireland
36,1 January 2020 09:00,2554,-,Ireland
37,1 January 2020 09:15,2603,-,Ireland
38,1 January 2020 09:30,2670,-,Ireland
39,1 January 2020 09:45,2722,-,Ireland
40,1 January 2020 10:00,2796,-,Ireland
41,1 January 2020 10:15,2875,-,Ireland
42,1 January 2020 10:30,2937,-,Ireland
43,1 January 2020 10:45,2997,-,Ireland
44,1 January 2020 11:00,3046,-,Ireland
45,1 January 2020 11:15,3119,-,Ireland
46,1 January 2020 11:30,3160,-,Ireland
47,1 January 2020 11:45,3209,-,Ireland
48,1 January 2020 12:00,3260,-,Ireland
49,1 January 2020 12:15,3288,-,Ireland
50,1 January 2020 12:30,3329,-,Ireland
51,1 January 2020 12:45,3360,-,Ireland
52,1 January 2020 13:00,3370,-,Ireland
53,1 January 2020 13:15,3373,-,Ireland
54,1 January 2020 13:30,3379,-,Ireland
55,1 January 2020 13:45,3351,-,Ireland
56,1 January 2020 14:00,3347,-,Ireland
57,1 January 2020 14:15,3307,-,Ireland
58,1 January 2020 14:30,3301,-,Ireland
59,1 January 2020 14:45,3263,-,Ireland
60,1 January 2020 15:00,3276,-,Ireland
61,1 January 2020 15:15,3283,-,Ireland
62,1 January 2020 15:30,3281,-,Ireland
63,1 January 2020 15:45,3364,-,Ireland
64,1 January 2020 16:00,3400,-,Ireland
65,1 January 2020 16:15,3437,-,Ireland
66,1 January 2020 16:30,3517,-,Ireland
67,1 January 2020 16:45,3652,-,Ireland
68,1 January 2020 17:00,3718,-,Ireland
69,1 January 2020 17:15,3805,-,Ireland
70,1 January 2020 17:30,3816,-,Ireland
71,1 January 2020 17:45,3820,-,Ireland
72,1 January 2020 18:00,3816,-,Ireland
73,1 January 2020 18:15,3790,-,Ireland
74,1 January 2020 18:30,3750,-,Ireland
75,1 January 2020 18:45,3694,-,Ireland
76,1 January 2020 19:00,3647,-,Ireland
77,1 January 2020 19:15,3633,-,Ireland
78,1 January 2020 19:30,3615,-,Ireland
79,1 January 2020 19:45,3593,-,Ireland
80,1 January 2020 20:00,3567,-,Ireland
81,1 January 2020 20:15,3525,-,Ireland
82,1 January 2020 20:30,3477,-,Ireland
83,1 January 2020 20:45,3427,-,Ireland
84,1 January 2020 21:00,3410,-,Ireland
85,1 January 2020 21:15,3368,-,Ireland
86,1 January 2020 21:30,3302,-,Ireland
87,1 January 2020 21:45,3233,-,Ireland
88,1 January 2020 22:00,3187,-,Ireland
89,1 January 2020 22:15,3129,-,Ireland
90,1 January 2020 22:30,3107,-,Ireland
91,1 January 2020 22:45,3003,-,Ireland
92,1 January 2020 23:00,3013,-,Ireland
93,1 January 2020 23:15,3049,-,Ireland
94,1 January 2020 23:30,3016,-,Ireland
95,1 January 2020 23:45,2951,-,Ireland
96,2 January 2020 00:00,2898,-,Ireland
97,2 January 2020 00:15,2847,-,Ireland
98,2 January 2020 00:30,2791,-,Ireland
99,2 January 2020 00:45,2727,-,Ireland
100,2 January 2020 01:00,2655,-,Ireland
101,2 January 2020 01:15,2587,-,Ireland
102,2 January 2020 01:30,2509,-,Ireland
103,2 January 2020 01:45,2486,-,Ireland
104,2 January 2020 02:00,2440,-,Ireland
105,2 January 2020 02:15,2420,-,Ireland
106,2 January 2020 02:30,2386,-,Ireland
107,2 January 2020 02:45,2354,-,Ireland
108,2 January 2020 03:00,2330,-,Ireland
109,2 January 2020 03:15,2352,-,Ireland
110,2 January 2020 03:30,2345,-,Ireland
111,2 January 2020 03:45,2369,-,Ireland
112,2 January 2020 04:00,2363,-,Ireland
113,2 January 2020 04:15,2355,-,Ireland
114,2 January 2020 04:30,2357,-,Ireland
115,2 January 2020 04:45,2350,-,Ireland
116,2 January 2020 05:00,2341,-,Ireland
117,2 January 2020 05:15,2374,-,Ireland
118,2 January 2020 05:30,2412,-,Ireland
119,2 January 2020 05:45,2468,-,Ireland
120,2 January 2020 06:00,2525,-,Ireland
121,2 January 2020 06:15,2621,-,Ireland
122,2 January 2020 06:30,2659,-,Ireland
123,2 January 2020 06:45,2777,-,Ireland
124,2 January 2020 07:00,2851,-,Ireland
125,2 January 2020 07:15,2960,-,Ireland
126,2 January 2020 07:30,3031,-,Ireland
127,2 January 2020 07:45,3123,-,Ireland
128,2 January 2020 08:00,3179,-,Ireland
129,2 January 2020 08:15,3256,-,Ireland
130,2 January 2020 08:30,3294,-,Ireland
131,2 January 2020 08:45,3357,-,Ireland
132,2 January 2020 09:00,3462,-,Ireland
