,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 July 2020 00:00,2807,-,Ireland
1,1 July 2020 00:15,2770,-,Ireland
2,1 July 2020 00:30,2710,-,Ireland
3,1 July 2020 00:45,2650,-,Ireland
4,1 July 2020 01:00,2616,-,Ireland
5,1 July 2020 01:15,2584,-,Ireland
6,1 July 2020 01:30,2542,-,Ireland
7,1 July 2020 01:45,2522,-,Ireland
8,1 July 2020 02:00,2488,-,Ireland
9,1 July 2020 02:15,2479,-,Ireland
10,1 July 2020 02:30,2454,-,Ireland
11,1 July 2020 02:45,2437,-,Ireland
12,1 July 2020 03:00,2413,-,Ireland
13,1 July 2020 03:15,2417,-,Ireland
14,1 July 2020 03:30,2409,-,Ireland
15,1 July 2020 03:45,2396,-,Ireland
16,1 July 2020 04:00,2399,-,Ireland
17,1 July 2020 04:15,2404,-,Ireland
18,1 July 2020 04:30,2419,-,Ireland
19,1 July 2020 04:45,2421,-,Ireland
20,1 July 2020 05:00,2412,-,Ireland
21,1 July 2020 05:15,2424,-,Ireland
22,1 July 2020 05:30,2429,-,Ireland
23,1 July 2020 05:45,2452,-,Ireland
24,1 July 2020 06:00,2518,-,Ireland
25,1 July 2020 06:15,2607,-,Ireland
26,1 July 2020 06:30,2661,-,Ireland
27,1 July 2020 06:45,2727,-,Ireland
28,1 July 2020 07:00,2821,-,Ireland
29,1 July 2020 07:15,2962,-,Ireland
30,1 July 2020 07:30,3053,-,Ireland
31,1 July 2020 07:45,3150,-,Ireland
32,1 July 2020 08:00,3258,-,Ireland
33,1 July 2020 08:15,3379,-,Ireland
34,1 July 2020 08:30,3460,-,Ireland
35,1 July 2020 08:45,3546,-,Ireland
36,1 July 2020 09:00,3608,-,Ireland
37,1 July 2020 09:15,3644,-,Ireland
38,1 July 2020 09:30,3673,-,Ireland
39,1 July 2020 09:45,3691,-,Ireland
40,1 July 2020 10:00,3704,-,Ireland
41,1 July 2020 10:15,3711,-,Ireland
42,1 July 2020 10:30,3730,-,Ireland
43,1 July 2020 10:45,3756,-,Ireland
44,1 July 2020 11:00,3754,-,Ireland
45,1 July 2020 11:15,3761,-,Ireland
46,1 July 2020 11:30,3761,-,Ireland
47,1 July 2020 11:45,3764,-,Ireland
48,1 July 2020 12:00,3780,-,Ireland
49,1 July 2020 12:15,3813,-,Ireland
50,1 July 2020 12:30,3831,-,Ireland
51,1 July 2020 12:45,3863,-,Ireland
52,1 July 2020 13:00,3869,-,Ireland
53,1 July 2020 13:15,3849,-,Ireland
54,1 July 2020 13:30,3793,-,Ireland
55,1 July 2020 13:45,3767,-,Ireland
56,1 July 2020 14:00,3748,-,Ireland
57,1 July 2020 14:15,3757,-,Ireland
58,1 July 2020 14:30,3729,-,Ireland
59,1 July 2020 14:45,3719,-,Ireland
60,1 July 2020 15:00,3704,-,Ireland
61,1 July 2020 15:15,3702,-,Ireland
62,1 July 2020 15:30,3682,-,Ireland
63,1 July 2020 15:45,3688,-,Ireland
64,1 July 2020 16:00,3704,-,Ireland
65,1 July 2020 16:15,3727,-,Ireland
66,1 July 2020 16:30,3769,-,Ireland
67,1 July 2020 16:45,3800,-,Ireland
68,1 July 2020 17:00,3849,-,Ireland
69,1 July 2020 17:15,3897,-,Ireland
70,1 July 2020 17:30,3922,-,Ireland
71,1 July 2020 17:45,3942,-,Ireland
72,1 July 2020 18:00,3925,-,Ireland
73,1 July 2020 18:15,3868,-,Ireland
74,1 July 2020 18:30,3841,-,Ireland
75,1 July 2020 18:45,3805,-,Ireland
76,1 July 2020 19:00,3737,-,Ireland
77,1 July 2020 19:15,3689,-,Ireland
78,1 July 2020 19:30,3634,-,Ireland
79,1 July 2020 19:45,3591,-,Ireland
80,1 July 2020 20:00,3555,-,Ireland
81,1 July 2020 20:15,3516,-,Ireland
82,1 July 2020 20:30,3467,-,Ireland
83,1 July 2020 20:45,3438,-,Ireland
84,1 July 2020 21:00,3418,-,Ireland
85,1 July 2020 21:15,3389,-,Ireland
86,1 July 2020 21:30,3358,-,Ireland
87,1 July 2020 21:45,3316,-,Ireland
88,1 July 2020 22:00,3284,-,Ireland
89,1 July 2020 22:15,3253,-,Ireland
90,1 July 2020 22:30,3218,-,Ireland
91,1 July 2020 22:45,3139,-,Ireland
92,1 July 2020 23:00,3046,-,Ireland
93,1 July 2020 23:15,2961,-,Ireland
94,1 July 2020 23:30,2884,-,Ireland
95,1 July 2020 23:45,2812,-,Ireland
96,2 July 2020 00:00,2734,-,Ireland
97,2 July 2020 00:15,2700,-,Ireland
98,2 July 2020 00:30,2652,-,Ireland
99,2 July 2020 00:45,2622,-,Ireland
100,2 July 2020 01:00,2578,-,Ireland
101,2 July 2020 01:15,2554,-,Ireland
102,2 July 2020 01:30,2518,-,Ireland
103,2 July 2020 01:45,2491,-,Ireland
104,2 July 2020 02:00,2463,-,Ireland
105,2 July 2020 02:15,2447,-,Ireland
106,2 July 2020 02:30,2416,-,Ireland
107,2 July 2020 02:45,2401,-,Ireland
108,2 July 2020 03:00,2383,-,Ireland
109,2 July 2020 03:15,2386,-,Ireland
110,2 July 2020 03:30,2393,-,Ireland
111,2 July 2020 03:45,2379,-,Ireland
112,2 July 2020 04:00,2393,-,Ireland
113,2 July 2020 04:15,2406,-,Ireland
114,2 July 2020 04:30,2410,-,Ireland
115,2 July 2020 04:45,2406,-,Ireland
116,2 July 2020 05:00,2383,-,Ireland
117,2 July 2020 05:15,2394,-,Ireland
118,2 July 2020 05:30,2392,-,Ireland
119,2 July 2020 05:45,2414,-,Ireland
120,2 July 2020 06:00,2471,-,Ireland
121,2 July 2020 06:15,2570,-,Ireland
122,2 July 2020 06:30,2637,-,Ireland
123,2 July 2020 06:45,2685,-,Ireland
124,2 July 2020 07:00,2781,-,Ireland
125,2 July 2020 07:15,2934,-,Ireland
126,2 July 2020 07:30,3014,-,Ireland
127,2 July 2020 07:45,3123,-,Ireland
128,2 July 2020 08:00,3238,-,Ireland
129,2 July 2020 08:15,3362,-,Ireland
130,2 July 2020 08:30,3436,-,Ireland
131,2 July 2020 08:45,3500,-,Ireland
132,2 July 2020 09:00,3555,-,Ireland
133,2 July 2020 09:15,3603,-,Ireland
134,2 July 2020 09:30,3608,-,Ireland
135,2 July 2020 09:45,3629,-,Ireland
136,2 July 2020 10:00,3635,-,Ireland
137,2 July 2020 10:15,3646,-,Ireland
138,2 July 2020 10:30,3651,-,Ireland
139,2 July 2020 10:45,3669,-,Ireland
140,2 July 2020 11:00,3680,-,Ireland
141,2 July 2020 11:15,3694,-,Ireland
142,2 July 2020 11:30,3694,-,Ireland
143,2 July 2020 11:45,3691,-,Ireland
144,2 July 2020 12:00,3693,-,Ireland
145,2 July 2020 12:15,3726,-,Ireland
146,2 July 2020 12:30,3736,-,Ireland
147,2 July 2020 12:45,3761,-,Ireland
148,2 July 2020 13:00,3761,-,Ireland
149,2 July 2020 13:15,3741,-,Ireland
150,2 July 2020 13:30,3692,-,Ireland
151,2 July 2020 13:45,3664,-,Ireland
152,2 July 2020 14:00,3653,-,Ireland
153,2 July 2020 14:15,3634,-,Ireland
154,2 July 2020 14:30,3609,-,Ireland
155,2 July 2020 14:45,3574,-,Ireland
156,2 July 2020 15:00,3568,-,Ireland
157,2 July 2020 15:15,3556,-,Ireland
158,2 July 2020 15:30,3561,-,Ireland
159,2 July 2020 15:45,3555,-,Ireland
160,2 July 2020 16:00,3557,-,Ireland
161,2 July 2020 16:15,3592,-,Ireland
162,2 July 2020 16:30,3629,-,Ireland
163,2 July 2020 16:45,3661,-,Ireland
164,2 July 2020 17:00,3707,-,Ireland
165,2 July 2020 17:15,3761,-,Ireland
166,2 July 2020 17:30,3798,-,Ireland
167,2 July 2020 17:45,3808,-,Ireland
168,2 July 2020 18:00,3771,-,Ireland
169,2 July 2020 18:15,3740,-,Ireland
170,2 July 2020 18:30,3726,-,Ireland
171,2 July 2020 18:45,3679,-,Ireland
172,2 July 2020 19:00,3636,-,Ireland
173,2 July 2020 19:15,3571,-,Ireland
174,2 July 2020 19:30,3551,-,Ireland
175,2 July 2020 19:45,3504,-,Ireland
176,2 July 2020 20:00,3480,-,Ireland
177,2 July 2020 20:15,3464,-,Ireland
178,2 July 2020 20:30,3420,-,Ireland
179,2 July 2020 20:45,3383,-,Ireland
180,2 July 2020 21:00,3328,-,Ireland
181,2 July 2020 21:15,3319,-,Ireland
182,2 July 2020 21:30,3282,-,Ireland
183,2 July 2020 21:45,3262,-,Ireland
184,2 July 2020 22:00,3235,-,Ireland
185,2 July 2020 22:15,3229,-,Ireland
186,2 July 2020 22:30,3174,-,Ireland
187,2 July 2020 22:45,3084,-,Ireland
188,2 July 2020 23:00,3012,-,Ireland
189,2 July 2020 23:15,2930,-,Ireland
190,2 July 2020 23:30,2879,-,Ireland
191,2 July 2020 23:45,2809,-,Ireland
192,3 July 2020 00:00,2775,-,Ireland
193,3 July 2020 00:15,2752,-,Ireland
194,3 July 2020 00:30,2676,-,Ireland
195,3 July 2020 00:45,2643,-,Ireland
196,3 July 2020 01:00,2588,-,Ireland
197,3 July 2020 01:15,2538,-,Ireland
198,3 July 2020 01:30,2512,-,Ireland
199,3 July 2020 01:45,2460,-,Ireland
200,3 July 2020 02:00,2440,-,Ireland
201,3 July 2020 02:15,2430,-,Ireland
202,3 July 2020 02:30,2392,-,Ireland
203,3 July 2020 02:45,2371,-,Ireland
204,3 July 2020 03:00,2353,-,Ireland
205,3 July 2020 03:15,2347,-,Ireland
206,3 July 2020 03:30,2327,-,Ireland
207,3 July 2020 03:45,2316,-,Ireland
208,3 July 2020 04:00,2316,-,Ireland
209,3 July 2020 04:15,2326,-,Ireland
210,3 July 2020 04:30,2333,-,Ireland
211,3 July 2020 04:45,2341,-,Ireland
212,3 July 2020 05:00,2346,-,Ireland
213,3 July 2020 05:15,2361,-,Ireland
214,3 July 2020 05:30,2355,-,Ireland
215,3 July 2020 05:45,2373,-,Ireland
216,3 July 2020 06:00,2444,-,Ireland
217,3 July 2020 06:15,2528,-,Ireland
218,3 July 2020 06:30,2568,-,Ireland
219,3 July 2020 06:45,2646,-,Ireland
220,3 July 2020 07:00,2770,-,Ireland
221,3 July 2020 07:15,2895,-,Ireland
222,3 July 2020 07:30,2967,-,Ireland
223,3 July 2020 07:45,3074,-,Ireland
224,3 July 2020 08:00,3187,-,Ireland
225,3 July 2020 08:15,3319,-,Ireland
226,3 July 2020 08:30,3426,-,Ireland
227,3 July 2020 08:45,3505,-,Ireland
228,3 July 2020 09:00,3558,-,Ireland
229,3 July 2020 09:15,3593,-,Ireland
230,3 July 2020 09:30,3638,-,Ireland
231,3 July 2020 09:45,3634,-,Ireland
