,DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
0,1 June 2020 00:00,2454,-,Ireland
1,1 June 2020 00:15,2427,-,Ireland
2,1 June 2020 00:30,2380,-,Ireland
3,1 June 2020 00:45,2344,-,Ireland
4,1 June 2020 01:00,2301,-,Ireland
5,1 June 2020 01:15,2274,-,Ireland
6,1 June 2020 01:30,2233,-,Ireland
7,1 June 2020 01:45,2212,-,Ireland
8,1 June 2020 02:00,2195,-,Ireland
9,1 June 2020 02:15,2188,-,Ireland
10,1 June 2020 02:30,2167,-,Ireland
11,1 June 2020 02:45,2158,-,Ireland
12,1 June 2020 03:00,2143,-,Ireland
13,1 June 2020 03:15,2142,-,Ireland
14,1 June 2020 03:30,2137,-,Ireland
15,1 June 2020 03:45,2127,-,Ireland
16,1 June 2020 04:00,2121,-,Ireland
17,1 June 2020 04:15,2127,-,Ireland
18,1 June 2020 04:30,2126,-,Ireland
19,1 June 2020 04:45,2110,-,Ireland
20,1 June 2020 05:00,2085,-,Ireland
21,1 June 2020 05:15,2072,-,Ireland
22,1 June 2020 05:30,2074,-,Ireland
23,1 June 2020 05:45,2086,-,Ireland
24,1 June 2020 06:00,2113,-,Ireland
25,1 June 2020 06:15,2163,-,Ireland
26,1 June 2020 06:30,2190,-,Ireland
27,1 June 2020 06:45,2223,-,Ireland
28,1 June 2020 07:00,2268,-,Ireland
29,1 June 2020 07:15,2314,-,Ireland
30,1 June 2020 07:30,2361,-,Ireland
31,1 June 2020 07:45,2430,-,Ireland
32,1 June 2020 08:00,2495,-,Ireland
33,1 June 2020 08:15,2563,-,Ireland
34,1 June 2020 08:30,2619,-,Ireland
35,1 June 2020 08:45,2687,-,Ireland
36,1 June 2020 09:00,2748,-,Ireland
37,1 June 2020 09:15,2812,-,Ireland
38,1 June 2020 09:30,2863,-,Ireland
39,1 June 2020 09:45,2915,-,Ireland
40,1 June 2020 10:00,2954,-,Ireland
41,1 June 2020 10:15,2981,-,Ireland
42,1 June 2020 10:30,3015,-,Ireland
43,1 June 2020 10:45,3028,-,Ireland
44,1 June 2020 11:00,3053,-,Ireland
45,1 June 2020 11:15,3071,-,Ireland
46,1 June 2020 11:30,3065,-,Ireland
47,1 June 2020 11:45,3067,-,Ireland
48,1 June 2020 12:00,3082,-,Ireland
49,1 June 2020 12:15,3084,-,Ireland
50,1 June 2020 12:30,3090,-,Ireland
51,1 June 2020 12:45,3090,-,Ireland
52,1 June 2020 13:00,3095,-,Ireland
53,1 June 2020 13:15,3079,-,Ireland
54,1 June 2020 13:30,3046,-,Ireland
55,1 June 2020 13:45,3006,-,Ireland
56,1 June 2020 14:00,2979,-,Ireland
57,1 June 2020 14:15,2948,-,Ireland
58,1 June 2020 14:30,2924,-,Ireland
59,1 June 2020 14:45,2905,-,Ireland
60,1 June 2020 15:00,2883,-,Ireland
61,1 June 2020 15:15,2868,-,Ireland
62,1 June 2020 15:30,2854,-,Ireland
63,1 June 2020 15:45,2852,-,Ireland
64,1 June 2020 16:00,2864,-,Ireland
65,1 June 2020 16:15,2890,-,Ireland
66,1 June 2020 16:30,2910,-,Ireland
67,1 June 2020 16:45,2955,-,Ireland
68,1 June 2020 17:00,2999,-,Ireland
69,1 June 2020 17:15,3068,-,Ireland
70,1 June 2020 17:30,3107,-,Ireland
71,1 June 2020 17:45,3141,-,Ireland
72,1 June 2020 18:00,3169,-,Ireland
73,1 June 2020 18:15,3156,-,Ireland
74,1 June 2020 18:30,3145,-,Ireland
75,1 June 2020 18:45,3113,-,Ireland
76,1 June 2020 19:00,3084,-,Ireland
77,1 June 2020 19:15,3044,-,Ireland
78,1 June 2020 19:30,3018,-,Ireland
79,1 June 2020 19:45,2992,-,Ireland
80,1 June 2020 20:00,2961,-,Ireland
81,1 June 2020 20:15,2932,-,Ireland
82,1 June 2020 20:30,2925,-,Ireland
83,1 June 2020 20:45,2911,-,Ireland
84,1 June 2020 21:00,2896,-,Ireland
85,1 June 2020 21:15,2865,-,Ireland
86,1 June 2020 21:30,2851,-,Ireland
87,1 June 2020 21:45,2823,-,Ireland
88,1 June 2020 22:00,2825,-,Ireland
89,1 June 2020 22:15,2871,-,Ireland
90,1 June 2020 22:30,2852,-,Ireland
91,1 June 2020 22:45,2800,-,Ireland
92,1 June 2020 23:00,2740,-,Ireland
93,1 June 2020 23:15,2681,-,Ireland
94,1 June 2020 23:30,2609,-,Ireland
95,1 June 2020 23:45,2543,-,Ireland
96,2 June 2020 00:00,2487,-,Ireland
97,2 June 2020 00:15,2456,-,Ireland
98,2 June 2020 00:30,2399,-,Ireland
99,2 June 2020 00:45,2360,-,Ireland
100,2 June 2020 01:00,2333,-,Ireland
101,2 June 2020 01:15,2305,-,Ireland
102,2 June 2020 01:30,2277,-,Ireland
103,2 June 2020 01:45,2254,-,Ireland
104,2 June 2020 02:00,2243,-,Ireland
105,2 June 2020 02:15,2221,-,Ireland
106,2 June 2020 02:30,2197,-,Ireland
107,2 June 2020 02:45,2186,-,Ireland
108,2 June 2020 03:00,2185,-,Ireland
109,2 June 2020 03:15,2179,-,Ireland
110,2 June 2020 03:30,2166,-,Ireland
111,2 June 2020 03:45,2157,-,Ireland
112,2 June 2020 04:00,2159,-,Ireland
113,2 June 2020 04:15,2171,-,Ireland
114,2 June 2020 04:30,2172,-,Ireland
115,2 June 2020 04:45,2171,-,Ireland
116,2 June 2020 05:00,2146,-,Ireland
117,2 June 2020 05:15,2137,-,Ireland
118,2 June 2020 05:30,2149,-,Ireland
119,2 June 2020 05:45,2175,-,Ireland
120,2 June 2020 06:00,2218,-,Ireland
121,2 June 2020 06:15,2311,-,Ireland
122,2 June 2020 06:30,2352,-,Ireland
123,2 June 2020 06:45,2427,-,Ireland
124,2 June 2020 07:00,2521,-,Ireland
125,2 June 2020 07:15,2644,-,Ireland
126,2 June 2020 07:30,2734,-,Ireland
127,2 June 2020 07:45,2825,-,Ireland
128,2 June 2020 08:00,2941,-,Ireland
129,2 June 2020 08:15,3061,-,Ireland
130,2 June 2020 08:30,3139,-,Ireland
131,2 June 2020 08:45,3224,-,Ireland
132,2 June 2020 09:00,3275,-,Ireland
133,2 June 2020 09:15,3340,-,Ireland
134,2 June 2020 09:30,3373,-,Ireland
135,2 June 2020 09:45,3390,-,Ireland
136,2 June 2020 10:00,3392,-,Ireland
137,2 June 2020 10:15,3396,-,Ireland
138,2 June 2020 10:30,3421,-,Ireland
139,2 June 2020 10:45,3421,-,Ireland
140,2 June 2020 11:00,3433,-,Ireland
141,2 June 2020 11:15,3419,-,Ireland
142,2 June 2020 11:30,3425,-,Ireland
143,2 June 2020 11:45,3417,-,Ireland
144,2 June 2020 12:00,3432,-,Ireland
145,2 June 2020 12:15,3460,-,Ireland
146,2 June 2020 12:30,3486,-,Ireland
147,2 June 2020 12:45,3506,-,Ireland
148,2 June 2020 13:00,3519,-,Ireland
149,2 June 2020 13:15,3478,-,Ireland
150,2 June 2020 13:30,3431,-,Ireland
151,2 June 2020 13:45,3411,-,Ireland
152,2 June 2020 14:00,3376,-,Ireland
153,2 June 2020 14:15,3367,-,Ireland
154,2 June 2020 14:30,3364,-,Ireland
155,2 June 2020 14:45,3351,-,Ireland
156,2 June 2020 15:00,3325,-,Ireland
157,2 June 2020 15:15,3329,-,Ireland
158,2 June 2020 15:30,3307,-,Ireland
159,2 June 2020 15:45,3308,-,Ireland
160,2 June 2020 16:00,3327,-,Ireland
161,2 June 2020 16:15,3353,-,Ireland
162,2 June 2020 16:30,3380,-,Ireland
163,2 June 2020 16:45,3431,-,Ireland
164,2 June 2020 17:00,3465,-,Ireland
165,2 June 2020 17:15,3502,-,Ireland
166,2 June 2020 17:30,3537,-,Ireland
167,2 June 2020 17:45,3583,-,Ireland
168,2 June 2020 18:00,3582,-,Ireland
169,2 June 2020 18:15,3517,-,Ireland
170,2 June 2020 18:30,3500,-,Ireland
