,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 August 2017 00:00,2775,Ireland
1,1 August 2017 00:15,2793,Ireland
2,1 August 2017 00:30,2771,Ireland
3,1 August 2017 00:45,2751,Ireland
4,1 August 2017 01:00,2622,Ireland
5,1 August 2017 01:15,2594,Ireland
6,1 August 2017 01:30,2577,Ireland
7,1 August 2017 01:45,2551,Ireland
8,1 August 2017 02:00,2519,Ireland
9,1 August 2017 02:15,2523,Ireland
10,1 August 2017 02:30,2513,Ireland
11,1 August 2017 02:45,2484,Ireland
12,1 August 2017 03:00,2399,Ireland
13,1 August 2017 03:15,2416,Ireland
14,1 August 2017 03:30,2365,Ireland
15,1 August 2017 03:45,2367,Ireland
16,1 August 2017 04:00,2327,Ireland
17,1 August 2017 04:15,2383,Ireland
18,1 August 2017 04:30,2353,Ireland
19,1 August 2017 04:45,2326,Ireland
20,1 August 2017 05:00,2357,Ireland
21,1 August 2017 05:15,2396,Ireland
22,1 August 2017 05:30,2374,Ireland
23,1 August 2017 05:45,2344,Ireland
24,1 August 2017 06:00,2365,Ireland
25,1 August 2017 06:15,2456,Ireland
26,1 August 2017 06:30,2536,Ireland
27,1 August 2017 06:45,2649,Ireland
28,1 August 2017 07:00,2668,Ireland
29,1 August 2017 07:15,2707,Ireland
30,1 August 2017 07:30,2690,Ireland
31,1 August 2017 07:45,2724,Ireland
32,1 August 2017 08:00,2775,Ireland
33,1 August 2017 08:15,2885,Ireland
34,1 August 2017 08:30,2852,Ireland
35,1 August 2017 08:45,2814,Ireland
36,1 August 2017 09:00,2821,Ireland
37,1 August 2017 09:15,2713,Ireland
38,1 August 2017 09:30,2685,Ireland
39,1 August 2017 09:45,2682,Ireland
40,1 August 2017 10:00,2722,Ireland
41,1 August 2017 10:15,2724,Ireland
42,1 August 2017 10:30,2743,Ireland
43,1 August 2017 10:45,2737,Ireland
44,1 August 2017 11:00,2720,Ireland
45,1 August 2017 11:15,2729,Ireland
46,1 August 2017 11:30,2716,Ireland
47,1 August 2017 11:45,2747,Ireland
48,1 August 2017 12:00,2741,Ireland
49,1 August 2017 12:15,2759,Ireland
50,1 August 2017 12:30,2767,Ireland
51,1 August 2017 12:45,2752,Ireland
52,1 August 2017 13:00,2872,Ireland
53,1 August 2017 13:15,2833,Ireland
54,1 August 2017 13:30,2805,Ireland
55,1 August 2017 13:45,2837,Ireland
56,1 August 2017 14:00,2773,Ireland
57,1 August 2017 14:15,2791,Ireland
58,1 August 2017 14:30,2789,Ireland
59,1 August 2017 14:45,2774,Ireland
60,1 August 2017 15:00,2766,Ireland
61,1 August 2017 15:15,2815,Ireland
62,1 August 2017 15:30,2833,Ireland
63,1 August 2017 15:45,2800,Ireland
64,1 August 2017 16:00,2835,Ireland
65,1 August 2017 16:15,2877,Ireland
66,1 August 2017 16:30,2905,Ireland
67,1 August 2017 16:45,2865,Ireland
68,1 August 2017 17:00,2914,Ireland
69,1 August 2017 17:15,2949,Ireland
70,1 August 2017 17:30,3010,Ireland
71,1 August 2017 17:45,3019,Ireland
72,1 August 2017 18:00,3020,Ireland
73,1 August 2017 18:15,2969,Ireland
74,1 August 2017 18:30,2920,Ireland
75,1 August 2017 18:45,2884,Ireland
