,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 February 2017 00:00,3142,Ireland
1,1 February 2017 00:15,3218,Ireland
2,1 February 2017 00:30,3214,Ireland
3,1 February 2017 00:45,3250,Ireland
4,1 February 2017 01:00,3306,Ireland
5,1 February 2017 01:15,3304,Ireland
6,1 February 2017 01:30,3346,Ireland
7,1 February 2017 01:45,3396,Ireland
8,1 February 2017 02:00,3369,Ireland
9,1 February 2017 02:15,3294,Ireland
10,1 February 2017 02:30,3253,Ireland
11,1 February 2017 02:45,3283,Ireland
12,1 February 2017 03:00,3269,Ireland
13,1 February 2017 03:15,3277,Ireland
14,1 February 2017 03:30,3254,Ireland
15,1 February 2017 03:45,3218,Ireland
16,1 February 2017 04:00,3152,Ireland
17,1 February 2017 04:15,3121,Ireland
18,1 February 2017 04:30,3113,Ireland
19,1 February 2017 04:45,3163,Ireland
20,1 February 2017 05:00,3196,Ireland
21,1 February 2017 05:15,3261,Ireland
22,1 February 2017 05:30,3302,Ireland
23,1 February 2017 05:45,3355,Ireland
24,1 February 2017 06:00,3399,Ireland
25,1 February 2017 06:15,3476,Ireland
26,1 February 2017 06:30,3593,Ireland
27,1 February 2017 06:45,3733,Ireland
28,1 February 2017 07:00,3891,Ireland
29,1 February 2017 07:15,4140,Ireland
30,1 February 2017 07:30,4210,Ireland
31,1 February 2017 07:45,4248,Ireland
32,1 February 2017 08:00,4084,Ireland
33,1 February 2017 08:15,3982,Ireland
34,1 February 2017 08:30,3960,Ireland
35,1 February 2017 08:45,4001,Ireland
36,1 February 2017 09:00,4034,Ireland
37,1 February 2017 09:15,4163,Ireland
38,1 February 2017 09:30,4213,Ireland
39,1 February 2017 09:45,4121,Ireland
40,1 February 2017 10:00,4153,Ireland
41,1 February 2017 10:15,4126,Ireland
42,1 February 2017 10:30,4101,Ireland
43,1 February 2017 10:45,4127,Ireland
44,1 February 2017 11:00,4125,Ireland
45,1 February 2017 11:15,4219,Ireland
46,1 February 2017 11:30,4267,Ireland
47,1 February 2017 11:45,4218,Ireland
48,1 February 2017 12:00,4184,Ireland
49,1 February 2017 12:15,4199,Ireland
50,1 February 2017 12:30,4180,Ireland
51,1 February 2017 12:45,4176,Ireland
52,1 February 2017 13:00,4124,Ireland
53,1 February 2017 13:15,4140,Ireland
54,1 February 2017 13:30,4145,Ireland
55,1 February 2017 13:45,4231,Ireland
56,1 February 2017 14:00,4162,Ireland
57,1 February 2017 14:15,4082,Ireland
