,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 January 2017 00:00,3275,Ireland
1,1 January 2017 00:15,3254,Ireland
2,1 January 2017 00:30,3258,Ireland
3,1 January 2017 00:45,3167,Ireland
4,1 January 2017 01:00,3177,Ireland
5,1 January 2017 01:15,3206,Ireland
6,1 January 2017 01:30,3123,Ireland
7,1 January 2017 01:45,3074,Ireland
8,1 January 2017 02:00,3150,Ireland
9,1 January 2017 02:15,3117,Ireland
10,1 January 2017 02:30,3037,Ireland
11,1 January 2017 02:45,2962,Ireland
12,1 January 2017 03:00,2918,Ireland
13,1 January 2017 03:15,2901,Ireland
14,1 January 2017 03:30,2799,Ireland
15,1 January 2017 03:45,2800,Ireland
16,1 January 2017 04:00,2647,Ireland
17,1 January 2017 04:15,2698,Ireland
18,1 January 2017 04:30,2625,Ireland
19,1 January 2017 04:45,2761,Ireland
20,1 January 2017 05:00,2684,Ireland
21,1 January 2017 05:15,2700,Ireland
22,1 January 2017 05:30,2693,Ireland
23,1 January 2017 05:45,2736,Ireland
24,1 January 2017 06:00,2713,Ireland
25,1 January 2017 06:15,2807,Ireland
26,1 January 2017 06:30,2797,Ireland
27,1 January 2017 06:45,2789,Ireland
28,1 January 2017 07:00,2793,Ireland
29,1 January 2017 07:15,2812,Ireland
30,1 January 2017 07:30,2852,Ireland
31,1 January 2017 07:45,2822,Ireland
32,1 January 2017 08:00,2861,Ireland
33,1 January 2017 08:15,2893,Ireland
34,1 January 2017 08:30,2801,Ireland
35,1 January 2017 08:45,2887,Ireland
36,1 January 2017 09:00,2797,Ireland
37,1 January 2017 09:15,2897,Ireland
38,1 January 2017 09:30,2892,Ireland
39,1 January 2017 09:45,2957,Ireland
40,1 January 2017 10:00,3014,Ireland
41,1 January 2017 10:15,3029,Ireland
42,1 January 2017 10:30,3015,Ireland
43,1 January 2017 10:45,3291,Ireland
44,1 January 2017 11:00,3386,Ireland
45,1 January 2017 11:15,3477,Ireland
46,1 January 2017 11:30,3418,Ireland
47,1 January 2017 11:45,3258,Ireland
48,1 January 2017 12:00,3313,Ireland
49,1 January 2017 12:15,3262,Ireland
50,1 January 2017 12:30,3310,Ireland
51,1 January 2017 12:45,3257,Ireland
52,1 January 2017 13:00,3215,Ireland
53,1 January 2017 13:15,3229,Ireland
54,1 January 2017 13:30,3208,Ireland
55,1 January 2017 13:45,3200,Ireland
56,1 January 2017 14:00,3145,Ireland
57,1 January 2017 14:15,3184,Ireland
58,1 January 2017 14:30,3194,Ireland
59,1 January 2017 14:45,3169,Ireland
60,1 January 2017 15:00,3204,Ireland
61,1 January 2017 15:15,3270,Ireland
62,1 January 2017 15:30,3305,Ireland
63,1 January 2017 15:45,3285,Ireland
64,1 January 2017 16:00,3282,Ireland
65,1 January 2017 16:15,3324,Ireland
66,1 January 2017 16:30,3492,Ireland
67,1 January 2017 16:45,3724,Ireland
68,1 January 2017 17:00,3925,Ireland
69,1 January 2017 17:15,3984,Ireland
70,1 January 2017 17:30,3934,Ireland
71,1 January 2017 17:45,3933,Ireland
72,1 January 2017 18:00,3832,Ireland
73,1 January 2017 18:15,3750,Ireland
74,1 January 2017 18:30,3679,Ireland
75,1 January 2017 18:45,3736,Ireland
76,1 January 2017 19:00,3723,Ireland
77,1 January 2017 19:15,3658,Ireland
78,1 January 2017 19:30,3627,Ireland
79,1 January 2017 19:45,3585,Ireland
80,1 January 2017 20:00,3591,Ireland
81,1 January 2017 20:15,3580,Ireland
82,1 January 2017 20:30,3427,Ireland
83,1 January 2017 20:45,3329,Ireland
84,1 January 2017 21:00,3306,Ireland
85,1 January 2017 21:15,3312,Ireland
86,1 January 2017 21:30,3321,Ireland
87,1 January 2017 21:45,3247,Ireland
88,1 January 2017 22:00,3233,Ireland
89,1 January 2017 22:15,3225,Ireland
90,1 January 2017 22:30,3149,Ireland
91,1 January 2017 22:45,3285,Ireland
92,1 January 2017 23:00,3290,Ireland
93,1 January 2017 23:15,3254,Ireland
94,1 January 2017 23:30,3175,Ireland
95,1 January 2017 23:45,3178,Ireland
96,2 January 2017 00:00,3185,Ireland
97,2 January 2017 00:15,3141,Ireland
98,2 January 2017 00:30,3129,Ireland
99,2 January 2017 00:45,3105,Ireland
100,2 January 2017 01:00,3061,Ireland
101,2 January 2017 01:15,3020,Ireland
102,2 January 2017 01:30,3070,Ireland
103,2 January 2017 01:45,3064,Ireland
104,2 January 2017 02:00,3010,Ireland
105,2 January 2017 02:15,3068,Ireland
106,2 January 2017 02:30,3046,Ireland
107,2 January 2017 02:45,2987,Ireland
108,2 January 2017 03:00,2993,Ireland
109,2 January 2017 03:15,2956,Ireland
110,2 January 2017 03:30,2947,Ireland
111,2 January 2017 03:45,2929,Ireland
112,2 January 2017 04:00,2912,Ireland
113,2 January 2017 04:15,2907,Ireland
114,2 January 2017 04:30,2905,Ireland
115,2 January 2017 04:45,2893,Ireland
116,2 January 2017 05:00,2859,Ireland
117,2 January 2017 05:15,2883,Ireland
118,2 January 2017 05:30,2889,Ireland
119,2 January 2017 05:45,2919,Ireland
120,2 January 2017 06:00,2955,Ireland
121,2 January 2017 06:15,3031,Ireland
122,2 January 2017 06:30,2975,Ireland
123,2 January 2017 06:45,2998,Ireland
124,2 January 2017 07:00,2885,Ireland
125,2 January 2017 07:15,2849,Ireland
126,2 January 2017 07:30,2763,Ireland
127,2 January 2017 07:45,2761,Ireland
128,2 January 2017 08:00,2773,Ireland
129,2 January 2017 08:15,2857,Ireland
130,2 January 2017 08:30,2886,Ireland
131,2 January 2017 08:45,2894,Ireland
132,2 January 2017 09:00,2795,Ireland
133,2 January 2017 09:15,2974,Ireland
134,2 January 2017 09:30,3040,Ireland
135,2 January 2017 09:45,3043,Ireland
136,2 January 2017 10:00,3038,Ireland
137,2 January 2017 10:15,3118,Ireland
138,2 January 2017 10:30,3059,Ireland
139,2 January 2017 10:45,3165,Ireland
140,2 January 2017 11:00,3167,Ireland
141,2 January 2017 11:15,3248,Ireland
142,2 January 2017 11:30,3178,Ireland
143,2 January 2017 11:45,3075,Ireland
144,2 January 2017 12:00,3095,Ireland
145,2 January 2017 12:15,3137,Ireland
146,2 January 2017 12:30,3146,Ireland
147,2 January 2017 12:45,3144,Ireland
148,2 January 2017 13:00,3171,Ireland
149,2 January 2017 13:15,3238,Ireland
150,2 January 2017 13:30,3289,Ireland
151,2 January 2017 13:45,3317,Ireland
152,2 January 2017 14:00,3349,Ireland
153,2 January 2017 14:15,3335,Ireland
154,2 January 2017 14:30,3314,Ireland
155,2 January 2017 14:45,3309,Ireland
156,2 January 2017 15:00,3300,Ireland
157,2 January 2017 15:15,3333,Ireland
158,2 January 2017 15:30,3391,Ireland
159,2 January 2017 15:45,3417,Ireland
160,2 January 2017 16:00,3462,Ireland
161,2 January 2017 16:15,3511,Ireland
162,2 January 2017 16:30,3613,Ireland
163,2 January 2017 16:45,3750,Ireland
164,2 January 2017 17:00,3871,Ireland
165,2 January 2017 17:15,4006,Ireland
166,2 January 2017 17:30,3998,Ireland
167,2 January 2017 17:45,4005,Ireland
168,2 January 2017 18:00,3948,Ireland
169,2 January 2017 18:15,3881,Ireland
170,2 January 2017 18:30,3720,Ireland
171,2 January 2017 18:45,3653,Ireland
172,2 January 2017 19:00,3635,Ireland
173,2 January 2017 19:15,3643,Ireland
174,2 January 2017 19:30,3516,Ireland
175,2 January 2017 19:45,3504,Ireland
176,2 January 2017 20:00,3522,Ireland
177,2 January 2017 20:15,3583,Ireland
178,2 January 2017 20:30,3455,Ireland
179,2 January 2017 20:45,3377,Ireland
180,2 January 2017 21:00,3487,Ireland
181,2 January 2017 21:15,3476,Ireland
182,2 January 2017 21:30,3502,Ireland
183,2 January 2017 21:45,3438,Ireland
184,2 January 2017 22:00,3477,Ireland
185,2 January 2017 22:15,3418,Ireland
186,2 January 2017 22:30,3381,Ireland
187,2 January 2017 22:45,3311,Ireland
188,2 January 2017 23:00,3222,Ireland
189,2 January 2017 23:15,3207,Ireland
190,2 January 2017 23:30,3135,Ireland
191,2 January 2017 23:45,3115,Ireland
192,3 January 2017 00:00,3170,Ireland
193,3 January 2017 00:15,3329,Ireland
194,3 January 2017 00:30,3311,Ireland
195,3 January 2017 00:45,3305,Ireland
196,3 January 2017 01:00,3374,Ireland
197,3 January 2017 01:15,3377,Ireland
198,3 January 2017 01:30,3335,Ireland
199,3 January 2017 01:45,3315,Ireland
