,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 April 2019 00:00,2141,Ireland
1,1 April 2019 00:15,2110,Ireland
2,1 April 2019 00:30,2035,Ireland
3,1 April 2019 00:45,2119,Ireland
4,1 April 2019 01:00,2132,Ireland
5,1 April 2019 01:15,2173,Ireland
6,1 April 2019 01:30,2210,Ireland
7,1 April 2019 01:45,2235,Ireland
8,1 April 2019 02:00,2283,Ireland
9,1 April 2019 02:15,2364,Ireland
10,1 April 2019 02:30,2384,Ireland
11,1 April 2019 02:45,2354,Ireland
12,1 April 2019 03:00,2359,Ireland
13,1 April 2019 03:15,2372,Ireland
14,1 April 2019 03:30,2347,Ireland
15,1 April 2019 03:45,2337,Ireland
16,1 April 2019 04:00,2367,Ireland
17,1 April 2019 04:15,2407,Ireland
18,1 April 2019 04:30,2368,Ireland
19,1 April 2019 04:45,2419,Ireland
20,1 April 2019 05:00,2517,Ireland
21,1 April 2019 05:15,2631,Ireland
22,1 April 2019 05:30,2672,Ireland
23,1 April 2019 05:45,2748,Ireland
24,1 April 2019 06:00,2799,Ireland
25,1 April 2019 06:15,3023,Ireland
26,1 April 2019 06:30,2986,Ireland
27,1 April 2019 06:45,3054,Ireland
28,1 April 2019 07:00,3069,Ireland
29,1 April 2019 07:15,3099,Ireland
30,1 April 2019 07:30,3090,Ireland
31,1 April 2019 07:45,3114,Ireland
32,1 April 2019 08:00,3128,Ireland
33,1 April 2019 08:15,3110,Ireland
34,1 April 2019 08:30,3060,Ireland
35,1 April 2019 08:45,3056,Ireland
36,1 April 2019 09:00,3108,Ireland
37,1 April 2019 09:15,3152,Ireland
38,1 April 2019 09:30,3180,Ireland
39,1 April 2019 09:45,3177,Ireland
40,1 April 2019 10:00,3135,Ireland
41,1 April 2019 10:15,3113,Ireland
42,1 April 2019 10:30,3142,Ireland
43,1 April 2019 10:45,3130,Ireland
44,1 April 2019 11:00,3119,Ireland
45,1 April 2019 11:15,3101,Ireland
46,1 April 2019 11:30,3120,Ireland
47,1 April 2019 11:45,3130,Ireland
48,1 April 2019 12:00,3112,Ireland
49,1 April 2019 12:15,3163,Ireland
50,1 April 2019 12:30,3179,Ireland
51,1 April 2019 12:45,3224,Ireland
52,1 April 2019 13:00,3175,Ireland
53,1 April 2019 13:15,3127,Ireland
54,1 April 2019 13:30,3108,Ireland
55,1 April 2019 13:45,3072,Ireland
56,1 April 2019 14:00,3072,Ireland
57,1 April 2019 14:15,3086,Ireland
58,1 April 2019 14:30,3121,Ireland
59,1 April 2019 14:45,3149,Ireland
60,1 April 2019 15:00,3139,Ireland
61,1 April 2019 15:15,3191,Ireland
62,1 April 2019 15:30,3232,Ireland
63,1 April 2019 15:45,3267,Ireland
64,1 April 2019 16:00,3349,Ireland
65,1 April 2019 16:15,3385,Ireland
66,1 April 2019 16:30,3405,Ireland
67,1 April 2019 16:45,3456,Ireland
68,1 April 2019 17:00,3494,Ireland
69,1 April 2019 17:15,3623,Ireland
70,1 April 2019 17:30,3726,Ireland
71,1 April 2019 17:45,3712,Ireland
72,1 April 2019 18:00,3755,Ireland
73,1 April 2019 18:15,3776,Ireland
74,1 April 2019 18:30,3767,Ireland
75,1 April 2019 18:45,3742,Ireland
76,1 April 2019 19:00,3672,Ireland
77,1 April 2019 19:15,3619,Ireland
78,1 April 2019 19:30,3580,Ireland
79,1 April 2019 19:45,3627,Ireland
80,1 April 2019 20:00,3679,Ireland
81,1 April 2019 20:15,3695,Ireland
82,1 April 2019 20:30,3741,Ireland
83,1 April 2019 20:45,3582,Ireland
84,1 April 2019 21:00,3602,Ireland
85,1 April 2019 21:15,3536,Ireland
86,1 April 2019 21:30,3508,Ireland
87,1 April 2019 21:45,3363,Ireland
88,1 April 2019 22:00,3260,Ireland
89,1 April 2019 22:15,3196,Ireland
90,1 April 2019 22:30,3228,Ireland
91,1 April 2019 22:45,3217,Ireland
92,1 April 2019 23:00,3160,Ireland
93,1 April 2019 23:15,3001,Ireland
94,1 April 2019 23:30,2869,Ireland
95,1 April 2019 23:45,2790,Ireland
96,2 April 2019 00:00,2769,Ireland
97,2 April 2019 00:15,2844,Ireland
98,2 April 2019 00:30,2784,Ireland
99,2 April 2019 00:45,2765,Ireland
100,2 April 2019 01:00,2763,Ireland
101,2 April 2019 01:15,2809,Ireland
102,2 April 2019 01:30,2850,Ireland
103,2 April 2019 01:45,2869,Ireland
104,2 April 2019 02:00,2882,Ireland
105,2 April 2019 02:15,2924,Ireland
106,2 April 2019 02:30,2864,Ireland
107,2 April 2019 02:45,2866,Ireland
108,2 April 2019 03:00,2938,Ireland
109,2 April 2019 03:15,3034,Ireland
110,2 April 2019 03:30,2976,Ireland
111,2 April 2019 03:45,2975,Ireland
112,2 April 2019 04:00,2948,Ireland
113,2 April 2019 04:15,2885,Ireland
114,2 April 2019 04:30,2827,Ireland
115,2 April 2019 04:45,2866,Ireland
116,2 April 2019 05:00,2871,Ireland
117,2 April 2019 05:15,2969,Ireland
118,2 April 2019 05:30,2998,Ireland
119,2 April 2019 05:45,3176,Ireland
120,2 April 2019 06:00,3320,Ireland
121,2 April 2019 06:15,3445,Ireland
122,2 April 2019 06:30,3408,Ireland
123,2 April 2019 06:45,3288,Ireland
124,2 April 2019 07:00,3316,Ireland
125,2 April 2019 07:15,3476,Ireland
126,2 April 2019 07:30,3590,Ireland
127,2 April 2019 07:45,3657,Ireland
128,2 April 2019 08:00,3645,Ireland
129,2 April 2019 08:15,3672,Ireland
130,2 April 2019 08:30,3621,Ireland
131,2 April 2019 08:45,3648,Ireland
132,2 April 2019 09:00,3653,Ireland
133,2 April 2019 09:15,3704,Ireland
134,2 April 2019 09:30,3719,Ireland
135,2 April 2019 09:45,3725,Ireland
136,2 April 2019 10:00,3651,Ireland
137,2 April 2019 10:15,3713,Ireland
138,2 April 2019 10:30,3812,Ireland
139,2 April 2019 10:45,3880,Ireland
140,2 April 2019 11:00,3929,Ireland
141,2 April 2019 11:15,4029,Ireland
142,2 April 2019 11:30,4173,Ireland
143,2 April 2019 11:45,4133,Ireland
144,2 April 2019 12:00,4120,Ireland
145,2 April 2019 12:15,4134,Ireland
146,2 April 2019 12:30,4192,Ireland
147,2 April 2019 12:45,4123,Ireland
148,2 April 2019 13:00,4133,Ireland
149,2 April 2019 13:15,4121,Ireland
150,2 April 2019 13:30,4104,Ireland
151,2 April 2019 13:45,4202,Ireland
152,2 April 2019 14:00,4157,Ireland
153,2 April 2019 14:15,4159,Ireland
154,2 April 2019 14:30,4362,Ireland
155,2 April 2019 14:45,4135,Ireland
156,2 April 2019 15:00,4141,Ireland
157,2 April 2019 15:15,4138,Ireland
158,2 April 2019 15:30,4233,Ireland
159,2 April 2019 15:45,4290,Ireland
160,2 April 2019 16:00,4178,Ireland
161,2 April 2019 16:15,4259,Ireland
162,2 April 2019 16:30,4375,Ireland
163,2 April 2019 16:45,4452,Ireland
164,2 April 2019 17:00,4533,Ireland
165,2 April 2019 17:15,4520,Ireland
166,2 April 2019 17:30,4747,Ireland
167,2 April 2019 17:45,4855,Ireland
168,2 April 2019 18:00,4846,Ireland
169,2 April 2019 18:15,4695,Ireland
170,2 April 2019 18:30,4659,Ireland
171,2 April 2019 18:45,4575,Ireland
172,2 April 2019 19:00,4529,Ireland
173,2 April 2019 19:15,4469,Ireland
174,2 April 2019 19:30,4449,Ireland
175,2 April 2019 19:45,4404,Ireland
176,2 April 2019 20:00,4411,Ireland
177,2 April 2019 20:15,4430,Ireland
178,2 April 2019 20:30,4523,Ireland
179,2 April 2019 20:45,4530,Ireland
180,2 April 2019 21:00,4541,Ireland
181,2 April 2019 21:15,4394,Ireland
182,2 April 2019 21:30,4235,Ireland
183,2 April 2019 21:45,4240,Ireland
184,2 April 2019 22:00,4162,Ireland
185,2 April 2019 22:15,4082,Ireland
186,2 April 2019 22:30,3963,Ireland
187,2 April 2019 22:45,3805,Ireland
188,2 April 2019 23:00,3638,Ireland
189,2 April 2019 23:15,3614,Ireland
190,2 April 2019 23:30,3568,Ireland
191,2 April 2019 23:45,3405,Ireland
192,3 April 2019 00:00,3410,Ireland
193,3 April 2019 00:15,3407,Ireland
194,3 April 2019 00:30,3590,Ireland
195,3 April 2019 00:45,3561,Ireland
196,3 April 2019 01:00,3445,Ireland
197,3 April 2019 01:15,3401,Ireland
198,3 April 2019 01:30,3323,Ireland
199,3 April 2019 01:45,3307,Ireland
200,3 April 2019 02:00,3296,Ireland
201,3 April 2019 02:15,3228,Ireland
202,3 April 2019 02:30,3230,Ireland
203,3 April 2019 02:45,3145,Ireland
204,3 April 2019 03:00,3113,Ireland
205,3 April 2019 03:15,3059,Ireland
206,3 April 2019 03:30,3104,Ireland
207,3 April 2019 03:45,3084,Ireland
208,3 April 2019 04:00,3099,Ireland
209,3 April 2019 04:15,3128,Ireland
210,3 April 2019 04:30,3134,Ireland
211,3 April 2019 04:45,3145,Ireland
212,3 April 2019 05:00,3153,Ireland
213,3 April 2019 05:15,3199,Ireland
214,3 April 2019 05:30,3242,Ireland
215,3 April 2019 05:45,3278,Ireland
216,3 April 2019 06:00,3341,Ireland
217,3 April 2019 06:15,3426,Ireland
218,3 April 2019 06:30,3521,Ireland
219,3 April 2019 06:45,3610,Ireland
220,3 April 2019 07:00,3611,Ireland
221,3 April 2019 07:15,3885,Ireland
222,3 April 2019 07:30,3959,Ireland
223,3 April 2019 07:45,4000,Ireland
224,3 April 2019 08:00,4036,Ireland
225,3 April 2019 08:15,4021,Ireland
226,3 April 2019 08:30,3862,Ireland
227,3 April 2019 08:45,3891,Ireland
228,3 April 2019 09:00,4030,Ireland
229,3 April 2019 09:15,4241,Ireland
230,3 April 2019 09:30,4267,Ireland
231,3 April 2019 09:45,4201,Ireland
232,3 April 2019 10:00,4229,Ireland
233,3 April 2019 10:15,4206,Ireland
234,3 April 2019 10:30,4150,Ireland
235,3 April 2019 10:45,4211,Ireland
236,3 April 2019 11:00,4221,Ireland
237,3 April 2019 11:15,4234,Ireland
238,3 April 2019 11:30,4283,Ireland
239,3 April 2019 11:45,4282,Ireland
240,3 April 2019 12:00,4274,Ireland
241,3 April 2019 12:15,4311,Ireland
242,3 April 2019 12:30,4330,Ireland
243,3 April 2019 12:45,4360,Ireland
244,3 April 2019 13:00,4322,Ireland
245,3 April 2019 13:15,4304,Ireland
246,3 April 2019 13:30,4251,Ireland
247,3 April 2019 13:45,4253,Ireland
248,3 April 2019 14:00,4270,Ireland
249,3 April 2019 14:15,4274,Ireland
250,3 April 2019 14:30,4282,Ireland
251,3 April 2019 14:45,4232,Ireland
252,3 April 2019 15:00,4261,Ireland
253,3 April 2019 15:15,4288,Ireland
254,3 April 2019 15:30,4319,Ireland
255,3 April 2019 15:45,4329,Ireland
256,3 April 2019 16:00,4338,Ireland
257,3 April 2019 16:15,4412,Ireland
258,3 April 2019 16:30,4409,Ireland
259,3 April 2019 16:45,4491,Ireland
260,3 April 2019 17:00,4557,Ireland
261,3 April 2019 17:15,4549,Ireland
262,3 April 2019 17:30,4522,Ireland
263,3 April 2019 17:45,4501,Ireland
264,3 April 2019 18:00,4512,Ireland
265,3 April 2019 18:15,4473,Ireland
266,3 April 2019 18:30,4504,Ireland
267,3 April 2019 18:45,4505,Ireland
268,3 April 2019 19:00,4477,Ireland
269,3 April 2019 19:15,4461,Ireland
270,3 April 2019 19:30,4442,Ireland
271,3 April 2019 19:45,4471,Ireland
272,3 April 2019 20:00,4511,Ireland
273,3 April 2019 20:15,4590,Ireland
274,3 April 2019 20:30,4594,Ireland
275,3 April 2019 20:45,4557,Ireland
276,3 April 2019 21:00,4451,Ireland
277,3 April 2019 21:15,4328,Ireland
278,3 April 2019 21:30,4229,Ireland
279,3 April 2019 21:45,4143,Ireland
280,3 April 2019 22:00,4111,Ireland
281,3 April 2019 22:15,3993,Ireland
282,3 April 2019 22:30,3863,Ireland
283,3 April 2019 22:45,3777,Ireland
284,3 April 2019 23:00,3757,Ireland
285,3 April 2019 23:15,3869,Ireland
286,3 April 2019 23:30,3713,Ireland
287,3 April 2019 23:45,3672,Ireland
288,4 April 2019 00:00,3587,Ireland
289,4 April 2019 00:15,3563,Ireland
290,4 April 2019 00:30,3513,Ireland
291,4 April 2019 00:45,3496,Ireland
292,4 April 2019 01:00,3491,Ireland
293,4 April 2019 01:15,3420,Ireland
294,4 April 2019 01:30,3394,Ireland
295,4 April 2019 01:45,3337,Ireland
296,4 April 2019 02:00,3314,Ireland
297,4 April 2019 02:15,3285,Ireland
298,4 April 2019 02:30,3301,Ireland
299,4 April 2019 02:45,3292,Ireland
300,4 April 2019 03:00,3239,Ireland
301,4 April 2019 03:15,3184,Ireland
302,4 April 2019 03:30,3128,Ireland
303,4 April 2019 03:45,3103,Ireland
304,4 April 2019 04:00,3101,Ireland
305,4 April 2019 04:15,3127,Ireland
306,4 April 2019 04:30,3142,Ireland
307,4 April 2019 04:45,3081,Ireland
308,4 April 2019 05:00,3132,Ireland
309,4 April 2019 05:15,3157,Ireland
310,4 April 2019 05:30,3269,Ireland
311,4 April 2019 05:45,3310,Ireland
312,4 April 2019 06:00,3427,Ireland
313,4 April 2019 06:15,3615,Ireland
314,4 April 2019 06:30,3730,Ireland
315,4 April 2019 06:45,3783,Ireland
316,4 April 2019 07:00,3915,Ireland
317,4 April 2019 07:15,4165,Ireland
318,4 April 2019 07:30,4135,Ireland
319,4 April 2019 07:45,4197,Ireland
320,4 April 2019 08:00,4189,Ireland
321,4 April 2019 08:15,4253,Ireland
322,4 April 2019 08:30,4184,Ireland
323,4 April 2019 08:45,4256,Ireland
324,4 April 2019 09:00,4255,Ireland
325,4 April 2019 09:15,4206,Ireland
326,4 April 2019 09:30,4226,Ireland
327,4 April 2019 09:45,4213,Ireland
328,4 April 2019 10:00,4227,Ireland
329,4 April 2019 10:15,4151,Ireland
330,4 April 2019 10:30,4234,Ireland
331,4 April 2019 10:45,4185,Ireland
332,4 April 2019 11:00,4105,Ireland
333,4 April 2019 11:15,3980,Ireland
334,4 April 2019 11:30,3872,Ireland
335,4 April 2019 11:45,3966,Ireland
336,4 April 2019 12:00,3860,Ireland
337,4 April 2019 12:15,3776,Ireland
338,4 April 2019 12:30,3714,Ireland
339,4 April 2019 12:45,3735,Ireland
340,4 April 2019 13:00,3672,Ireland
341,4 April 2019 13:15,3630,Ireland
342,4 April 2019 13:30,3580,Ireland
343,4 April 2019 13:45,3564,Ireland
344,4 April 2019 14:00,3515,Ireland
345,4 April 2019 14:15,3573,Ireland
346,4 April 2019 14:30,3606,Ireland
347,4 April 2019 14:45,3618,Ireland
348,4 April 2019 15:00,3584,Ireland
349,4 April 2019 15:15,3587,Ireland
350,4 April 2019 15:30,3603,Ireland
351,4 April 2019 15:45,3594,Ireland
352,4 April 2019 16:00,3705,Ireland
353,4 April 2019 16:15,3755,Ireland
354,4 April 2019 16:30,3780,Ireland
355,4 April 2019 16:45,3736,Ireland
356,4 April 2019 17:00,3698,Ireland
357,4 April 2019 17:15,3681,Ireland
358,4 April 2019 17:30,3691,Ireland
359,4 April 2019 17:45,3615,Ireland
360,4 April 2019 18:00,3482,Ireland
361,4 April 2019 18:15,3353,Ireland
362,4 April 2019 18:30,3416,Ireland
363,4 April 2019 18:45,3466,Ireland
364,4 April 2019 19:00,3396,Ireland
365,4 April 2019 19:15,3340,Ireland
366,4 April 2019 19:30,3298,Ireland
367,4 April 2019 19:45,3352,Ireland
368,4 April 2019 20:00,3354,Ireland
369,4 April 2019 20:15,3354,Ireland
370,4 April 2019 20:30,3421,Ireland
371,4 April 2019 20:45,3473,Ireland
372,4 April 2019 21:00,3505,Ireland
373,4 April 2019 21:15,3530,Ireland
374,4 April 2019 21:30,3432,Ireland
375,4 April 2019 21:45,3593,Ireland
376,4 April 2019 22:00,3536,Ireland
377,4 April 2019 22:15,3494,Ireland
378,4 April 2019 22:30,3404,Ireland
379,4 April 2019 22:45,3308,Ireland
380,4 April 2019 23:00,3215,Ireland
381,4 April 2019 23:15,3109,Ireland
382,4 April 2019 23:30,3015,Ireland
383,4 April 2019 23:45,2922,Ireland
384,5 April 2019 00:00,2885,Ireland
385,5 April 2019 00:15,3061,Ireland
386,5 April 2019 00:30,3044,Ireland
387,5 April 2019 00:45,3041,Ireland
388,5 April 2019 01:00,3114,Ireland
389,5 April 2019 01:15,3214,Ireland
390,5 April 2019 01:30,3137,Ireland
391,5 April 2019 01:45,3152,Ireland
392,5 April 2019 02:00,3166,Ireland
393,5 April 2019 02:15,3194,Ireland
394,5 April 2019 02:30,3257,Ireland
395,5 April 2019 02:45,3236,Ireland
396,5 April 2019 03:00,3200,Ireland
397,5 April 2019 03:15,3160,Ireland
398,5 April 2019 03:30,3070,Ireland
399,5 April 2019 03:45,3067,Ireland
400,5 April 2019 04:00,3207,Ireland
401,5 April 2019 04:15,3219,Ireland
402,5 April 2019 04:30,3257,Ireland
403,5 April 2019 04:45,3260,Ireland
404,5 April 2019 05:00,3255,Ireland
405,5 April 2019 05:15,3324,Ireland
406,5 April 2019 05:30,3270,Ireland
407,5 April 2019 05:45,3355,Ireland
408,5 April 2019 06:00,3436,Ireland
409,5 April 2019 06:15,3555,Ireland
410,5 April 2019 06:30,3589,Ireland
411,5 April 2019 06:45,3599,Ireland
412,5 April 2019 07:00,3625,Ireland
413,5 April 2019 07:15,3751,Ireland
414,5 April 2019 07:30,3784,Ireland
415,5 April 2019 07:45,3919,Ireland
416,5 April 2019 08:00,3965,Ireland
417,5 April 2019 08:15,3968,Ireland
418,5 April 2019 08:30,3892,Ireland
419,5 April 2019 08:45,3914,Ireland
420,5 April 2019 09:00,3887,Ireland
421,5 April 2019 09:15,3904,Ireland
422,5 April 2019 09:30,3934,Ireland
423,5 April 2019 09:45,3965,Ireland
424,5 April 2019 10:00,3880,Ireland
425,5 April 2019 10:15,3778,Ireland
426,5 April 2019 10:30,3751,Ireland
427,5 April 2019 10:45,3680,Ireland
428,5 April 2019 11:00,3663,Ireland
429,5 April 2019 11:15,3646,Ireland
430,5 April 2019 11:30,3498,Ireland
431,5 April 2019 11:45,3488,Ireland
432,5 April 2019 12:00,3485,Ireland
433,5 April 2019 12:15,3496,Ireland
434,5 April 2019 12:30,3458,Ireland
435,5 April 2019 12:45,3407,Ireland
436,5 April 2019 13:00,3348,Ireland
437,5 April 2019 13:15,3308,Ireland
438,5 April 2019 13:30,3281,Ireland
439,5 April 2019 13:45,3176,Ireland
440,5 April 2019 14:00,3185,Ireland
441,5 April 2019 14:15,3225,Ireland
442,5 April 2019 14:30,3194,Ireland
443,5 April 2019 14:45,3183,Ireland
444,5 April 2019 15:00,3169,Ireland
445,5 April 2019 15:15,3167,Ireland
446,5 April 2019 15:30,3162,Ireland
447,5 April 2019 15:45,3204,Ireland
448,5 April 2019 16:00,3244,Ireland
449,5 April 2019 16:15,3311,Ireland
450,5 April 2019 16:30,3438,Ireland
451,5 April 2019 16:45,3421,Ireland
452,5 April 2019 17:00,3385,Ireland
453,5 April 2019 17:15,3362,Ireland
454,5 April 2019 17:30,3401,Ireland
455,5 April 2019 17:45,3455,Ireland
456,5 April 2019 18:00,3449,Ireland
457,5 April 2019 18:15,3450,Ireland
458,5 April 2019 18:30,3345,Ireland
459,5 April 2019 18:45,3349,Ireland
460,5 April 2019 19:00,3396,Ireland
461,5 April 2019 19:15,3461,Ireland
462,5 April 2019 19:30,3516,Ireland
463,5 April 2019 19:45,3501,Ireland
464,5 April 2019 20:00,3613,Ireland
465,5 April 2019 20:15,3686,Ireland
466,5 April 2019 20:30,3676,Ireland
467,5 April 2019 20:45,3641,Ireland
468,5 April 2019 21:00,3697,Ireland
469,5 April 2019 21:15,3706,Ireland
470,5 April 2019 21:30,3696,Ireland
471,5 April 2019 21:45,3588,Ireland
472,5 April 2019 22:00,3540,Ireland
473,5 April 2019 22:15,3632,Ireland
474,5 April 2019 22:30,3623,Ireland
475,5 April 2019 22:45,3519,Ireland
476,5 April 2019 23:00,3366,Ireland
477,5 April 2019 23:15,3289,Ireland
478,5 April 2019 23:30,3150,Ireland
479,5 April 2019 23:45,3148,Ireland
480,6 April 2019 00:00,3180,Ireland
481,6 April 2019 00:15,3183,Ireland
482,6 April 2019 00:30,3248,Ireland
483,6 April 2019 00:45,3242,Ireland
484,6 April 2019 01:00,3298,Ireland
485,6 April 2019 01:15,3380,Ireland
486,6 April 2019 01:30,3361,Ireland
487,6 April 2019 01:45,3347,Ireland
488,6 April 2019 02:00,3414,Ireland
489,6 April 2019 02:15,3476,Ireland
490,6 April 2019 02:30,3460,Ireland
491,6 April 2019 02:45,3445,Ireland
492,6 April 2019 03:00,3444,Ireland
493,6 April 2019 03:15,3440,Ireland
494,6 April 2019 03:30,3397,Ireland
495,6 April 2019 03:45,3373,Ireland
496,6 April 2019 04:00,3336,Ireland
497,6 April 2019 04:15,3279,Ireland
498,6 April 2019 04:30,3284,Ireland
499,6 April 2019 04:45,3277,Ireland
500,6 April 2019 05:00,3313,Ireland
501,6 April 2019 05:15,3327,Ireland
502,6 April 2019 05:30,3310,Ireland
503,6 April 2019 05:45,3351,Ireland
504,6 April 2019 06:00,3403,Ireland
505,6 April 2019 06:15,3468,Ireland
506,6 April 2019 06:30,3467,Ireland
507,6 April 2019 06:45,3443,Ireland
508,6 April 2019 07:00,3455,Ireland
509,6 April 2019 07:15,3557,Ireland
510,6 April 2019 07:30,3608,Ireland
511,6 April 2019 07:45,3587,Ireland
512,6 April 2019 08:00,3604,Ireland
513,6 April 2019 08:15,3742,Ireland
514,6 April 2019 08:30,3804,Ireland
515,6 April 2019 08:45,3842,Ireland
516,6 April 2019 09:00,3842,Ireland
517,6 April 2019 09:15,3799,Ireland
518,6 April 2019 09:30,3833,Ireland
519,6 April 2019 09:45,3800,Ireland
520,6 April 2019 10:00,3757,Ireland
521,6 April 2019 10:15,3717,Ireland
522,6 April 2019 10:30,3631,Ireland
523,6 April 2019 10:45,3648,Ireland
524,6 April 2019 11:00,3563,Ireland
525,6 April 2019 11:15,3591,Ireland
526,6 April 2019 11:30,3567,Ireland
527,6 April 2019 11:45,3533,Ireland
528,6 April 2019 12:00,3460,Ireland
529,6 April 2019 12:15,3475,Ireland
530,6 April 2019 12:30,3445,Ireland
531,6 April 2019 12:45,3399,Ireland
532,6 April 2019 13:00,3323,Ireland
533,6 April 2019 13:15,3319,Ireland
534,6 April 2019 13:30,3332,Ireland
535,6 April 2019 13:45,3300,Ireland
536,6 April 2019 14:00,3213,Ireland
537,6 April 2019 14:15,3119,Ireland
538,6 April 2019 14:30,3050,Ireland
539,6 April 2019 14:45,3003,Ireland
540,6 April 2019 15:00,2961,Ireland
541,6 April 2019 15:15,2975,Ireland
542,6 April 2019 15:30,2981,Ireland
543,6 April 2019 15:45,3055,Ireland
544,6 April 2019 16:00,3094,Ireland
545,6 April 2019 16:15,3242,Ireland
546,6 April 2019 16:30,3254,Ireland
547,6 April 2019 16:45,3242,Ireland
548,6 April 2019 17:00,3259,Ireland
549,6 April 2019 17:15,3334,Ireland
550,6 April 2019 17:30,3352,Ireland
551,6 April 2019 17:45,3363,Ireland
552,6 April 2019 18:00,3347,Ireland
553,6 April 2019 18:15,3287,Ireland
554,6 April 2019 18:30,3274,Ireland
555,6 April 2019 18:45,3266,Ireland
556,6 April 2019 19:00,3249,Ireland
557,6 April 2019 19:15,3248,Ireland
558,6 April 2019 19:30,3232,Ireland
559,6 April 2019 19:45,3229,Ireland
560,6 April 2019 20:00,3229,Ireland
561,6 April 2019 20:15,3280,Ireland
562,6 April 2019 20:30,3329,Ireland
563,6 April 2019 20:45,3353,Ireland
564,6 April 2019 21:00,3295,Ireland
565,6 April 2019 21:15,3234,Ireland
566,6 April 2019 21:30,3120,Ireland
567,6 April 2019 21:45,3045,Ireland
568,6 April 2019 22:00,3018,Ireland
569,6 April 2019 22:15,2991,Ireland
570,6 April 2019 22:30,2989,Ireland
571,6 April 2019 22:45,3020,Ireland
572,6 April 2019 23:00,2976,Ireland
573,6 April 2019 23:15,2973,Ireland
574,6 April 2019 23:30,2996,Ireland
575,6 April 2019 23:45,2925,Ireland
576,7 April 2019 00:00,2918,Ireland
577,7 April 2019 00:15,2805,Ireland
578,7 April 2019 00:30,2638,Ireland
579,7 April 2019 00:45,2674,Ireland
580,7 April 2019 01:00,2776,Ireland
581,7 April 2019 01:15,2893,Ireland
582,7 April 2019 01:30,2978,Ireland
583,7 April 2019 01:45,2945,Ireland
584,7 April 2019 02:00,2963,Ireland
585,7 April 2019 02:15,2984,Ireland
586,7 April 2019 02:30,2955,Ireland
587,7 April 2019 02:45,2930,Ireland
588,7 April 2019 03:00,2914,Ireland
589,7 April 2019 03:15,2905,Ireland
590,7 April 2019 03:30,2887,Ireland
591,7 April 2019 03:45,2887,Ireland
592,7 April 2019 04:00,2812,Ireland
593,7 April 2019 04:15,2836,Ireland
594,7 April 2019 04:30,2824,Ireland
595,7 April 2019 04:45,2818,Ireland
596,7 April 2019 05:00,2838,Ireland
597,7 April 2019 05:15,2852,Ireland
598,7 April 2019 05:30,2856,Ireland
599,7 April 2019 05:45,2858,Ireland
600,7 April 2019 06:00,2872,Ireland
601,7 April 2019 06:15,2862,Ireland
602,7 April 2019 06:30,2850,Ireland
603,7 April 2019 06:45,2811,Ireland
604,7 April 2019 07:00,2847,Ireland
605,7 April 2019 07:15,2848,Ireland
606,7 April 2019 07:30,3000,Ireland
607,7 April 2019 07:45,3049,Ireland
608,7 April 2019 08:00,3007,Ireland
609,7 April 2019 08:15,2975,Ireland
610,7 April 2019 08:30,3005,Ireland
611,7 April 2019 08:45,3096,Ireland
612,7 April 2019 09:00,3089,Ireland
613,7 April 2019 09:15,3116,Ireland
614,7 April 2019 09:30,3115,Ireland
615,7 April 2019 09:45,3125,Ireland
616,7 April 2019 10:00,3182,Ireland
617,7 April 2019 10:15,3119,Ireland
618,7 April 2019 10:30,3058,Ireland
619,7 April 2019 10:45,3036,Ireland
620,7 April 2019 11:00,3001,Ireland
621,7 April 2019 11:15,2993,Ireland
622,7 April 2019 11:30,3022,Ireland
623,7 April 2019 11:45,3074,Ireland
624,7 April 2019 12:00,3134,Ireland
625,7 April 2019 12:15,3214,Ireland
626,7 April 2019 12:30,3345,Ireland
627,7 April 2019 12:45,3316,Ireland
628,7 April 2019 13:00,3341,Ireland
629,7 April 2019 13:15,3345,Ireland
630,7 April 2019 13:30,3316,Ireland
631,7 April 2019 13:45,3256,Ireland
632,7 April 2019 14:00,3220,Ireland
633,7 April 2019 14:15,3199,Ireland
634,7 April 2019 14:30,3140,Ireland
635,7 April 2019 14:45,3153,Ireland
636,7 April 2019 15:00,3154,Ireland
637,7 April 2019 15:15,3211,Ireland
638,7 April 2019 15:30,3246,Ireland
639,7 April 2019 15:45,3239,Ireland
640,7 April 2019 16:00,3224,Ireland
641,7 April 2019 16:15,3269,Ireland
642,7 April 2019 16:30,3392,Ireland
643,7 April 2019 16:45,3528,Ireland
644,7 April 2019 17:00,3646,Ireland
645,7 April 2019 17:15,3634,Ireland
646,7 April 2019 17:30,3662,Ireland
647,7 April 2019 17:45,3592,Ireland
648,7 April 2019 18:00,3621,Ireland
649,7 April 2019 18:15,3595,Ireland
650,7 April 2019 18:30,3539,Ireland
651,7 April 2019 18:45,3599,Ireland
652,7 April 2019 19:00,3645,Ireland
653,7 April 2019 19:15,3684,Ireland
