,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 December 2019 00:00,3403,Ireland
1,1 December 2019 00:15,3417,Ireland
2,1 December 2019 00:30,3428,Ireland
3,1 December 2019 00:45,3433,Ireland
4,1 December 2019 01:00,3384,Ireland
5,1 December 2019 01:15,3355,Ireland
6,1 December 2019 01:30,3352,Ireland
7,1 December 2019 01:45,3248,Ireland
8,1 December 2019 02:00,3123,Ireland
9,1 December 2019 02:15,3005,Ireland
10,1 December 2019 02:30,2991,Ireland
11,1 December 2019 02:45,2991,Ireland
12,1 December 2019 03:00,2897,Ireland
13,1 December 2019 03:15,2808,Ireland
14,1 December 2019 03:30,2789,Ireland
15,1 December 2019 03:45,2817,Ireland
16,1 December 2019 04:00,2802,Ireland
17,1 December 2019 04:15,2776,Ireland
18,1 December 2019 04:30,2758,Ireland
19,1 December 2019 04:45,2752,Ireland
20,1 December 2019 05:00,2715,Ireland
21,1 December 2019 05:15,2692,Ireland
22,1 December 2019 05:30,2644,Ireland
23,1 December 2019 05:45,2645,Ireland
24,1 December 2019 06:00,2736,Ireland
25,1 December 2019 06:15,2834,Ireland
26,1 December 2019 06:30,2830,Ireland
27,1 December 2019 06:45,2919,Ireland
28,1 December 2019 07:00,2846,Ireland
29,1 December 2019 07:15,2833,Ireland
30,1 December 2019 07:30,2709,Ireland
31,1 December 2019 07:45,2723,Ireland
32,1 December 2019 08:00,2807,Ireland
33,1 December 2019 08:15,2819,Ireland
34,1 December 2019 08:30,2848,Ireland
35,1 December 2019 08:45,2940,Ireland
36,1 December 2019 09:00,3015,Ireland
37,1 December 2019 09:15,3114,Ireland
38,1 December 2019 09:30,3223,Ireland
39,1 December 2019 09:45,3329,Ireland
40,1 December 2019 10:00,3316,Ireland
41,1 December 2019 10:15,3295,Ireland
42,1 December 2019 10:30,3289,Ireland
43,1 December 2019 10:45,3322,Ireland
44,1 December 2019 11:00,3313,Ireland
45,1 December 2019 11:15,3346,Ireland
46,1 December 2019 11:30,3442,Ireland
47,1 December 2019 11:45,3450,Ireland
48,1 December 2019 12:00,3403,Ireland
49,1 December 2019 12:15,3392,Ireland
50,1 December 2019 12:30,3404,Ireland
51,1 December 2019 12:45,3378,Ireland
52,1 December 2019 13:00,3398,Ireland
53,1 December 2019 13:15,3401,Ireland
54,1 December 2019 13:30,3356,Ireland
55,1 December 2019 13:45,3301,Ireland
56,1 December 2019 14:00,3263,Ireland
57,1 December 2019 14:15,3244,Ireland
58,1 December 2019 14:30,3229,Ireland
