,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 May 2019 00:00,2617,Ireland
1,1 May 2019 00:15,2649,Ireland
2,1 May 2019 00:30,2638,Ireland
3,1 May 2019 00:45,2637,Ireland
4,1 May 2019 01:00,2663,Ireland
5,1 May 2019 01:15,2694,Ireland
6,1 May 2019 01:30,2710,Ireland
7,1 May 2019 01:45,2625,Ireland
8,1 May 2019 02:00,2659,Ireland
9,1 May 2019 02:15,2706,Ireland
10,1 May 2019 02:30,2660,Ireland
11,1 May 2019 02:45,2625,Ireland
12,1 May 2019 03:00,2592,Ireland
13,1 May 2019 03:15,2560,Ireland
14,1 May 2019 03:30,2561,Ireland
15,1 May 2019 03:45,2539,Ireland
16,1 May 2019 04:00,2517,Ireland
17,1 May 2019 04:15,2497,Ireland
18,1 May 2019 04:30,2493,Ireland
19,1 May 2019 04:45,2431,Ireland
20,1 May 2019 05:00,2477,Ireland
21,1 May 2019 05:15,2557,Ireland
22,1 May 2019 05:30,2543,Ireland
23,1 May 2019 05:45,2590,Ireland
24,1 May 2019 06:00,2715,Ireland
25,1 May 2019 06:15,2938,Ireland
26,1 May 2019 06:30,3006,Ireland
27,1 May 2019 06:45,3006,Ireland
28,1 May 2019 07:00,2955,Ireland
29,1 May 2019 07:15,3018,Ireland
30,1 May 2019 07:30,3103,Ireland
31,1 May 2019 07:45,3161,Ireland
32,1 May 2019 08:00,3151,Ireland
33,1 May 2019 08:15,3101,Ireland
34,1 May 2019 08:30,3045,Ireland
35,1 May 2019 08:45,3068,Ireland
36,1 May 2019 09:00,3081,Ireland
37,1 May 2019 09:15,3123,Ireland
38,1 May 2019 09:30,3133,Ireland
39,1 May 2019 09:45,3108,Ireland
40,1 May 2019 10:00,3042,Ireland
41,1 May 2019 10:15,2985,Ireland
42,1 May 2019 10:30,2927,Ireland
43,1 May 2019 10:45,2967,Ireland
44,1 May 2019 11:00,3012,Ireland
45,1 May 2019 11:15,3100,Ireland
46,1 May 2019 11:30,3176,Ireland
47,1 May 2019 11:45,3093,Ireland
48,1 May 2019 12:00,3107,Ireland
49,1 May 2019 12:15,3134,Ireland
50,1 May 2019 12:30,3131,Ireland
51,1 May 2019 12:45,3129,Ireland
52,1 May 2019 13:00,3159,Ireland
53,1 May 2019 13:15,3169,Ireland
54,1 May 2019 13:30,3131,Ireland
55,1 May 2019 13:45,3151,Ireland
56,1 May 2019 14:00,3195,Ireland
57,1 May 2019 14:15,3212,Ireland
58,1 May 2019 14:30,3201,Ireland
59,1 May 2019 14:45,3226,Ireland
60,1 May 2019 15:00,3290,Ireland
61,1 May 2019 15:15,3344,Ireland
62,1 May 2019 15:30,3451,Ireland
63,1 May 2019 15:45,3437,Ireland
64,1 May 2019 16:00,3524,Ireland
65,1 May 2019 16:15,3449,Ireland
66,1 May 2019 16:30,3508,Ireland
67,1 May 2019 16:45,3518,Ireland
68,1 May 2019 17:00,3509,Ireland
69,1 May 2019 17:15,3508,Ireland
70,1 May 2019 17:30,3556,Ireland
71,1 May 2019 17:45,3583,Ireland
72,1 May 2019 18:00,3559,Ireland
73,1 May 2019 18:15,3563,Ireland
74,1 May 2019 18:30,3532,Ireland
75,1 May 2019 18:45,3524,Ireland
76,1 May 2019 19:00,3578,Ireland
77,1 May 2019 19:15,3591,Ireland
78,1 May 2019 19:30,3617,Ireland
79,1 May 2019 19:45,3569,Ireland
80,1 May 2019 20:00,3518,Ireland
81,1 May 2019 20:15,3484,Ireland
82,1 May 2019 20:30,3403,Ireland
83,1 May 2019 20:45,3352,Ireland
84,1 May 2019 21:00,3444,Ireland
85,1 May 2019 21:15,3409,Ireland
86,1 May 2019 21:30,3303,Ireland
87,1 May 2019 21:45,3233,Ireland
88,1 May 2019 22:00,3296,Ireland
89,1 May 2019 22:15,3243,Ireland
90,1 May 2019 22:30,3177,Ireland
91,1 May 2019 22:45,3156,Ireland
92,1 May 2019 23:00,3083,Ireland
93,1 May 2019 23:15,3057,Ireland
94,1 May 2019 23:30,2987,Ireland
95,1 May 2019 23:45,3090,Ireland
96,2 May 2019 00:00,3010,Ireland
97,2 May 2019 00:15,2916,Ireland
98,2 May 2019 00:30,2823,Ireland
99,2 May 2019 00:45,2818,Ireland
100,2 May 2019 01:00,2818,Ireland
101,2 May 2019 01:15,2831,Ireland
102,2 May 2019 01:30,2796,Ireland
103,2 May 2019 01:45,2800,Ireland
104,2 May 2019 02:00,2750,Ireland
105,2 May 2019 02:15,2754,Ireland
106,2 May 2019 02:30,2738,Ireland
107,2 May 2019 02:45,2688,Ireland
108,2 May 2019 03:00,2702,Ireland
109,2 May 2019 03:15,2752,Ireland
110,2 May 2019 03:30,2745,Ireland
111,2 May 2019 03:45,2797,Ireland
