,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 October 2019 00:00,2688,Ireland
1,1 October 2019 00:15,2636,Ireland
2,1 October 2019 00:30,2672,Ireland
3,1 October 2019 00:45,2686,Ireland
4,1 October 2019 01:00,2640,Ireland
5,1 October 2019 01:15,2592,Ireland
6,1 October 2019 01:30,2551,Ireland
7,1 October 2019 01:45,2520,Ireland
8,1 October 2019 02:00,2577,Ireland
9,1 October 2019 02:15,2561,Ireland
10,1 October 2019 02:30,2524,Ireland
11,1 October 2019 02:45,2520,Ireland
12,1 October 2019 03:00,2512,Ireland
13,1 October 2019 03:15,2503,Ireland
14,1 October 2019 03:30,2484,Ireland
15,1 October 2019 03:45,2527,Ireland
16,1 October 2019 04:00,2524,Ireland
17,1 October 2019 04:15,2574,Ireland
18,1 October 2019 04:30,2647,Ireland
19,1 October 2019 04:45,2705,Ireland
20,1 October 2019 05:00,2807,Ireland
21,1 October 2019 05:15,2932,Ireland
22,1 October 2019 05:30,3016,Ireland
23,1 October 2019 05:45,3099,Ireland
24,1 October 2019 06:00,3160,Ireland
25,1 October 2019 06:15,3232,Ireland
26,1 October 2019 06:30,3243,Ireland
27,1 October 2019 06:45,3264,Ireland
28,1 October 2019 07:00,3435,Ireland
29,1 October 2019 07:15,3731,Ireland
30,1 October 2019 07:30,3836,Ireland
31,1 October 2019 07:45,3868,Ireland
32,1 October 2019 08:00,3854,Ireland
33,1 October 2019 08:15,3875,Ireland
34,1 October 2019 08:30,3838,Ireland
35,1 October 2019 08:45,3857,Ireland
36,1 October 2019 09:00,3846,Ireland
37,1 October 2019 09:15,3829,Ireland
38,1 October 2019 09:30,3825,Ireland
39,1 October 2019 09:45,3920,Ireland
40,1 October 2019 10:00,3967,Ireland
41,1 October 2019 10:15,3982,Ireland
42,1 October 2019 10:30,3965,Ireland
43,1 October 2019 10:45,3827,Ireland
44,1 October 2019 11:00,3799,Ireland
45,1 October 2019 11:15,3788,Ireland
46,1 October 2019 11:30,3769,Ireland
47,1 October 2019 11:45,3717,Ireland
48,1 October 2019 12:00,3759,Ireland
49,1 October 2019 12:15,3901,Ireland
50,1 October 2019 12:30,3895,Ireland
51,1 October 2019 12:45,3878,Ireland
52,1 October 2019 13:00,4027,Ireland
53,1 October 2019 13:15,4084,Ireland
54,1 October 2019 13:30,4052,Ireland
55,1 October 2019 13:45,3993,Ireland
56,1 October 2019 14:00,4093,Ireland
57,1 October 2019 14:15,4168,Ireland
58,1 October 2019 14:30,4156,Ireland
59,1 October 2019 14:45,4173,Ireland
60,1 October 2019 15:00,4175,Ireland
61,1 October 2019 15:15,4085,Ireland
62,1 October 2019 15:30,4167,Ireland
63,1 October 2019 15:45,4232,Ireland
64,1 October 2019 16:00,4226,Ireland
65,1 October 2019 16:15,4312,Ireland
66,1 October 2019 16:30,4391,Ireland
67,1 October 2019 16:45,4386,Ireland
68,1 October 2019 17:00,4354,Ireland
69,1 October 2019 17:15,4351,Ireland
70,1 October 2019 17:30,4322,Ireland
71,1 October 2019 17:45,4216,Ireland
72,1 October 2019 18:00,4197,Ireland
73,1 October 2019 18:15,4112,Ireland
74,1 October 2019 18:30,4150,Ireland
75,1 October 2019 18:45,4202,Ireland
76,1 October 2019 19:00,4083,Ireland
77,1 October 2019 19:15,4027,Ireland
78,1 October 2019 19:30,4103,Ireland
79,1 October 2019 19:45,3984,Ireland
80,1 October 2019 20:00,3933,Ireland
81,1 October 2019 20:15,3880,Ireland
82,1 October 2019 20:30,3745,Ireland
83,1 October 2019 20:45,3517,Ireland
84,1 October 2019 21:00,3545,Ireland
85,1 October 2019 21:15,3564,Ireland
86,1 October 2019 21:30,3538,Ireland
87,1 October 2019 21:45,3397,Ireland
88,1 October 2019 22:00,3372,Ireland
89,1 October 2019 22:15,3282,Ireland
90,1 October 2019 22:30,3068,Ireland
91,1 October 2019 22:45,2847,Ireland
92,1 October 2019 23:00,2698,Ireland
93,1 October 2019 23:15,2702,Ireland
94,1 October 2019 23:30,2665,Ireland
95,1 October 2019 23:45,2620,Ireland
96,2 October 2019 00:00,2653,Ireland
97,2 October 2019 00:15,2716,Ireland
98,2 October 2019 00:30,2906,Ireland
99,2 October 2019 00:45,2898,Ireland
100,2 October 2019 01:00,2906,Ireland
101,2 October 2019 01:15,2965,Ireland
102,2 October 2019 01:30,2988,Ireland
103,2 October 2019 01:45,2921,Ireland
104,2 October 2019 02:00,2837,Ireland
105,2 October 2019 02:15,2773,Ireland
106,2 October 2019 02:30,2748,Ireland
107,2 October 2019 02:45,2699,Ireland
108,2 October 2019 03:00,2661,Ireland
109,2 October 2019 03:15,2578,Ireland
110,2 October 2019 03:30,2534,Ireland
111,2 October 2019 03:45,2575,Ireland
112,2 October 2019 04:00,2668,Ireland
113,2 October 2019 04:15,2707,Ireland
114,2 October 2019 04:30,2725,Ireland
115,2 October 2019 04:45,2703,Ireland
116,2 October 2019 05:00,2780,Ireland
117,2 October 2019 05:15,2875,Ireland
118,2 October 2019 05:30,2947,Ireland
119,2 October 2019 05:45,2914,Ireland
120,2 October 2019 06:00,2932,Ireland
121,2 October 2019 06:15,2931,Ireland
122,2 October 2019 06:30,2840,Ireland
123,2 October 2019 06:45,2864,Ireland
124,2 October 2019 07:00,2981,Ireland
125,2 October 2019 07:15,3070,Ireland
126,2 October 2019 07:30,3028,Ireland
127,2 October 2019 07:45,3068,Ireland
128,2 October 2019 08:00,3034,Ireland
129,2 October 2019 08:15,3061,Ireland
130,2 October 2019 08:30,3020,Ireland
131,2 October 2019 08:45,3092,Ireland
132,2 October 2019 09:00,3129,Ireland
133,2 October 2019 09:15,3192,Ireland
134,2 October 2019 09:30,3200,Ireland
135,2 October 2019 09:45,3170,Ireland
136,2 October 2019 10:00,3156,Ireland
