,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 September 2019 00:00,2622,Ireland
1,1 September 2019 00:15,2539,Ireland
2,1 September 2019 00:30,2444,Ireland
3,1 September 2019 00:45,2416,Ireland
4,1 September 2019 01:00,2381,Ireland
5,1 September 2019 01:15,2421,Ireland
6,1 September 2019 01:30,2346,Ireland
7,1 September 2019 01:45,2319,Ireland
8,1 September 2019 02:00,2273,Ireland
9,1 September 2019 02:15,2276,Ireland
10,1 September 2019 02:30,2257,Ireland
11,1 September 2019 02:45,2210,Ireland
12,1 September 2019 03:00,2209,Ireland
13,1 September 2019 03:15,2199,Ireland
14,1 September 2019 03:30,2196,Ireland
15,1 September 2019 03:45,2142,Ireland
16,1 September 2019 04:00,2181,Ireland
17,1 September 2019 04:15,2202,Ireland
18,1 September 2019 04:30,2200,Ireland
19,1 September 2019 04:45,2223,Ireland
20,1 September 2019 05:00,2238,Ireland
21,1 September 2019 05:15,2220,Ireland
22,1 September 2019 05:30,2245,Ireland
23,1 September 2019 05:45,2214,Ireland
24,1 September 2019 06:00,2274,Ireland
25,1 September 2019 06:15,2450,Ireland
26,1 September 2019 06:30,2430,Ireland
27,1 September 2019 06:45,2308,Ireland
28,1 September 2019 07:00,2369,Ireland
29,1 September 2019 07:15,2333,Ireland
30,1 September 2019 07:30,2304,Ireland
31,1 September 2019 07:45,2289,Ireland
32,1 September 2019 08:00,2392,Ireland
33,1 September 2019 08:15,2451,Ireland
34,1 September 2019 08:30,2500,Ireland
35,1 September 2019 08:45,2557,Ireland
36,1 September 2019 09:00,2576,Ireland
37,1 September 2019 09:15,2761,Ireland
38,1 September 2019 09:30,2824,Ireland
39,1 September 2019 09:45,2872,Ireland
40,1 September 2019 10:00,2983,Ireland
41,1 September 2019 10:15,3066,Ireland
42,1 September 2019 10:30,3142,Ireland
43,1 September 2019 10:45,3017,Ireland
44,1 September 2019 11:00,2959,Ireland
45,1 September 2019 11:15,2930,Ireland
46,1 September 2019 11:30,2944,Ireland
47,1 September 2019 11:45,2873,Ireland
48,1 September 2019 12:00,2944,Ireland
49,1 September 2019 12:15,2984,Ireland
50,1 September 2019 12:30,3032,Ireland
51,1 September 2019 12:45,3025,Ireland
52,1 September 2019 13:00,2982,Ireland
53,1 September 2019 13:15,2952,Ireland
54,1 September 2019 13:30,2899,Ireland
55,1 September 2019 13:45,2852,Ireland
56,1 September 2019 14:00,2681,Ireland
57,1 September 2019 14:15,2597,Ireland
58,1 September 2019 14:30,2558,Ireland
59,1 September 2019 14:45,2573,Ireland
60,1 September 2019 15:00,2544,Ireland
61,1 September 2019 15:15,2471,Ireland
62,1 September 2019 15:30,2507,Ireland
63,1 September 2019 15:45,2596,Ireland
64,1 September 2019 16:00,2662,Ireland
65,1 September 2019 16:15,2837,Ireland
66,1 September 2019 16:30,2911,Ireland
67,1 September 2019 16:45,2937,Ireland
68,1 September 2019 17:00,2920,Ireland
69,1 September 2019 17:15,3037,Ireland
70,1 September 2019 17:30,3140,Ireland
71,1 September 2019 17:45,3232,Ireland
72,1 September 2019 18:00,3220,Ireland
73,1 September 2019 18:15,3226,Ireland
74,1 September 2019 18:30,3215,Ireland
75,1 September 2019 18:45,3138,Ireland
76,1 September 2019 19:00,3216,Ireland
77,1 September 2019 19:15,3232,Ireland
78,1 September 2019 19:30,3267,Ireland
79,1 September 2019 19:45,3300,Ireland
80,1 September 2019 20:00,3261,Ireland
81,1 September 2019 20:15,3183,Ireland
82,1 September 2019 20:30,3239,Ireland
83,1 September 2019 20:45,3227,Ireland
84,1 September 2019 21:00,3266,Ireland
85,1 September 2019 21:15,3194,Ireland
86,1 September 2019 21:30,2994,Ireland
87,1 September 2019 21:45,2782,Ireland
88,1 September 2019 22:00,2829,Ireland
89,1 September 2019 22:15,2848,Ireland
90,1 September 2019 22:30,2617,Ireland
91,1 September 2019 22:45,2349,Ireland
92,1 September 2019 23:00,2160,Ireland
93,1 September 2019 23:15,2184,Ireland
94,1 September 2019 23:30,2205,Ireland
95,1 September 2019 23:45,2271,Ireland
96,2 September 2019 00:00,2191,Ireland
97,2 September 2019 00:15,2130,Ireland
98,2 September 2019 00:30,2135,Ireland
99,2 September 2019 00:45,2180,Ireland
100,2 September 2019 01:00,2246,Ireland
101,2 September 2019 01:15,2278,Ireland
102,2 September 2019 01:30,2316,Ireland
103,2 September 2019 01:45,2262,Ireland
104,2 September 2019 02:00,2176,Ireland
105,2 September 2019 02:15,2102,Ireland
106,2 September 2019 02:30,2076,Ireland
107,2 September 2019 02:45,2139,Ireland
108,2 September 2019 03:00,2190,Ireland
109,2 September 2019 03:15,2150,Ireland
110,2 September 2019 03:30,2085,Ireland
111,2 September 2019 03:45,2126,Ireland
112,2 September 2019 04:00,2175,Ireland
113,2 September 2019 04:15,2261,Ireland
114,2 September 2019 04:30,2287,Ireland
115,2 September 2019 04:45,2266,Ireland
116,2 September 2019 05:00,2359,Ireland
117,2 September 2019 05:15,2520,Ireland
118,2 September 2019 05:30,2611,Ireland
119,2 September 2019 05:45,2615,Ireland
120,2 September 2019 06:00,2714,Ireland
121,2 September 2019 06:15,2858,Ireland
122,2 September 2019 06:30,2955,Ireland
123,2 September 2019 06:45,2936,Ireland
124,2 September 2019 07:00,2943,Ireland
125,2 September 2019 07:15,3111,Ireland
126,2 September 2019 07:30,3196,Ireland
127,2 September 2019 07:45,3267,Ireland
128,2 September 2019 08:00,3302,Ireland
129,2 September 2019 08:15,3244,Ireland
130,2 September 2019 08:30,3134,Ireland
131,2 September 2019 08:45,3138,Ireland
132,2 September 2019 09:00,3231,Ireland
133,2 September 2019 09:15,3310,Ireland
134,2 September 2019 09:30,3260,Ireland
135,2 September 2019 09:45,3322,Ireland
136,2 September 2019 10:00,3305,Ireland
137,2 September 2019 10:15,3404,Ireland
138,2 September 2019 10:30,3370,Ireland
139,2 September 2019 10:45,3302,Ireland
140,2 September 2019 11:00,3462,Ireland
141,2 September 2019 11:15,3635,Ireland
142,2 September 2019 11:30,3706,Ireland
143,2 September 2019 11:45,3693,Ireland
144,2 September 2019 12:00,3722,Ireland
145,2 September 2019 12:15,3694,Ireland
146,2 September 2019 12:30,3640,Ireland
147,2 September 2019 12:45,3595,Ireland
148,2 September 2019 13:00,3590,Ireland
149,2 September 2019 13:15,3671,Ireland
150,2 September 2019 13:30,3543,Ireland
151,2 September 2019 13:45,3352,Ireland
152,2 September 2019 14:00,3340,Ireland
153,2 September 2019 14:15,3473,Ireland
154,2 September 2019 14:30,3517,Ireland
155,2 September 2019 14:45,3418,Ireland
156,2 September 2019 15:00,3452,Ireland
157,2 September 2019 15:15,3512,Ireland
158,2 September 2019 15:30,3591,Ireland
159,2 September 2019 15:45,3688,Ireland
160,2 September 2019 16:00,3567,Ireland
161,2 September 2019 16:15,3565,Ireland
162,2 September 2019 16:30,3734,Ireland
163,2 September 2019 16:45,3938,Ireland
164,2 September 2019 17:00,3933,Ireland
165,2 September 2019 17:15,3854,Ireland
166,2 September 2019 17:30,3793,Ireland
167,2 September 2019 17:45,3803,Ireland
168,2 September 2019 18:00,3771,Ireland
169,2 September 2019 18:15,3687,Ireland
170,2 September 2019 18:30,3653,Ireland
171,2 September 2019 18:45,3564,Ireland
172,2 September 2019 19:00,3601,Ireland
173,2 September 2019 19:15,3615,Ireland
174,2 September 2019 19:30,3630,Ireland
175,2 September 2019 19:45,3606,Ireland
176,2 September 2019 20:00,3513,Ireland
177,2 September 2019 20:15,3415,Ireland
178,2 September 2019 20:30,3549,Ireland
179,2 September 2019 20:45,3543,Ireland
180,2 September 2019 21:00,3458,Ireland
181,2 September 2019 21:15,3283,Ireland
182,2 September 2019 21:30,3059,Ireland
183,2 September 2019 21:45,3016,Ireland
184,2 September 2019 22:00,3015,Ireland
185,2 September 2019 22:15,2962,Ireland
186,2 September 2019 22:30,2864,Ireland
187,2 September 2019 22:45,2689,Ireland
188,2 September 2019 23:00,2535,Ireland
189,2 September 2019 23:15,2506,Ireland
190,2 September 2019 23:30,2510,Ireland
191,2 September 2019 23:45,2442,Ireland
192,3 September 2019 00:00,2465,Ireland
193,3 September 2019 00:15,2524,Ireland
194,3 September 2019 00:30,2478,Ireland
195,3 September 2019 00:45,2461,Ireland
196,3 September 2019 01:00,2448,Ireland
197,3 September 2019 01:15,2596,Ireland
198,3 September 2019 01:30,2674,Ireland
199,3 September 2019 01:45,2684,Ireland
200,3 September 2019 02:00,2641,Ireland
201,3 September 2019 02:15,2616,Ireland
202,3 September 2019 02:30,2593,Ireland
203,3 September 2019 02:45,2559,Ireland
204,3 September 2019 03:00,2550,Ireland
205,3 September 2019 03:15,2547,Ireland
206,3 September 2019 03:30,2542,Ireland
207,3 September 2019 03:45,2603,Ireland
208,3 September 2019 04:00,2673,Ireland
209,3 September 2019 04:15,2785,Ireland
210,3 September 2019 04:30,2896,Ireland
211,3 September 2019 04:45,2829,Ireland
212,3 September 2019 05:00,2816,Ireland
213,3 September 2019 05:15,2791,Ireland
214,3 September 2019 05:30,2874,Ireland
215,3 September 2019 05:45,2994,Ireland
216,3 September 2019 06:00,3120,Ireland
217,3 September 2019 06:15,3288,Ireland
218,3 September 2019 06:30,3205,Ireland
219,3 September 2019 06:45,3239,Ireland
220,3 September 2019 07:00,3266,Ireland
221,3 September 2019 07:15,3392,Ireland
222,3 September 2019 07:30,3388,Ireland
