,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 July 2020 00:00,2952,Ireland
1,1 July 2020 00:15,2966,Ireland
2,1 July 2020 00:30,2886,Ireland
3,1 July 2020 00:45,2813,Ireland
4,1 July 2020 01:00,2817,Ireland
5,1 July 2020 01:15,2769,Ireland
6,1 July 2020 01:30,2827,Ireland
7,1 July 2020 01:45,2862,Ireland
8,1 July 2020 02:00,2835,Ireland
9,1 July 2020 02:15,2805,Ireland
10,1 July 2020 02:30,2787,Ireland
11,1 July 2020 02:45,2770,Ireland
12,1 July 2020 03:00,2783,Ireland
13,1 July 2020 03:15,2841,Ireland
14,1 July 2020 03:30,2784,Ireland
15,1 July 2020 03:45,2752,Ireland
16,1 July 2020 04:00,2779,Ireland
17,1 July 2020 04:15,2782,Ireland
18,1 July 2020 04:30,2791,Ireland
19,1 July 2020 04:45,2831,Ireland
20,1 July 2020 05:00,2884,Ireland
21,1 July 2020 05:15,2923,Ireland
22,1 July 2020 05:30,2963,Ireland
23,1 July 2020 05:45,2939,Ireland
24,1 July 2020 06:00,3016,Ireland
25,1 July 2020 06:15,3086,Ireland
26,1 July 2020 06:30,3038,Ireland
27,1 July 2020 06:45,3015,Ireland
28,1 July 2020 07:00,3020,Ireland
29,1 July 2020 07:15,3020,Ireland
30,1 July 2020 07:30,3076,Ireland
31,1 July 2020 07:45,3098,Ireland
32,1 July 2020 08:00,3092,Ireland
33,1 July 2020 08:15,3101,Ireland
34,1 July 2020 08:30,3160,Ireland
35,1 July 2020 08:45,3240,Ireland
36,1 July 2020 09:00,3250,Ireland
37,1 July 2020 09:15,3221,Ireland
38,1 July 2020 09:30,3183,Ireland
39,1 July 2020 09:45,3270,Ireland
40,1 July 2020 10:00,3330,Ireland
41,1 July 2020 10:15,3281,Ireland
42,1 July 2020 10:30,3297,Ireland
43,1 July 2020 10:45,3321,Ireland
44,1 July 2020 11:00,3288,Ireland
45,1 July 2020 11:15,3347,Ireland
46,1 July 2020 11:30,3307,Ireland
47,1 July 2020 11:45,3264,Ireland
48,1 July 2020 12:00,3280,Ireland
49,1 July 2020 12:15,3389,Ireland
50,1 July 2020 12:30,3397,Ireland
51,1 July 2020 12:45,3448,Ireland
52,1 July 2020 13:00,3520,Ireland
53,1 July 2020 13:15,3575,Ireland
54,1 July 2020 13:30,3465,Ireland
55,1 July 2020 13:45,3366,Ireland
56,1 July 2020 14:00,3363,Ireland
57,1 July 2020 14:15,3367,Ireland
58,1 July 2020 14:30,3289,Ireland
59,1 July 2020 14:45,3241,Ireland
60,1 July 2020 15:00,3280,Ireland
61,1 July 2020 15:15,3327,Ireland
62,1 July 2020 15:30,3491,Ireland
63,1 July 2020 15:45,3549,Ireland
64,1 July 2020 16:00,3500,Ireland
65,1 July 2020 16:15,3563,Ireland
66,1 July 2020 16:30,3702,Ireland
67,1 July 2020 16:45,3745,Ireland
68,1 July 2020 17:00,3782,Ireland
69,1 July 2020 17:15,3783,Ireland
70,1 July 2020 17:30,3847,Ireland
71,1 July 2020 17:45,3930,Ireland
72,1 July 2020 18:00,3897,Ireland
73,1 July 2020 18:15,3886,Ireland
74,1 July 2020 18:30,3911,Ireland
75,1 July 2020 18:45,3927,Ireland
76,1 July 2020 19:00,3877,Ireland
77,1 July 2020 19:15,3848,Ireland
78,1 July 2020 19:30,3849,Ireland
79,1 July 2020 19:45,3841,Ireland
80,1 July 2020 20:00,3857,Ireland
81,1 July 2020 20:15,3884,Ireland
82,1 July 2020 20:30,3808,Ireland
83,1 July 2020 20:45,3789,Ireland
84,1 July 2020 21:00,3788,Ireland
85,1 July 2020 21:15,3776,Ireland
86,1 July 2020 21:30,3719,Ireland
87,1 July 2020 21:45,3645,Ireland
88,1 July 2020 22:00,3602,Ireland
89,1 July 2020 22:15,3654,Ireland
90,1 July 2020 22:30,3603,Ireland
91,1 July 2020 22:45,3464,Ireland
92,1 July 2020 23:00,3346,Ireland
93,1 July 2020 23:15,3254,Ireland
94,1 July 2020 23:30,3372,Ireland
95,1 July 2020 23:45,3309,Ireland
96,2 July 2020 00:00,3224,Ireland
97,2 July 2020 00:15,3255,Ireland
98,2 July 2020 00:30,3233,Ireland
99,2 July 2020 00:45,3164,Ireland
100,2 July 2020 01:00,3168,Ireland
101,2 July 2020 01:15,3177,Ireland
102,2 July 2020 01:30,3197,Ireland
103,2 July 2020 01:45,3178,Ireland
104,2 July 2020 02:00,3085,Ireland
105,2 July 2020 02:15,3015,Ireland
106,2 July 2020 02:30,2897,Ireland
