,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 June 2020 00:00,2622,Ireland
1,1 June 2020 00:15,2494,Ireland
2,1 June 2020 00:30,2324,Ireland
3,1 June 2020 00:45,2217,Ireland
4,1 June 2020 01:00,2291,Ireland
5,1 June 2020 01:15,2392,Ireland
6,1 June 2020 01:30,2351,Ireland
7,1 June 2020 01:45,2336,Ireland
8,1 June 2020 02:00,2351,Ireland
9,1 June 2020 02:15,2418,Ireland
10,1 June 2020 02:30,2398,Ireland
11,1 June 2020 02:45,2313,Ireland
12,1 June 2020 03:00,2214,Ireland
13,1 June 2020 03:15,2187,Ireland
14,1 June 2020 03:30,2176,Ireland
15,1 June 2020 03:45,2150,Ireland
16,1 June 2020 04:00,2151,Ireland
17,1 June 2020 04:15,2184,Ireland
18,1 June 2020 04:30,2156,Ireland
19,1 June 2020 04:45,2117,Ireland
20,1 June 2020 05:00,2099,Ireland
21,1 June 2020 05:15,2157,Ireland
22,1 June 2020 05:30,2256,Ireland
23,1 June 2020 05:45,2398,Ireland
24,1 June 2020 06:00,2508,Ireland
25,1 June 2020 06:15,2623,Ireland
26,1 June 2020 06:30,2682,Ireland
27,1 June 2020 06:45,2695,Ireland
28,1 June 2020 07:00,2689,Ireland
29,1 June 2020 07:15,2629,Ireland
30,1 June 2020 07:30,2788,Ireland
31,1 June 2020 07:45,2933,Ireland
32,1 June 2020 08:00,2915,Ireland
33,1 June 2020 08:15,2836,Ireland
34,1 June 2020 08:30,2882,Ireland
35,1 June 2020 08:45,2948,Ireland
36,1 June 2020 09:00,2864,Ireland
37,1 June 2020 09:15,2843,Ireland
38,1 June 2020 09:30,2825,Ireland
39,1 June 2020 09:45,2850,Ireland
40,1 June 2020 10:00,2792,Ireland
41,1 June 2020 10:15,2757,Ireland
42,1 June 2020 10:30,2742,Ireland
43,1 June 2020 10:45,2759,Ireland
44,1 June 2020 11:00,2802,Ireland
45,1 June 2020 11:15,2842,Ireland
46,1 June 2020 11:30,2819,Ireland
47,1 June 2020 11:45,2830,Ireland
48,1 June 2020 12:00,2856,Ireland
49,1 June 2020 12:15,2879,Ireland
50,1 June 2020 12:30,2891,Ireland
51,1 June 2020 12:45,2877,Ireland
52,1 June 2020 13:00,2917,Ireland
53,1 June 2020 13:15,2773,Ireland
54,1 June 2020 13:30,2601,Ireland
55,1 June 2020 13:45,2560,Ireland
56,1 June 2020 14:00,2632,Ireland
57,1 June 2020 14:15,2680,Ireland
58,1 June 2020 14:30,2619,Ireland
59,1 June 2020 14:45,2662,Ireland
60,1 June 2020 15:00,2605,Ireland
