,DATE & TIME, ACTUAL GENERATION(MW), REGION
0,1 November 2020 00:00,3387,Ireland
1,1 November 2020 00:15,3337,Ireland
2,1 November 2020 00:30,3283,Ireland
3,1 November 2020 00:45,3198,Ireland
4,1 November 2020 01:00,3143,Ireland
5,1 November 2020 01:15,3090,Ireland
6,1 November 2020 01:30,3040,Ireland
7,1 November 2020 01:45,2985,Ireland
8,1 November 2020 02:00,2941,Ireland
9,1 November 2020 02:15,2926,Ireland
10,1 November 2020 02:30,2920,Ireland
11,1 November 2020 02:45,2881,Ireland
12,1 November 2020 03:00,2837,Ireland
13,1 November 2020 03:15,2824,Ireland
14,1 November 2020 03:30,2836,Ireland
15,1 November 2020 03:45,2837,Ireland
16,1 November 2020 04:00,2831,Ireland
17,1 November 2020 04:15,2825,Ireland
18,1 November 2020 04:30,2784,Ireland
19,1 November 2020 04:45,2796,Ireland
20,1 November 2020 05:00,2791,Ireland
21,1 November 2020 05:15,2808,Ireland
22,1 November 2020 05:30,2810,Ireland
23,1 November 2020 05:45,2837,Ireland
24,1 November 2020 06:00,2877,Ireland
25,1 November 2020 06:15,2929,Ireland
26,1 November 2020 06:30,2946,Ireland
27,1 November 2020 06:45,2960,Ireland
28,1 November 2020 07:00,3023,Ireland
29,1 November 2020 07:15,3051,Ireland
30,1 November 2020 07:30,3066,Ireland
31,1 November 2020 07:45,3100,Ireland
32,1 November 2020 08:00,3155,Ireland
33,1 November 2020 08:15,3189,Ireland
34,1 November 2020 08:30,3273,Ireland
35,1 November 2020 08:45,3340,Ireland
36,1 November 2020 09:00,3485,Ireland
37,1 November 2020 09:15,3478,Ireland
38,1 November 2020 09:30,3552,Ireland
39,1 November 2020 09:45,3603,Ireland
40,1 November 2020 10:00,3635,Ireland
41,1 November 2020 10:15,3616,Ireland
42,1 November 2020 10:30,3773,Ireland
43,1 November 2020 10:45,3916,Ireland
44,1 November 2020 11:00,3856,Ireland
45,1 November 2020 11:15,3738,Ireland
46,1 November 2020 11:30,3834,Ireland
47,1 November 2020 11:45,3917,Ireland
48,1 November 2020 12:00,3924,Ireland
49,1 November 2020 12:15,3903,Ireland
50,1 November 2020 12:30,4009,Ireland
51,1 November 2020 12:45,3965,Ireland
52,1 November 2020 13:00,3974,Ireland
53,1 November 2020 13:15,3937,Ireland
54,1 November 2020 13:30,3810,Ireland
55,1 November 2020 13:45,3715,Ireland
56,1 November 2020 14:00,3679,Ireland
57,1 November 2020 14:15,3674,Ireland
58,1 November 2020 14:30,3614,Ireland
59,1 November 2020 14:45,3662,Ireland
60,1 November 2020 15:00,3799,Ireland
61,1 November 2020 15:15,3965,Ireland
62,1 November 2020 15:30,4075,Ireland
63,1 November 2020 15:45,4018,Ireland
64,1 November 2020 16:00,4175,Ireland
65,1 November 2020 16:15,4354,Ireland
66,1 November 2020 16:30,4411,Ireland
67,1 November 2020 16:45,4420,Ireland
68,1 November 2020 17:00,4394,Ireland
69,1 November 2020 17:15,4461,Ireland
70,1 November 2020 17:30,4502,Ireland
71,1 November 2020 17:45,4439,Ireland
72,1 November 2020 18:00,4368,Ireland
73,1 November 2020 18:15,4238,Ireland
74,1 November 2020 18:30,4120,Ireland
75,1 November 2020 18:45,3896,Ireland
76,1 November 2020 19:00,3892,Ireland
77,1 November 2020 19:15,3843,Ireland
78,1 November 2020 19:30,3664,Ireland
79,1 November 2020 19:45,3615,Ireland
80,1 November 2020 20:00,3595,Ireland
81,1 November 2020 20:15,3596,Ireland
82,1 November 2020 20:30,3480,Ireland
83,1 November 2020 20:45,3381,Ireland
84,1 November 2020 21:00,3292,Ireland
85,1 November 2020 21:15,3078,Ireland
86,1 November 2020 21:30,2872,Ireland
87,1 November 2020 21:45,2663,Ireland
88,1 November 2020 22:00,2502,Ireland
89,1 November 2020 22:15,2375,Ireland
90,1 November 2020 22:30,2265,Ireland
91,1 November 2020 22:45,2167,Ireland
92,1 November 2020 23:00,2130,Ireland
93,1 November 2020 23:15,2092,Ireland
94,1 November 2020 23:30,1978,Ireland
95,1 November 2020 23:45,1978,Ireland
96,2 November 2020 00:00,1927,Ireland
97,2 November 2020 00:15,1915,Ireland
98,2 November 2020 00:30,1913,Ireland
99,2 November 2020 00:45,1949,Ireland
100,2 November 2020 01:00,1939,Ireland
101,2 November 2020 01:15,2055,Ireland
102,2 November 2020 01:30,2081,Ireland
103,2 November 2020 01:45,2071,Ireland
104,2 November 2020 02:00,2072,Ireland
105,2 November 2020 02:15,2181,Ireland
106,2 November 2020 02:30,2160,Ireland
107,2 November 2020 02:45,2090,Ireland
108,2 November 2020 03:00,2073,Ireland
109,2 November 2020 03:15,2066,Ireland
110,2 November 2020 03:30,2034,Ireland
111,2 November 2020 03:45,2133,Ireland
112,2 November 2020 04:00,2294,Ireland
113,2 November 2020 04:15,2445,Ireland
114,2 November 2020 04:30,2549,Ireland
115,2 November 2020 04:45,2505,Ireland
116,2 November 2020 05:00,2595,Ireland
117,2 November 2020 05:15,2568,Ireland
118,2 November 2020 05:30,2511,Ireland
119,2 November 2020 05:45,2516,Ireland
120,2 November 2020 06:00,2641,Ireland
121,2 November 2020 06:15,2900,Ireland
122,2 November 2020 06:30,2958,Ireland
123,2 November 2020 06:45,3209,Ireland
124,2 November 2020 07:00,3448,Ireland
125,2 November 2020 07:15,3685,Ireland
126,2 November 2020 07:30,3788,Ireland
127,2 November 2020 07:45,3910,Ireland
128,2 November 2020 08:00,3928,Ireland
129,2 November 2020 08:15,3952,Ireland
130,2 November 2020 08:30,3990,Ireland
131,2 November 2020 08:45,4040,Ireland
132,2 November 2020 09:00,4024,Ireland
133,2 November 2020 09:15,4042,Ireland
134,2 November 2020 09:30,4078,Ireland
135,2 November 2020 09:45,4084,Ireland
136,2 November 2020 10:00,4138,Ireland
137,2 November 2020 10:15,4158,Ireland
138,2 November 2020 10:30,4154,Ireland
139,2 November 2020 10:45,4178,Ireland
140,2 November 2020 11:00,4156,Ireland
141,2 November 2020 11:15,4185,Ireland
142,2 November 2020 11:30,4228,Ireland
143,2 November 2020 11:45,4223,Ireland
144,2 November 2020 12:00,4226,Ireland
145,2 November 2020 12:15,4321,Ireland
146,2 November 2020 12:30,4311,Ireland
147,2 November 2020 12:45,4304,Ireland
148,2 November 2020 13:00,4263,Ireland
149,2 November 2020 13:15,4254,Ireland
150,2 November 2020 13:30,4210,Ireland
151,2 November 2020 13:45,4269,Ireland
152,2 November 2020 14:00,4376,Ireland
153,2 November 2020 14:15,4500,Ireland
154,2 November 2020 14:30,4566,Ireland
155,2 November 2020 14:45,4536,Ireland
156,2 November 2020 15:00,4487,Ireland
157,2 November 2020 15:15,4593,Ireland
158,2 November 2020 15:30,4667,Ireland
159,2 November 2020 15:45,4648,Ireland
160,2 November 2020 16:00,4608,Ireland
161,2 November 2020 16:15,4581,Ireland
162,2 November 2020 16:30,4539,Ireland
163,2 November 2020 16:45,4553,Ireland
164,2 November 2020 17:00,4576,Ireland
165,2 November 2020 17:15,4578,Ireland
166,2 November 2020 17:30,4577,Ireland
167,2 November 2020 17:45,4614,Ireland
168,2 November 2020 18:00,4471,Ireland
169,2 November 2020 18:15,4401,Ireland
170,2 November 2020 18:30,4321,Ireland
171,2 November 2020 18:45,4312,Ireland
172,2 November 2020 19:00,4352,Ireland
173,2 November 2020 19:15,4387,Ireland
174,2 November 2020 19:30,4186,Ireland
175,2 November 2020 19:45,4021,Ireland
176,2 November 2020 20:00,4062,Ireland
177,2 November 2020 20:15,4001,Ireland
178,2 November 2020 20:30,4008,Ireland
179,2 November 2020 20:45,3863,Ireland
180,2 November 2020 21:00,3814,Ireland
181,2 November 2020 21:15,3681,Ireland
182,2 November 2020 21:30,3529,Ireland
183,2 November 2020 21:45,3553,Ireland
184,2 November 2020 22:00,3469,Ireland
185,2 November 2020 22:15,3377,Ireland
186,2 November 2020 22:30,3218,Ireland
187,2 November 2020 22:45,3084,Ireland
188,2 November 2020 23:00,2962,Ireland
189,2 November 2020 23:15,3059,Ireland
190,2 November 2020 23:30,3114,Ireland
