,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 February 2017 00:00,322,411,Ireland
1,1 February 2017 00:15,349,413,Ireland
2,1 February 2017 00:30,376,442,Ireland
3,1 February 2017 00:45,402,436,Ireland
4,1 February 2017 01:00,428,476,Ireland
5,1 February 2017 01:15,452,542,Ireland
6,1 February 2017 01:30,476,600,Ireland
7,1 February 2017 01:45,500,603,Ireland
8,1 February 2017 02:00,532,589,Ireland
9,1 February 2017 02:15,572,602,Ireland
10,1 February 2017 02:30,612,594,Ireland
11,1 February 2017 02:45,653,676,Ireland
12,1 February 2017 03:00,692,716,Ireland
13,1 February 2017 03:15,730,781,Ireland
14,1 February 2017 03:30,768,872,Ireland
15,1 February 2017 03:45,806,936,Ireland
16,1 February 2017 04:00,848,1009,Ireland
17,1 February 2017 04:15,895,1006,Ireland
18,1 February 2017 04:30,942,1035,Ireland
19,1 February 2017 04:45,989,1120,Ireland
20,1 February 2017 05:00,1039,1165,Ireland
21,1 February 2017 05:15,1091,1210,Ireland
22,1 February 2017 05:30,1144,1321,Ireland
23,1 February 2017 05:45,1196,1365,Ireland
24,1 February 2017 06:00,1205,1415,Ireland
25,1 February 2017 06:15,1248,1415,Ireland
26,1 February 2017 06:30,1292,1468,Ireland
27,1 February 2017 06:45,1336,1579,Ireland
28,1 February 2017 07:00,1378,1612,Ireland
29,1 February 2017 07:15,1420,1658,Ireland
30,1 February 2017 07:30,1461,1745,Ireland
31,1 February 2017 07:45,1502,1739,Ireland
32,1 February 2017 08:00,1544,1754,Ireland
33,1 February 2017 08:15,1584,1789,Ireland
34,1 February 2017 08:30,1624,1812,Ireland
35,1 February 2017 08:45,1665,1841,Ireland
36,1 February 2017 09:00,1697,1927,Ireland
37,1 February 2017 09:15,1721,1973,Ireland
38,1 February 2017 09:30,1745,2032,Ireland
39,1 February 2017 09:45,1770,1995,Ireland
40,1 February 2017 10:00,1788,2011,Ireland
41,1 February 2017 10:15,1802,2103,Ireland
42,1 February 2017 10:30,1815,2121,Ireland
43,1 February 2017 10:45,1829,2180,Ireland
44,1 February 2017 11:00,1836,2160,Ireland
45,1 February 2017 11:15,1838,2214,Ireland
46,1 February 2017 11:30,1840,2286,Ireland
47,1 February 2017 11:45,1842,2270,Ireland
48,1 February 2017 12:00,1883,2315,Ireland
49,1 February 2017 12:15,1869,2311,Ireland
50,1 February 2017 12:30,1856,2294,Ireland
51,1 February 2017 12:45,1842,2306,Ireland
52,1 February 2017 13:00,1824,2297,Ireland
53,1 February 2017 13:15,1800,2336,Ireland
54,1 February 2017 13:30,1776,2337,Ireland
55,1 February 2017 13:45,1752,2327,Ireland
56,1 February 2017 14:00,1718,2328,Ireland
57,1 February 2017 14:15,1675,2334,Ireland
58,1 February 2017 14:30,1632,2269,Ireland
59,1 February 2017 14:45,1588,2230,Ireland
60,1 February 2017 15:00,1540,2242,Ireland
61,1 February 2017 15:15,1485,2167,Ireland
62,1 February 2017 15:30,1431,2047,Ireland
63,1 February 2017 15:45,1377,1990,Ireland
64,1 February 2017 16:00,1332,1937,Ireland
65,1 February 2017 16:15,1295,1867,Ireland
66,1 February 2017 16:30,1258,1801,Ireland
67,1 February 2017 16:45,1221,1734,Ireland
68,1 February 2017 17:00,1199,1652,Ireland
69,1 February 2017 17:15,1192,1723,Ireland
70,1 February 2017 17:30,1184,1734,Ireland
71,1 February 2017 17:45,1176,1709,Ireland
72,1 February 2017 18:00,1248,1699,Ireland
73,1 February 2017 18:15,1246,1657,Ireland
74,1 February 2017 18:30,1244,1714,Ireland
75,1 February 2017 18:45,1241,1696,Ireland
76,1 February 2017 19:00,1252,1721,Ireland
77,1 February 2017 19:15,1277,1850,Ireland
78,1 February 2017 19:30,1301,1828,Ireland
79,1 February 2017 19:45,1325,1779,Ireland
80,1 February 2017 20:00,1359,1749,Ireland
81,1 February 2017 20:15,1403,1872,Ireland
82,1 February 2017 20:30,1446,1832,Ireland
83,1 February 2017 20:45,1489,1907,Ireland
84,1 February 2017 21:00,1529,1916,Ireland
85,1 February 2017 21:15,1564,1820,Ireland
86,1 February 2017 21:30,1599,1818,Ireland
87,1 February 2017 21:45,1634,1819,Ireland
88,1 February 2017 22:00,1666,1949,Ireland
89,1 February 2017 22:15,1693,2083,Ireland
90,1 February 2017 22:30,1721,2106,Ireland
91,1 February 2017 22:45,1748,2085,Ireland
92,1 February 2017 23:00,1772,2044,Ireland
93,1 February 2017 23:15,1791,2049,Ireland
94,1 February 2017 23:30,1811,2067,Ireland
95,1 February 2017 23:45,1830,2121,Ireland
96,2 February 2017 00:00,1814,2179,Ireland
97,2 February 2017 00:15,1832,2174,Ireland
98,2 February 2017 00:30,1850,2219,Ireland
99,2 February 2017 00:45,1868,2250,Ireland
100,2 February 2017 01:00,1882,2252,Ireland
101,2 February 2017 01:15,1894,2217,Ireland
102,2 February 2017 01:30,1905,2216,Ireland
103,2 February 2017 01:45,1917,2233,Ireland
104,2 February 2017 02:00,1925,2237,Ireland
105,2 February 2017 02:15,1931,2124,Ireland
106,2 February 2017 02:30,1936,2113,Ireland
107,2 February 2017 02:45,1941,2110,Ireland
108,2 February 2017 03:00,1944,2120,Ireland
109,2 February 2017 03:15,1943,2071,Ireland
110,2 February 2017 03:30,1942,2046,Ireland
111,2 February 2017 03:45,1941,1967,Ireland
112,2 February 2017 04:00,1940,1961,Ireland
113,2 February 2017 04:15,1939,1976,Ireland
114,2 February 2017 04:30,1939,1974,Ireland
115,2 February 2017 04:45,1938,1955,Ireland
116,2 February 2017 05:00,1938,1949,Ireland
117,2 February 2017 05:15,1939,1940,Ireland
118,2 February 2017 05:30,1941,1955,Ireland
119,2 February 2017 05:45,1942,1984,Ireland
120,2 February 2017 06:00,1924,1983,Ireland
121,2 February 2017 06:15,1915,2105,Ireland
122,2 February 2017 06:30,1906,2113,Ireland
123,2 February 2017 06:45,1897,2225,Ireland
124,2 February 2017 07:00,1894,2254,Ireland
125,2 February 2017 07:15,1897,2247,Ireland
126,2 February 2017 07:30,1900,2251,Ireland
127,2 February 2017 07:45,1903,2283,Ireland
128,2 February 2017 08:00,1912,2248,Ireland
129,2 February 2017 08:15,1926,2290,Ireland
130,2 February 2017 08:30,1941,2298,Ireland
131,2 February 2017 08:45,1955,2300,Ireland
132,2 February 2017 09:00,1968,2247,Ireland
133,2 February 2017 09:15,1978,2208,Ireland
134,2 February 2017 09:30,1987,2246,Ireland
135,2 February 2017 09:45,1997,2219,Ireland
136,2 February 2017 10:00,2008,2259,Ireland
137,2 February 2017 10:15,2018,2288,Ireland
138,2 February 2017 10:30,2029,2271,Ireland
139,2 February 2017 10:45,2040,2249,Ireland
140,2 February 2017 11:00,2050,2235,Ireland
141,2 February 2017 11:15,2060,2236,Ireland
142,2 February 2017 11:30,2070,2229,Ireland
143,2 February 2017 11:45,2080,2269,Ireland
144,2 February 2017 12:00,2017,2224,Ireland
145,2 February 2017 12:15,2020,2250,Ireland
146,2 February 2017 12:30,2024,2271,Ireland
147,2 February 2017 12:45,2027,2249,Ireland
148,2 February 2017 13:00,2030,2259,Ireland
149,2 February 2017 13:15,2034,2231,Ireland
150,2 February 2017 13:30,2037,2186,Ireland
151,2 February 2017 13:45,2040,2169,Ireland
152,2 February 2017 14:00,2038,2133,Ireland
153,2 February 2017 14:15,2031,2069,Ireland
154,2 February 2017 14:30,2024,1983,Ireland
155,2 February 2017 14:45,2017,1934,Ireland
156,2 February 2017 15:00,2007,1925,Ireland
157,2 February 2017 15:15,1995,1861,Ireland
158,2 February 2017 15:30,1983,1763,Ireland
159,2 February 2017 15:45,1971,1747,Ireland
160,2 February 2017 16:00,1960,1775,Ireland
161,2 February 2017 16:15,1951,1787,Ireland
162,2 February 2017 16:30,1943,1819,Ireland
163,2 February 2017 16:45,1934,1834,Ireland
164,2 February 2017 17:00,1926,1789,Ireland
165,2 February 2017 17:15,1920,1825,Ireland
166,2 February 2017 17:30,1913,1756,Ireland
