,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 November 2017 00:00,706,704,Ireland
1,1 November 2017 00:15,712,687,Ireland
2,1 November 2017 00:30,718,679,Ireland
3,1 November 2017 00:45,724,674,Ireland
4,1 November 2017 01:00,730,652,Ireland
5,1 November 2017 01:15,736,675,Ireland
6,1 November 2017 01:30,743,695,Ireland
7,1 November 2017 01:45,749,672,Ireland
8,1 November 2017 02:00,742,669,Ireland
9,1 November 2017 02:15,721,677,Ireland
10,1 November 2017 02:30,700,682,Ireland
11,1 November 2017 02:45,680,652,Ireland
12,1 November 2017 03:00,659,629,Ireland
13,1 November 2017 03:15,639,611,Ireland
14,1 November 2017 03:30,619,530,Ireland
15,1 November 2017 03:45,599,504,Ireland
16,1 November 2017 04:00,582,448,Ireland
17,1 November 2017 04:15,568,470,Ireland
18,1 November 2017 04:30,554,445,Ireland
19,1 November 2017 04:45,540,435,Ireland
20,1 November 2017 05:00,530,422,Ireland
21,1 November 2017 05:15,523,399,Ireland
22,1 November 2017 05:30,517,375,Ireland
23,1 November 2017 05:45,510,370,Ireland
24,1 November 2017 06:00,432,384,Ireland
25,1 November 2017 06:15,420,350,Ireland
26,1 November 2017 06:30,409,351,Ireland
27,1 November 2017 06:45,397,338,Ireland
28,1 November 2017 07:00,386,302,Ireland
29,1 November 2017 07:15,376,323,Ireland
30,1 November 2017 07:30,365,333,Ireland
31,1 November 2017 07:45,355,344,Ireland
32,1 November 2017 08:00,341,350,Ireland
33,1 November 2017 08:15,324,327,Ireland
34,1 November 2017 08:30,307,317,Ireland
35,1 November 2017 08:45,290,311,Ireland
36,1 November 2017 09:00,278,285,Ireland
37,1 November 2017 09:15,270,287,Ireland
38,1 November 2017 09:30,262,248,Ireland
39,1 November 2017 09:45,254,209,Ireland
40,1 November 2017 10:00,246,194,Ireland
41,1 November 2017 10:15,240,200,Ireland
42,1 November 2017 10:30,234,181,Ireland
43,1 November 2017 10:45,228,185,Ireland
44,1 November 2017 11:00,220,184,Ireland
45,1 November 2017 11:15,209,169,Ireland
46,1 November 2017 11:30,199,160,Ireland
47,1 November 2017 11:45,188,170,Ireland
48,1 November 2017 12:00,164,166,Ireland
49,1 November 2017 12:15,156,147,Ireland
50,1 November 2017 12:30,148,130,Ireland
51,1 November 2017 12:45,139,141,Ireland
52,1 November 2017 13:00,133,128,Ireland
53,1 November 2017 13:15,127,127,Ireland
54,1 November 2017 13:30,122,137,Ireland
55,1 November 2017 13:45,116,131,Ireland
56,1 November 2017 14:00,111,138,Ireland
57,1 November 2017 14:15,106,134,Ireland
58,1 November 2017 14:30,101,163,Ireland
59,1 November 2017 14:45,96,174,Ireland
60,1 November 2017 15:00,92,176,Ireland
61,1 November 2017 15:15,89,159,Ireland
62,1 November 2017 15:30,87,166,Ireland
63,1 November 2017 15:45,84,171,Ireland
64,1 November 2017 16:00,82,159,Ireland
65,1 November 2017 16:15,80,147,Ireland
66,1 November 2017 16:30,79,138,Ireland
67,1 November 2017 16:45,77,128,Ireland
68,1 November 2017 17:00,76,127,Ireland
69,1 November 2017 17:15,75,130,Ireland
70,1 November 2017 17:30,75,131,Ireland
71,1 November 2017 17:45,75,118,Ireland
72,1 November 2017 18:00,79,114,Ireland
73,1 November 2017 18:15,78,111,Ireland
74,1 November 2017 18:30,78,132,Ireland
75,1 November 2017 18:45,77,128,Ireland
76,1 November 2017 19:00,76,136,Ireland
77,1 November 2017 19:15,76,128,Ireland
78,1 November 2017 19:30,75,120,Ireland
79,1 November 2017 19:45,75,127,Ireland
80,1 November 2017 20:00,76,133,Ireland
81,1 November 2017 20:15,78,131,Ireland
82,1 November 2017 20:30,80,136,Ireland
83,1 November 2017 20:45,82,139,Ireland
84,1 November 2017 21:00,84,123,Ireland
85,1 November 2017 21:15,89,120,Ireland
86,1 November 2017 21:30,92,110,Ireland
87,1 November 2017 21:45,96,111,Ireland
88,1 November 2017 22:00,100,105,Ireland
89,1 November 2017 22:15,103,104,Ireland
90,1 November 2017 22:30,106,116,Ireland
91,1 November 2017 22:45,109,114,Ireland
92,1 November 2017 23:00,110,130,Ireland
93,1 November 2017 23:15,109,143,Ireland
94,1 November 2017 23:30,108,144,Ireland
95,1 November 2017 23:45,107,143,Ireland
96,2 November 2017 00:00,135,137,Ireland
97,2 November 2017 00:15,134,146,Ireland
98,2 November 2017 00:30,132,150,Ireland
99,2 November 2017 00:45,131,153,Ireland
100,2 November 2017 01:00,129,151,Ireland
101,2 November 2017 01:15,127,130,Ireland
102,2 November 2017 01:30,124,127,Ireland
103,2 November 2017 01:45,121,142,Ireland
104,2 November 2017 02:00,118,153,Ireland
105,2 November 2017 02:15,114,157,Ireland
106,2 November 2017 02:30,110,155,Ireland
107,2 November 2017 02:45,106,150,Ireland
108,2 November 2017 03:00,102,150,Ireland
109,2 November 2017 03:15,98,140,Ireland
110,2 November 2017 03:30,93,143,Ireland
111,2 November 2017 03:45,89,146,Ireland
112,2 November 2017 04:00,85,139,Ireland
113,2 November 2017 04:15,82,119,Ireland
114,2 November 2017 04:30,79,114,Ireland
115,2 November 2017 04:45,76,116,Ireland
116,2 November 2017 05:00,73,116,Ireland
117,2 November 2017 05:15,71,99,Ireland
118,2 November 2017 05:30,68,91,Ireland
119,2 November 2017 05:45,66,72,Ireland
120,2 November 2017 06:00,72,64,Ireland
121,2 November 2017 06:15,69,61,Ireland
122,2 November 2017 06:30,66,53,Ireland
123,2 November 2017 06:45,63,55,Ireland
124,2 November 2017 07:00,60,53,Ireland
125,2 November 2017 07:15,58,60,Ireland
126,2 November 2017 07:30,56,52,Ireland
127,2 November 2017 07:45,54,50,Ireland
128,2 November 2017 08:00,52,47,Ireland
129,2 November 2017 08:15,49,44,Ireland
130,2 November 2017 08:30,46,39,Ireland
131,2 November 2017 08:45,44,36,Ireland
132,2 November 2017 09:00,41,24,Ireland
133,2 November 2017 09:15,38,17,Ireland
134,2 November 2017 09:30,35,13,Ireland
135,2 November 2017 09:45,32,12,Ireland
136,2 November 2017 10:00,29,11,Ireland
137,2 November 2017 10:15,27,9,Ireland
138,2 November 2017 10:30,24,9,Ireland
139,2 November 2017 10:45,22,-1,Ireland
140,2 November 2017 11:00,20,-2,Ireland
141,2 November 2017 11:15,18,0,Ireland
142,2 November 2017 11:30,17,-3,Ireland
143,2 November 2017 11:45,16,-2,Ireland
144,2 November 2017 12:00,13,-3,Ireland
145,2 November 2017 12:15,12,-3,Ireland
146,2 November 2017 12:30,11,-2,Ireland
147,2 November 2017 12:45,10,-2,Ireland
148,2 November 2017 13:00,9,-3,Ireland
149,2 November 2017 13:15,9,-2,Ireland
150,2 November 2017 13:30,9,-3,Ireland
151,2 November 2017 13:45,10,-2,Ireland
152,2 November 2017 14:00,10,-1,Ireland
153,2 November 2017 14:15,11,-1,Ireland
154,2 November 2017 14:30,11,1,Ireland
155,2 November 2017 14:45,12,2,Ireland
156,2 November 2017 15:00,12,4,Ireland
157,2 November 2017 15:15,13,2,Ireland
158,2 November 2017 15:30,14,1,Ireland
159,2 November 2017 15:45,15,3,Ireland
160,2 November 2017 16:00,16,2,Ireland
161,2 November 2017 16:15,16,1,Ireland
162,2 November 2017 16:30,16,0,Ireland
163,2 November 2017 16:45,16,0,Ireland
164,2 November 2017 17:00,14,-1,Ireland
165,2 November 2017 17:15,15,1,Ireland
166,2 November 2017 17:30,16,2,Ireland
167,2 November 2017 17:45,18,0,Ireland
168,2 November 2017 18:00,20,0,Ireland
169,2 November 2017 18:15,22,1,Ireland
170,2 November 2017 18:30,24,0,Ireland
171,2 November 2017 18:45,26,-1,Ireland
172,2 November 2017 19:00,28,-1,Ireland
173,2 November 2017 19:15,29,-1,Ireland
174,2 November 2017 19:30,30,1,Ireland
175,2 November 2017 19:45,32,0,Ireland
176,2 November 2017 20:00,33,1,Ireland
177,2 November 2017 20:15,34,3,Ireland
178,2 November 2017 20:30,34,4,Ireland
179,2 November 2017 20:45,35,6,Ireland
180,2 November 2017 21:00,36,10,Ireland
181,2 November 2017 21:15,38,11,Ireland
182,2 November 2017 21:30,39,14,Ireland
183,2 November 2017 21:45,40,16,Ireland
184,2 November 2017 22:00,42,18,Ireland
185,2 November 2017 22:15,44,21,Ireland
186,2 November 2017 22:30,46,25,Ireland
187,2 November 2017 22:45,48,23,Ireland
188,2 November 2017 23:00,50,29,Ireland
189,2 November 2017 23:15,53,34,Ireland
190,2 November 2017 23:30,57,40,Ireland
191,2 November 2017 23:45,60,42,Ireland
192,3 November 2017 00:00,85,44,Ireland
193,3 November 2017 00:15,90,37,Ireland
194,3 November 2017 00:30,94,43,Ireland
195,3 November 2017 00:45,99,42,Ireland
196,3 November 2017 01:00,102,45,Ireland
197,3 November 2017 01:15,103,48,Ireland
198,3 November 2017 01:30,104,50,Ireland
199,3 November 2017 01:45,105,52,Ireland
200,3 November 2017 02:00,105,56,Ireland
201,3 November 2017 02:15,104,60,Ireland
202,3 November 2017 02:30,104,70,Ireland
203,3 November 2017 02:45,103,78,Ireland
204,3 November 2017 03:00,104,79,Ireland
205,3 November 2017 03:15,106,94,Ireland
206,3 November 2017 03:30,108,91,Ireland
207,3 November 2017 03:45,110,94,Ireland
208,3 November 2017 04:00,112,86,Ireland
209,3 November 2017 04:15,113,95,Ireland
210,3 November 2017 04:30,115,95,Ireland
211,3 November 2017 04:45,116,95,Ireland
212,3 November 2017 05:00,118,102,Ireland
213,3 November 2017 05:15,122,103,Ireland
214,3 November 2017 05:30,126,109,Ireland
215,3 November 2017 05:45,130,107,Ireland
216,3 November 2017 06:00,190,102,Ireland
217,3 November 2017 06:15,194,106,Ireland
218,3 November 2017 06:30,197,111,Ireland
219,3 November 2017 06:45,201,120,Ireland
220,3 November 2017 07:00,203,116,Ireland
221,3 November 2017 07:15,203,108,Ireland
222,3 November 2017 07:30,203,120,Ireland
223,3 November 2017 07:45,204,125,Ireland
224,3 November 2017 08:00,203,130,Ireland
225,3 November 2017 08:15,202,136,Ireland
226,3 November 2017 08:30,200,102,Ireland
227,3 November 2017 08:45,199,102,Ireland
228,3 November 2017 09:00,199,99,Ireland
229,3 November 2017 09:15,201,94,Ireland
230,3 November 2017 09:30,203,105,Ireland
231,3 November 2017 09:45,206,110,Ireland
232,3 November 2017 10:00,207,123,Ireland
233,3 November 2017 10:15,208,147,Ireland
234,3 November 2017 10:30,208,167,Ireland
235,3 November 2017 10:45,209,166,Ireland
236,3 November 2017 11:00,211,173,Ireland
237,3 November 2017 11:15,214,180,Ireland
238,3 November 2017 11:30,217,216,Ireland
239,3 November 2017 11:45,220,216,Ireland
240,3 November 2017 12:00,229,201,Ireland
241,3 November 2017 12:15,237,183,Ireland
242,3 November 2017 12:30,246,159,Ireland
243,3 November 2017 12:45,254,257,Ireland
244,3 November 2017 13:00,258,242,Ireland
245,3 November 2017 13:15,260,254,Ireland
246,3 November 2017 13:30,261,286,Ireland
247,3 November 2017 13:45,263,257,Ireland
248,3 November 2017 14:00,263,182,Ireland
249,3 November 2017 14:15,262,176,Ireland
250,3 November 2017 14:30,261,171,Ireland
251,3 November 2017 14:45,261,156,Ireland
252,3 November 2017 15:00,262,142,Ireland
253,3 November 2017 15:15,266,162,Ireland
254,3 November 2017 15:30,270,158,Ireland
255,3 November 2017 15:45,275,166,Ireland
256,3 November 2017 16:00,278,184,Ireland
257,3 November 2017 16:15,280,203,Ireland
258,3 November 2017 16:30,283,216,Ireland
259,3 November 2017 16:45,285,250,Ireland
260,3 November 2017 17:00,288,275,Ireland
261,3 November 2017 17:15,292,274,Ireland
262,3 November 2017 17:30,296,271,Ireland
263,3 November 2017 17:45,300,340,Ireland
264,3 November 2017 18:00,359,352,Ireland
265,3 November 2017 18:15,364,386,Ireland
266,3 November 2017 18:30,369,371,Ireland
267,3 November 2017 18:45,373,390,Ireland
268,3 November 2017 19:00,379,328,Ireland
269,3 November 2017 19:15,387,314,Ireland
270,3 November 2017 19:30,395,314,Ireland
271,3 November 2017 19:45,402,318,Ireland
272,3 November 2017 20:00,410,331,Ireland
273,3 November 2017 20:15,417,319,Ireland
274,3 November 2017 20:30,424,335,Ireland
275,3 November 2017 20:45,431,349,Ireland
276,3 November 2017 21:00,442,381,Ireland
277,3 November 2017 21:15,455,358,Ireland
278,3 November 2017 21:30,469,347,Ireland
279,3 November 2017 21:45,482,350,Ireland
280,3 November 2017 22:00,497,403,Ireland
281,3 November 2017 22:15,514,454,Ireland
282,3 November 2017 22:30,530,446,Ireland
283,3 November 2017 22:45,547,509,Ireland
284,3 November 2017 23:00,574,546,Ireland
285,3 November 2017 23:15,611,597,Ireland
286,3 November 2017 23:30,648,616,Ireland
287,3 November 2017 23:45,686,626,Ireland
288,4 November 2017 00:00,753,657,Ireland
289,4 November 2017 00:15,788,674,Ireland
290,4 November 2017 00:30,823,668,Ireland
291,4 November 2017 00:45,857,705,Ireland
292,4 November 2017 01:00,888,771,Ireland
293,4 November 2017 01:15,915,765,Ireland
294,4 November 2017 01:30,942,755,Ireland
295,4 November 2017 01:45,969,768,Ireland
296,4 November 2017 02:00,989,805,Ireland
297,4 November 2017 02:15,1002,828,Ireland
298,4 November 2017 02:30,1015,846,Ireland
299,4 November 2017 02:45,1027,820,Ireland
300,4 November 2017 03:00,1046,828,Ireland
301,4 November 2017 03:15,1069,862,Ireland
302,4 November 2017 03:30,1092,859,Ireland
303,4 November 2017 03:45,1116,868,Ireland
304,4 November 2017 04:00,1133,837,Ireland
305,4 November 2017 04:15,1144,862,Ireland
306,4 November 2017 04:30,1156,834,Ireland
307,4 November 2017 04:45,1167,851,Ireland
308,4 November 2017 05:00,1176,818,Ireland
309,4 November 2017 05:15,1184,834,Ireland
310,4 November 2017 05:30,1191,903,Ireland
311,4 November 2017 05:45,1198,850,Ireland
312,4 November 2017 06:00,1150,865,Ireland
313,4 November 2017 06:15,1134,885,Ireland
314,4 November 2017 06:30,1117,830,Ireland
315,4 November 2017 06:45,1101,887,Ireland
316,4 November 2017 07:00,1089,882,Ireland
317,4 November 2017 07:15,1081,951,Ireland
318,4 November 2017 07:30,1072,888,Ireland
319,4 November 2017 07:45,1064,887,Ireland
320,4 November 2017 08:00,1068,848,Ireland
321,4 November 2017 08:15,1084,845,Ireland
322,4 November 2017 08:30,1099,821,Ireland
323,4 November 2017 08:45,1115,799,Ireland
324,4 November 2017 09:00,1153,779,Ireland
325,4 November 2017 09:15,1212,691,Ireland
326,4 November 2017 09:30,1271,769,Ireland
327,4 November 2017 09:45,1330,779,Ireland
328,4 November 2017 10:00,1384,770,Ireland
329,4 November 2017 10:15,1435,784,Ireland
330,4 November 2017 10:30,1486,862,Ireland
331,4 November 2017 10:45,1536,890,Ireland
332,4 November 2017 11:00,1575,980,Ireland
333,4 November 2017 11:15,1601,1010,Ireland
334,4 November 2017 11:30,1627,1084,Ireland
335,4 November 2017 11:45,1653,1129,Ireland
336,4 November 2017 12:00,1591,1214,Ireland
337,4 November 2017 12:15,1603,1213,Ireland
338,4 November 2017 12:30,1615,1260,Ireland
339,4 November 2017 12:45,1627,1366,Ireland
340,4 November 2017 13:00,1644,1490,Ireland
341,4 November 2017 13:15,1666,1555,Ireland
342,4 November 2017 13:30,1688,1535,Ireland
343,4 November 2017 13:45,1711,1321,Ireland
344,4 November 2017 14:00,1720,1451,Ireland
345,4 November 2017 14:15,1718,1334,Ireland
346,4 November 2017 14:30,1716,1283,Ireland
347,4 November 2017 14:45,1714,1323,Ireland
348,4 November 2017 15:00,1709,1330,Ireland
349,4 November 2017 15:15,1702,1344,Ireland
350,4 November 2017 15:30,1696,1363,Ireland
351,4 November 2017 15:45,1689,1365,Ireland
352,4 November 2017 16:00,1685,1294,Ireland
353,4 November 2017 16:15,1684,1300,Ireland
354,4 November 2017 16:30,1684,1272,Ireland
355,4 November 2017 16:45,1683,1132,Ireland
356,4 November 2017 17:00,1677,1236,Ireland
357,4 November 2017 17:15,1667,1181,Ireland
358,4 November 2017 17:30,1658,1262,Ireland
359,4 November 2017 17:45,1648,1346,Ireland
360,4 November 2017 18:00,1654,1220,Ireland
361,4 November 2017 18:15,1636,1201,Ireland
362,4 November 2017 18:30,1619,1182,Ireland
363,4 November 2017 18:45,1602,1183,Ireland
364,4 November 2017 19:00,1603,1262,Ireland
365,4 November 2017 19:15,1621,1148,Ireland
366,4 November 2017 19:30,1640,1214,Ireland
367,4 November 2017 19:45,1659,1284,Ireland
368,4 November 2017 20:00,1672,1343,Ireland
369,4 November 2017 20:15,1680,1345,Ireland
370,4 November 2017 20:30,1688,1308,Ireland
371,4 November 2017 20:45,1696,1367,Ireland
372,4 November 2017 21:00,1709,1429,Ireland
373,4 November 2017 21:15,1728,1493,Ireland
374,4 November 2017 21:30,1748,1347,Ireland
375,4 November 2017 21:45,1767,1437,Ireland
376,4 November 2017 22:00,1787,1372,Ireland
377,4 November 2017 22:15,1807,1453,Ireland
378,4 November 2017 22:30,1827,1441,Ireland
379,4 November 2017 22:45,1848,1473,Ireland
380,4 November 2017 23:00,1868,1483,Ireland
381,4 November 2017 23:15,1889,1512,Ireland
382,4 November 2017 23:30,1910,1395,Ireland
383,4 November 2017 23:45,1931,1464,Ireland
384,5 November 2017 00:00,1820,1453,Ireland
385,5 November 2017 00:15,1813,1498,Ireland
386,5 November 2017 00:30,1806,1503,Ireland
387,5 November 2017 00:45,1799,1449,Ireland
388,5 November 2017 01:00,1803,1536,Ireland
389,5 November 2017 01:15,1817,1568,Ireland
390,5 November 2017 01:30,1831,1463,Ireland
391,5 November 2017 01:45,1845,1532,Ireland
392,5 November 2017 02:00,1847,1511,Ireland
393,5 November 2017 02:15,1837,1531,Ireland
394,5 November 2017 02:30,1826,1505,Ireland
395,5 November 2017 02:45,1816,1494,Ireland
396,5 November 2017 03:00,1806,1469,Ireland
397,5 November 2017 03:15,1797,1522,Ireland
398,5 November 2017 03:30,1788,1564,Ireland
399,5 November 2017 03:45,1779,1524,Ireland
400,5 November 2017 04:00,1771,1482,Ireland
401,5 November 2017 04:15,1763,1519,Ireland
402,5 November 2017 04:30,1756,1478,Ireland
403,5 November 2017 04:45,1748,1459,Ireland
404,5 November 2017 05:00,1737,1525,Ireland
405,5 November 2017 05:15,1722,1380,Ireland
406,5 November 2017 05:30,1707,1388,Ireland
407,5 November 2017 05:45,1692,1367,Ireland
408,5 November 2017 06:00,1607,1346,Ireland
