,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 October 2017 00:00,353,313,Ireland
1,1 October 2017 00:15,408,345,Ireland
2,1 October 2017 00:30,463,403,Ireland
3,1 October 2017 00:45,518,469,Ireland
4,1 October 2017 01:00,622,547,Ireland
5,1 October 2017 01:15,692,618,Ireland
6,1 October 2017 01:30,761,719,Ireland
7,1 October 2017 01:45,830,799,Ireland
8,1 October 2017 02:00,891,898,Ireland
9,1 October 2017 02:15,943,962,Ireland
10,1 October 2017 02:30,996,1018,Ireland
11,1 October 2017 02:45,1048,1025,Ireland
12,1 October 2017 03:00,1097,1032,Ireland
13,1 October 2017 03:15,1144,1076,Ireland
14,1 October 2017 03:30,1191,1083,Ireland
15,1 October 2017 03:45,1238,1085,Ireland
16,1 October 2017 04:00,1281,1083,Ireland
17,1 October 2017 04:15,1321,1146,Ireland
18,1 October 2017 04:30,1360,1151,Ireland
19,1 October 2017 04:45,1400,1187,Ireland
20,1 October 2017 05:00,1434,1256,Ireland
21,1 October 2017 05:15,1461,1301,Ireland
22,1 October 2017 05:30,1488,1351,Ireland
23,1 October 2017 05:45,1515,1152,Ireland
24,1 October 2017 06:00,1536,1146,Ireland
25,1 October 2017 06:15,1552,1150,Ireland
26,1 October 2017 06:30,1569,1166,Ireland
27,1 October 2017 06:45,1585,1174,Ireland
28,1 October 2017 07:00,1664,1203,Ireland
29,1 October 2017 07:15,1671,1208,Ireland
30,1 October 2017 07:30,1679,1175,Ireland
31,1 October 2017 07:45,1686,1234,Ireland
32,1 October 2017 08:00,1691,1241,Ireland
33,1 October 2017 08:15,1696,1350,Ireland
34,1 October 2017 08:30,1700,1454,Ireland
35,1 October 2017 08:45,1705,1485,Ireland
36,1 October 2017 09:00,1712,1538,Ireland
37,1 October 2017 09:15,1721,1495,Ireland
38,1 October 2017 09:30,1731,1538,Ireland
39,1 October 2017 09:45,1741,1634,Ireland
40,1 October 2017 10:00,1756,1710,Ireland
41,1 October 2017 10:15,1777,1757,Ireland
42,1 October 2017 10:30,1798,1757,Ireland
43,1 October 2017 10:45,1819,1648,Ireland
44,1 October 2017 11:00,1837,1639,Ireland
45,1 October 2017 11:15,1851,1663,Ireland
46,1 October 2017 11:30,1865,1749,Ireland
47,1 October 2017 11:45,1879,1817,Ireland
48,1 October 2017 12:00,1890,1866,Ireland
49,1 October 2017 12:15,1898,1936,Ireland
50,1 October 2017 12:30,1906,1925,Ireland
51,1 October 2017 12:45,1914,1919,Ireland
52,1 October 2017 13:00,1861,1918,Ireland
53,1 October 2017 13:15,1864,1939,Ireland
