,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 April 2018 00:00,162,139,Ireland
1,1 April 2018 00:15,179,157,Ireland
2,1 April 2018 00:30,195,174,Ireland
3,1 April 2018 00:45,212,182,Ireland
4,1 April 2018 01:00,228,204,Ireland
5,1 April 2018 01:15,241,199,Ireland
6,1 April 2018 01:30,254,242,Ireland
7,1 April 2018 01:45,268,276,Ireland
8,1 April 2018 02:00,284,301,Ireland
9,1 April 2018 02:15,304,338,Ireland
10,1 April 2018 02:30,323,392,Ireland
11,1 April 2018 02:45,343,439,Ireland
12,1 April 2018 03:00,362,469,Ireland
13,1 April 2018 03:15,380,478,Ireland
14,1 April 2018 03:30,398,485,Ireland
15,1 April 2018 03:45,417,499,Ireland
16,1 April 2018 04:00,433,543,Ireland
17,1 April 2018 04:15,447,546,Ireland
18,1 April 2018 04:30,462,565,Ireland
19,1 April 2018 04:45,476,611,Ireland
20,1 April 2018 05:00,490,633,Ireland
21,1 April 2018 05:15,505,652,Ireland
22,1 April 2018 05:30,519,686,Ireland
23,1 April 2018 05:45,533,748,Ireland
24,1 April 2018 06:00,552,765,Ireland
25,1 April 2018 06:15,576,763,Ireland
26,1 April 2018 06:30,599,777,Ireland
27,1 April 2018 06:45,623,814,Ireland
28,1 April 2018 07:00,583,839,Ireland
29,1 April 2018 07:15,606,875,Ireland
30,1 April 2018 07:30,629,861,Ireland
31,1 April 2018 07:45,652,872,Ireland
32,1 April 2018 08:00,682,874,Ireland
33,1 April 2018 08:15,719,908,Ireland
34,1 April 2018 08:30,756,891,Ireland
35,1 April 2018 08:45,793,911,Ireland
36,1 April 2018 09:00,830,922,Ireland
37,1 April 2018 09:15,867,917,Ireland
38,1 April 2018 09:30,905,926,Ireland
39,1 April 2018 09:45,942,990,Ireland
40,1 April 2018 10:00,977,1035,Ireland
41,1 April 2018 10:15,1009,1051,Ireland
42,1 April 2018 10:30,1040,1093,Ireland
43,1 April 2018 10:45,1072,1152,Ireland
44,1 April 2018 11:00,1107,1236,Ireland
45,1 April 2018 11:15,1147,1314,Ireland
46,1 April 2018 11:30,1187,1329,Ireland
47,1 April 2018 11:45,1227,1427,Ireland
48,1 April 2018 12:00,1268,1432,Ireland
49,1 April 2018 12:15,1308,1491,Ireland
50,1 April 2018 12:30,1349,1541,Ireland
51,1 April 2018 12:45,1389,1599,Ireland
52,1 April 2018 13:00,1304,1658,Ireland
53,1 April 2018 13:15,1330,1697,Ireland
54,1 April 2018 13:30,1356,1727,Ireland
55,1 April 2018 13:45,1382,1778,Ireland
56,1 April 2018 14:00,1414,1714,Ireland
57,1 April 2018 14:15,1454,1728,Ireland
58,1 April 2018 14:30,1495,1703,Ireland
59,1 April 2018 14:45,1535,1739,Ireland
60,1 April 2018 15:00,1579,1737,Ireland
61,1 April 2018 15:15,1627,1785,Ireland
62,1 April 2018 15:30,1676,1818,Ireland
63,1 April 2018 15:45,1724,1816,Ireland
64,1 April 2018 16:00,1763,1855,Ireland
65,1 April 2018 16:15,1793,1852,Ireland
66,1 April 2018 16:30,1823,1868,Ireland
67,1 April 2018 16:45,1853,1856,Ireland
68,1 April 2018 17:00,1879,1878,Ireland
69,1 April 2018 17:15,1901,1882,Ireland
70,1 April 2018 17:30,1923,1881,Ireland
71,1 April 2018 17:45,1945,1920,Ireland
72,1 April 2018 18:00,1969,1918,Ireland
73,1 April 2018 18:15,1997,1918,Ireland
74,1 April 2018 18:30,2024,1881,Ireland
75,1 April 2018 18:45,2052,1917,Ireland
76,1 April 2018 19:00,2037,1905,Ireland
77,1 April 2018 19:15,2044,1893,Ireland
78,1 April 2018 19:30,2051,1899,Ireland
79,1 April 2018 19:45,2058,1901,Ireland
80,1 April 2018 20:00,2074,1928,Ireland
81,1 April 2018 20:15,2100,1960,Ireland
82,1 April 2018 20:30,2125,1952,Ireland
83,1 April 2018 20:45,2150,1987,Ireland
84,1 April 2018 21:00,2172,1973,Ireland
85,1 April 2018 21:15,2191,1962,Ireland
86,1 April 2018 21:30,2211,1968,Ireland
87,1 April 2018 21:45,2230,1973,Ireland
88,1 April 2018 22:00,2240,1978,Ireland
89,1 April 2018 22:15,2242,1946,Ireland
90,1 April 2018 22:30,2244,1931,Ireland
91,1 April 2018 22:45,2246,1928,Ireland
92,1 April 2018 23:00,2244,1903,Ireland
93,1 April 2018 23:15,2237,1908,Ireland
94,1 April 2018 23:30,2230,1917,Ireland
95,1 April 2018 23:45,2224,1941,Ireland
96,2 April 2018 00:00,2213,1972,Ireland
97,2 April 2018 00:15,2197,1999,Ireland
98,2 April 2018 00:30,2182,1983,Ireland
99,2 April 2018 00:45,2166,1962,Ireland
100,2 April 2018 01:00,2256,1930,Ireland
101,2 April 2018 01:15,2244,1900,Ireland
102,2 April 2018 01:30,2233,1910,Ireland
103,2 April 2018 01:45,2219,1894,Ireland
104,2 April 2018 02:00,2201,1873,Ireland
105,2 April 2018 02:15,2184,1924,Ireland
106,2 April 2018 02:30,2166,1913,Ireland
107,2 April 2018 02:45,2149,1876,Ireland
108,2 April 2018 03:00,2131,1832,Ireland
109,2 April 2018 03:15,2114,1830,Ireland
110,2 April 2018 03:30,2097,1783,Ireland
111,2 April 2018 03:45,2080,1817,Ireland
112,2 April 2018 04:00,2062,1784,Ireland
113,2 April 2018 04:15,2029,1771,Ireland
114,2 April 2018 04:30,1995,1756,Ireland
115,2 April 2018 04:45,1959,1733,Ireland
116,2 April 2018 05:00,1921,1755,Ireland
117,2 April 2018 05:15,1882,1758,Ireland
118,2 April 2018 05:30,1841,1752,Ireland
119,2 April 2018 05:45,1800,1753,Ireland
120,2 April 2018 06:00,1758,1782,Ireland
121,2 April 2018 06:15,1716,1734,Ireland
122,2 April 2018 06:30,1674,1711,Ireland
123,2 April 2018 06:45,1633,1753,Ireland
124,2 April 2018 07:00,1374,1730,Ireland
125,2 April 2018 07:15,1348,1699,Ireland
126,2 April 2018 07:30,1321,1652,Ireland
127,2 April 2018 07:45,1295,1594,Ireland
128,2 April 2018 08:00,1272,1594,Ireland
129,2 April 2018 08:15,1252,1566,Ireland
130,2 April 2018 08:30,1232,1547,Ireland
131,2 April 2018 08:45,1213,1556,Ireland
132,2 April 2018 09:00,1201,1552,Ireland
