,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 June 2018 00:00,86,62,Ireland
1,1 June 2018 00:15,85,62,Ireland
2,1 June 2018 00:30,83,66,Ireland
3,1 June 2018 00:45,82,61,Ireland
4,1 June 2018 01:00,81,60,Ireland
5,1 June 2018 01:15,81,61,Ireland
6,1 June 2018 01:30,81,52,Ireland
7,1 June 2018 01:45,81,51,Ireland
8,1 June 2018 02:00,81,60,Ireland
9,1 June 2018 02:15,80,70,Ireland
10,1 June 2018 02:30,80,65,Ireland
11,1 June 2018 02:45,80,55,Ireland
12,1 June 2018 03:00,79,57,Ireland
13,1 June 2018 03:15,78,62,Ireland
14,1 June 2018 03:30,77,58,Ireland
15,1 June 2018 03:45,75,50,Ireland
16,1 June 2018 04:00,74,44,Ireland
17,1 June 2018 04:15,73,40,Ireland
18,1 June 2018 04:30,72,41,Ireland
19,1 June 2018 04:45,71,48,Ireland
20,1 June 2018 05:00,70,38,Ireland
21,1 June 2018 05:15,69,29,Ireland
22,1 June 2018 05:30,68,31,Ireland
23,1 June 2018 05:45,67,31,Ireland
24,1 June 2018 06:00,65,24,Ireland
25,1 June 2018 06:15,64,22,Ireland
26,1 June 2018 06:30,62,17,Ireland
27,1 June 2018 06:45,61,16,Ireland
28,1 June 2018 07:00,80,11,Ireland
29,1 June 2018 07:15,79,9,Ireland
30,1 June 2018 07:30,77,3,Ireland
31,1 June 2018 07:45,76,-1,Ireland
32,1 June 2018 08:00,74,-1,Ireland
33,1 June 2018 08:15,72,-2,Ireland
34,1 June 2018 08:30,70,-2,Ireland
35,1 June 2018 08:45,68,-2,Ireland
36,1 June 2018 09:00,66,0,Ireland
37,1 June 2018 09:15,64,0,Ireland
38,1 June 2018 09:30,63,1,Ireland
39,1 June 2018 09:45,61,-2,Ireland
40,1 June 2018 10:00,61,3,Ireland
41,1 June 2018 10:15,63,7,Ireland
42,1 June 2018 10:30,64,7,Ireland
43,1 June 2018 10:45,66,10,Ireland
44,1 June 2018 11:00,66,8,Ireland
45,1 June 2018 11:15,66,18,Ireland
46,1 June 2018 11:30,65,26,Ireland
47,1 June 2018 11:45,65,30,Ireland
48,1 June 2018 12:00,64,28,Ireland
49,1 June 2018 12:15,63,24,Ireland
50,1 June 2018 12:30,62,29,Ireland
51,1 June 2018 12:45,61,33,Ireland
52,1 June 2018 13:00,44,36,Ireland
53,1 June 2018 13:15,46,42,Ireland
54,1 June 2018 13:30,48,42,Ireland
55,1 June 2018 13:45,50,39,Ireland
56,1 June 2018 14:00,52,41,Ireland
57,1 June 2018 14:15,54,48,Ireland
58,1 June 2018 14:30,57,62,Ireland
59,1 June 2018 14:45,59,71,Ireland
60,1 June 2018 15:00,62,79,Ireland
61,1 June 2018 15:15,63,89,Ireland
62,1 June 2018 15:30,65,84,Ireland
63,1 June 2018 15:45,67,85,Ireland
64,1 June 2018 16:00,69,87,Ireland
65,1 June 2018 16:15,73,94,Ireland
66,1 June 2018 16:30,77,112,Ireland
67,1 June 2018 16:45,80,115,Ireland
68,1 June 2018 17:00,84,120,Ireland
69,1 June 2018 17:15,88,129,Ireland
70,1 June 2018 17:30,92,168,Ireland
71,1 June 2018 17:45,96,177,Ireland
72,1 June 2018 18:00,98,200,Ireland
73,1 June 2018 18:15,100,184,Ireland
74,1 June 2018 18:30,102,182,Ireland
75,1 June 2018 18:45,104,202,Ireland
76,1 June 2018 19:00,100,169,Ireland
77,1 June 2018 19:15,103,163,Ireland
78,1 June 2018 19:30,105,155,Ireland
79,1 June 2018 19:45,108,116,Ireland
80,1 June 2018 20:00,110,89,Ireland
81,1 June 2018 20:15,111,63,Ireland
82,1 June 2018 20:30,112,50,Ireland
83,1 June 2018 20:45,114,36,Ireland
84,1 June 2018 21:00,114,29,Ireland
85,1 June 2018 21:15,113,27,Ireland
86,1 June 2018 21:30,112,33,Ireland
87,1 June 2018 21:45,111,36,Ireland
88,1 June 2018 22:00,110,38,Ireland
89,1 June 2018 22:15,108,33,Ireland
90,1 June 2018 22:30,107,24,Ireland
91,1 June 2018 22:45,106,27,Ireland
92,1 June 2018 23:00,104,24,Ireland
93,1 June 2018 23:15,102,30,Ireland
94,1 June 2018 23:30,100,32,Ireland
95,1 June 2018 23:45,98,34,Ireland
96,2 June 2018 00:00,95,36,Ireland
97,2 June 2018 00:15,92,32,Ireland
98,2 June 2018 00:30,90,32,Ireland
99,2 June 2018 00:45,87,26,Ireland
100,2 June 2018 01:00,96,19,Ireland
101,2 June 2018 01:15,94,19,Ireland
102,2 June 2018 01:30,93,25,Ireland
103,2 June 2018 01:45,91,20,Ireland
104,2 June 2018 02:00,90,19,Ireland
105,2 June 2018 02:15,91,18,Ireland
106,2 June 2018 02:30,92,24,Ireland
107,2 June 2018 02:45,92,28,Ireland
108,2 June 2018 03:00,92,30,Ireland
109,2 June 2018 03:15,90,32,Ireland
110,2 June 2018 03:30,88,31,Ireland
111,2 June 2018 03:45,86,36,Ireland
112,2 June 2018 04:00,86,41,Ireland
113,2 June 2018 04:15,87,49,Ireland
114,2 June 2018 04:30,88,47,Ireland
115,2 June 2018 04:45,89,45,Ireland
116,2 June 2018 05:00,90,44,Ireland
117,2 June 2018 05:15,92,46,Ireland
118,2 June 2018 05:30,94,42,Ireland
119,2 June 2018 05:45,96,54,Ireland
120,2 June 2018 06:00,98,69,Ireland
121,2 June 2018 06:15,100,75,Ireland
122,2 June 2018 06:30,102,94,Ireland
123,2 June 2018 06:45,104,100,Ireland
124,2 June 2018 07:00,129,112,Ireland
125,2 June 2018 07:15,131,122,Ireland
126,2 June 2018 07:30,133,122,Ireland
127,2 June 2018 07:45,136,126,Ireland
128,2 June 2018 08:00,141,123,Ireland
129,2 June 2018 08:15,149,119,Ireland
130,2 June 2018 08:30,158,120,Ireland
131,2 June 2018 08:45,166,112,Ireland
132,2 June 2018 09:00,172,105,Ireland
