,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 September 2018 00:00,279,293,Ireland
1,1 September 2018 00:15,266,294,Ireland
2,1 September 2018 00:30,253,293,Ireland
3,1 September 2018 00:45,240,262,Ireland
4,1 September 2018 01:00,220,262,Ireland
5,1 September 2018 01:15,213,238,Ireland
6,1 September 2018 01:30,206,215,Ireland
7,1 September 2018 01:45,199,227,Ireland
8,1 September 2018 02:00,191,208,Ireland
9,1 September 2018 02:15,184,189,Ireland
10,1 September 2018 02:30,177,166,Ireland
11,1 September 2018 02:45,170,168,Ireland
12,1 September 2018 03:00,163,168,Ireland
13,1 September 2018 03:15,156,155,Ireland
14,1 September 2018 03:30,149,152,Ireland
15,1 September 2018 03:45,142,150,Ireland
16,1 September 2018 04:00,137,141,Ireland
17,1 September 2018 04:15,133,138,Ireland
18,1 September 2018 04:30,130,136,Ireland
19,1 September 2018 04:45,126,141,Ireland
20,1 September 2018 05:00,122,135,Ireland
21,1 September 2018 05:15,116,128,Ireland
22,1 September 2018 05:30,111,122,Ireland
23,1 September 2018 05:45,106,121,Ireland
24,1 September 2018 06:00,101,107,Ireland
25,1 September 2018 06:15,98,116,Ireland
26,1 September 2018 06:30,95,89,Ireland
27,1 September 2018 06:45,92,88,Ireland
28,1 September 2018 07:00,82,77,Ireland
29,1 September 2018 07:15,80,78,Ireland
30,1 September 2018 07:30,78,64,Ireland
31,1 September 2018 07:45,76,84,Ireland
32,1 September 2018 08:00,74,76,Ireland
33,1 September 2018 08:15,71,67,Ireland
34,1 September 2018 08:30,69,41,Ireland
35,1 September 2018 08:45,67,36,Ireland
36,1 September 2018 09:00,65,37,Ireland
37,1 September 2018 09:15,62,36,Ireland
38,1 September 2018 09:30,58,37,Ireland
39,1 September 2018 09:45,55,40,Ireland
40,1 September 2018 10:00,54,34,Ireland
41,1 September 2018 10:15,54,34,Ireland
42,1 September 2018 10:30,55,31,Ireland
43,1 September 2018 10:45,55,38,Ireland
44,1 September 2018 11:00,56,34,Ireland
45,1 September 2018 11:15,58,35,Ireland
46,1 September 2018 11:30,59,37,Ireland
47,1 September 2018 11:45,60,40,Ireland
