,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 January 2019 00:00,412,604,Ireland
1,1 January 2019 00:15,400,582,Ireland
2,1 January 2019 00:30,388,582,Ireland
3,1 January 2019 00:45,377,605,Ireland
4,1 January 2019 01:00,365,618,Ireland
5,1 January 2019 01:15,352,627,Ireland
6,1 January 2019 01:30,340,610,Ireland
7,1 January 2019 01:45,328,555,Ireland
8,1 January 2019 02:00,317,516,Ireland
9,1 January 2019 02:15,307,507,Ireland
10,1 January 2019 02:30,297,510,Ireland
11,1 January 2019 02:45,287,497,Ireland
12,1 January 2019 03:00,276,491,Ireland
13,1 January 2019 03:15,263,501,Ireland
14,1 January 2019 03:30,250,432,Ireland
15,1 January 2019 03:45,237,415,Ireland
16,1 January 2019 04:00,223,397,Ireland
17,1 January 2019 04:15,209,366,Ireland
18,1 January 2019 04:30,194,340,Ireland
19,1 January 2019 04:45,179,316,Ireland
20,1 January 2019 05:00,166,302,Ireland
21,1 January 2019 05:15,154,311,Ireland
22,1 January 2019 05:30,142,293,Ireland
23,1 January 2019 05:45,130,282,Ireland
24,1 January 2019 06:00,145,264,Ireland
25,1 January 2019 06:15,136,258,Ireland
26,1 January 2019 06:30,128,253,Ireland
27,1 January 2019 06:45,120,233,Ireland
28,1 January 2019 07:00,112,229,Ireland
29,1 January 2019 07:15,105,216,Ireland
30,1 January 2019 07:30,98,197,Ireland
31,1 January 2019 07:45,91,184,Ireland
32,1 January 2019 08:00,86,179,Ireland
33,1 January 2019 08:15,83,158,Ireland
34,1 January 2019 08:30,80,143,Ireland
35,1 January 2019 08:45,77,133,Ireland
36,1 January 2019 09:00,75,130,Ireland
37,1 January 2019 09:15,75,117,Ireland
38,1 January 2019 09:30,74,119,Ireland
39,1 January 2019 09:45,73,113,Ireland
40,1 January 2019 10:00,72,102,Ireland
41,1 January 2019 10:15,70,98,Ireland
42,1 January 2019 10:30,68,97,Ireland
43,1 January 2019 10:45,66,94,Ireland
44,1 January 2019 11:00,65,88,Ireland
45,1 January 2019 11:15,64,81,Ireland
46,1 January 2019 11:30,63,85,Ireland
47,1 January 2019 11:45,63,86,Ireland
48,1 January 2019 12:00,72,81,Ireland
49,1 January 2019 12:15,69,86,Ireland
50,1 January 2019 12:30,65,73,Ireland
51,1 January 2019 12:45,62,71,Ireland
52,1 January 2019 13:00,60,77,Ireland
53,1 January 2019 13:15,57,68,Ireland
54,1 January 2019 13:30,55,60,Ireland
55,1 January 2019 13:45,53,58,Ireland
56,1 January 2019 14:00,52,55,Ireland
57,1 January 2019 14:15,53,45,Ireland
58,1 January 2019 14:30,53,41,Ireland
59,1 January 2019 14:45,54,38,Ireland
60,1 January 2019 15:00,56,36,Ireland
61,1 January 2019 15:15,59,37,Ireland
62,1 January 2019 15:30,62,23,Ireland
63,1 January 2019 15:45,65,20,Ireland
64,1 January 2019 16:00,70,23,Ireland
65,1 January 2019 16:15,78,26,Ireland
66,1 January 2019 16:30,85,31,Ireland
67,1 January 2019 16:45,92,37,Ireland
68,1 January 2019 17:00,98,55,Ireland
69,1 January 2019 17:15,104,71,Ireland
70,1 January 2019 17:30,109,73,Ireland
71,1 January 2019 17:45,114,87,Ireland
72,1 January 2019 18:00,108,88,Ireland
73,1 January 2019 18:15,110,86,Ireland
74,1 January 2019 18:30,111,82,Ireland
75,1 January 2019 18:45,112,83,Ireland
76,1 January 2019 19:00,115,82,Ireland
77,1 January 2019 19:15,122,87,Ireland
78,1 January 2019 19:30,128,92,Ireland
79,1 January 2019 19:45,134,89,Ireland
80,1 January 2019 20:00,141,88,Ireland
81,1 January 2019 20:15,148,96,Ireland
82,1 January 2019 20:30,155,102,Ireland
83,1 January 2019 20:45,162,111,Ireland
84,1 January 2019 21:00,168,116,Ireland
85,1 January 2019 21:15,172,110,Ireland
86,1 January 2019 21:30,176,100,Ireland
87,1 January 2019 21:45,181,103,Ireland
88,1 January 2019 22:00,186,90,Ireland
89,1 January 2019 22:15,192,86,Ireland
90,1 January 2019 22:30,198,83,Ireland
91,1 January 2019 22:45,205,75,Ireland
92,1 January 2019 23:00,210,81,Ireland
93,1 January 2019 23:15,215,75,Ireland
94,1 January 2019 23:30,220,73,Ireland
95,1 January 2019 23:45,224,68,Ireland
96,2 January 2019 00:00,255,51,Ireland
97,2 January 2019 00:15,257,49,Ireland
98,2 January 2019 00:30,258,44,Ireland
99,2 January 2019 00:45,259,45,Ireland
100,2 January 2019 01:00,262,59,Ireland
101,2 January 2019 01:15,268,60,Ireland
102,2 January 2019 01:30,274,60,Ireland
103,2 January 2019 01:45,279,73,Ireland
104,2 January 2019 02:00,285,89,Ireland
105,2 January 2019 02:15,290,93,Ireland
106,2 January 2019 02:30,296,99,Ireland
107,2 January 2019 02:45,301,95,Ireland
108,2 January 2019 03:00,305,98,Ireland
109,2 January 2019 03:15,308,101,Ireland
110,2 January 2019 03:30,310,96,Ireland
111,2 January 2019 03:45,313,95,Ireland
112,2 January 2019 04:00,316,94,Ireland
113,2 January 2019 04:15,322,98,Ireland
114,2 January 2019 04:30,327,105,Ireland
115,2 January 2019 04:45,333,93,Ireland
116,2 January 2019 05:00,338,94,Ireland
117,2 January 2019 05:15,344,98,Ireland
118,2 January 2019 05:30,350,111,Ireland
119,2 January 2019 05:45,355,121,Ireland
120,2 January 2019 06:00,258,115,Ireland
121,2 January 2019 06:15,260,113,Ireland
122,2 January 2019 06:30,261,116,Ireland
123,2 January 2019 06:45,262,113,Ireland
124,2 January 2019 07:00,264,113,Ireland
125,2 January 2019 07:15,267,115,Ireland
126,2 January 2019 07:30,270,120,Ireland
127,2 January 2019 07:45,273,110,Ireland
128,2 January 2019 08:00,275,110,Ireland
129,2 January 2019 08:15,276,112,Ireland
130,2 January 2019 08:30,278,120,Ireland
131,2 January 2019 08:45,279,123,Ireland
132,2 January 2019 09:00,280,115,Ireland
133,2 January 2019 09:15,281,112,Ireland
134,2 January 2019 09:30,283,101,Ireland
135,2 January 2019 09:45,284,103,Ireland
136,2 January 2019 10:00,286,110,Ireland
137,2 January 2019 10:15,288,125,Ireland
138,2 January 2019 10:30,291,137,Ireland
139,2 January 2019 10:45,293,152,Ireland
140,2 January 2019 11:00,294,151,Ireland
141,2 January 2019 11:15,293,157,Ireland
142,2 January 2019 11:30,292,165,Ireland
143,2 January 2019 11:45,290,165,Ireland
144,2 January 2019 12:00,288,161,Ireland
145,2 January 2019 12:15,282,161,Ireland
146,2 January 2019 12:30,275,159,Ireland
147,2 January 2019 12:45,269,172,Ireland
148,2 January 2019 13:00,263,169,Ireland
149,2 January 2019 13:15,257,166,Ireland
150,2 January 2019 13:30,252,172,Ireland
151,2 January 2019 13:45,246,184,Ireland
152,2 January 2019 14:00,243,181,Ireland
153,2 January 2019 14:15,241,184,Ireland
154,2 January 2019 14:30,240,203,Ireland
155,2 January 2019 14:45,238,207,Ireland
156,2 January 2019 15:00,239,197,Ireland
157,2 January 2019 15:15,242,194,Ireland
158,2 January 2019 15:30,245,196,Ireland
159,2 January 2019 15:45,249,199,Ireland
160,2 January 2019 16:00,254,217,Ireland
161,2 January 2019 16:15,263,214,Ireland
162,2 January 2019 16:30,271,241,Ireland
163,2 January 2019 16:45,279,262,Ireland
164,2 January 2019 17:00,286,264,Ireland
165,2 January 2019 17:15,292,289,Ireland
166,2 January 2019 17:30,298,288,Ireland
167,2 January 2019 17:45,305,293,Ireland
168,2 January 2019 18:00,371,298,Ireland
169,2 January 2019 18:15,370,314,Ireland
170,2 January 2019 18:30,369,327,Ireland
171,2 January 2019 18:45,368,323,Ireland
172,2 January 2019 19:00,360,325,Ireland
173,2 January 2019 19:15,345,310,Ireland
174,2 January 2019 19:30,330,301,Ireland
175,2 January 2019 19:45,315,302,Ireland
176,2 January 2019 20:00,308,316,Ireland
177,2 January 2019 20:15,308,319,Ireland
178,2 January 2019 20:30,309,311,Ireland
179,2 January 2019 20:45,309,287,Ireland
180,2 January 2019 21:00,311,293,Ireland
181,2 January 2019 21:15,316,291,Ireland
182,2 January 2019 21:30,321,299,Ireland
183,2 January 2019 21:45,325,301,Ireland
184,2 January 2019 22:00,330,315,Ireland
185,2 January 2019 22:15,335,335,Ireland
186,2 January 2019 22:30,339,341,Ireland
187,2 January 2019 22:45,344,359,Ireland
188,2 January 2019 23:00,351,368,Ireland
189,2 January 2019 23:15,360,386,Ireland
190,2 January 2019 23:30,370,375,Ireland
191,2 January 2019 23:45,380,382,Ireland
192,3 January 2019 00:00,432,382,Ireland
193,3 January 2019 00:15,432,371,Ireland
194,3 January 2019 00:30,432,386,Ireland
195,3 January 2019 00:45,432,377,Ireland
196,3 January 2019 01:00,428,383,Ireland
197,3 January 2019 01:15,420,385,Ireland
198,3 January 2019 01:30,413,404,Ireland
199,3 January 2019 01:45,405,384,Ireland
200,3 January 2019 02:00,408,378,Ireland
201,3 January 2019 02:15,421,373,Ireland
