,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 July 2019 00:00,1462,1451,Ireland
1,1 July 2019 00:15,1466,1452,Ireland
2,1 July 2019 00:30,1470,1432,Ireland
3,1 July 2019 00:45,1474,1426,Ireland
4,1 July 2019 01:00,1413,1480,Ireland
5,1 July 2019 01:15,1413,1538,Ireland
6,1 July 2019 01:30,1414,1457,Ireland
7,1 July 2019 01:45,1415,1446,Ireland
8,1 July 2019 02:00,1419,1403,Ireland
9,1 July 2019 02:15,1428,1469,Ireland
10,1 July 2019 02:30,1436,1525,Ireland
11,1 July 2019 02:45,1444,1489,Ireland
12,1 July 2019 03:00,1447,1438,Ireland
13,1 July 2019 03:15,1444,1464,Ireland
14,1 July 2019 03:30,1440,1505,Ireland
15,1 July 2019 03:45,1437,1504,Ireland
16,1 July 2019 04:00,1430,1510,Ireland
17,1 July 2019 04:15,1418,1497,Ireland
18,1 July 2019 04:30,1407,1450,Ireland
19,1 July 2019 04:45,1395,1459,Ireland
20,1 July 2019 05:00,1379,1495,Ireland
21,1 July 2019 05:15,1358,1556,Ireland
22,1 July 2019 05:30,1338,1536,Ireland
23,1 July 2019 05:45,1317,1537,Ireland
24,1 July 2019 06:00,1296,1642,Ireland
25,1 July 2019 06:15,1276,1576,Ireland
26,1 July 2019 06:30,1255,1623,Ireland
27,1 July 2019 06:45,1235,1541,Ireland
28,1 July 2019 07:00,1056,1622,Ireland
29,1 July 2019 07:15,1035,1533,Ireland
30,1 July 2019 07:30,1014,1539,Ireland
31,1 July 2019 07:45,993,1520,Ireland
32,1 July 2019 08:00,981,1519,Ireland
33,1 July 2019 08:15,978,1548,Ireland
34,1 July 2019 08:30,975,1491,Ireland
35,1 July 2019 08:45,972,1358,Ireland
36,1 July 2019 09:00,960,1417,Ireland
37,1 July 2019 09:15,937,1376,Ireland
38,1 July 2019 09:30,914,1402,Ireland
39,1 July 2019 09:45,892,1340,Ireland
40,1 July 2019 10:00,876,1349,Ireland
41,1 July 2019 10:15,866,1370,Ireland
42,1 July 2019 10:30,856,1366,Ireland
43,1 July 2019 10:45,847,1281,Ireland
44,1 July 2019 11:00,837,1290,Ireland
45,1 July 2019 11:15,826,1205,Ireland
46,1 July 2019 11:30,815,1143,Ireland
47,1 July 2019 11:45,805,1052,Ireland
48,1 July 2019 12:00,791,988,Ireland
49,1 July 2019 12:15,772,930,Ireland
50,1 July 2019 12:30,754,978,Ireland
51,1 July 2019 12:45,736,873,Ireland
52,1 July 2019 13:00,736,840,Ireland
53,1 July 2019 13:15,713,800,Ireland
54,1 July 2019 13:30,691,836,Ireland
55,1 July 2019 13:45,668,761,Ireland
56,1 July 2019 14:00,650,714,Ireland
57,1 July 2019 14:15,636,709,Ireland
58,1 July 2019 14:30,622,680,Ireland
59,1 July 2019 14:45,609,699,Ireland
60,1 July 2019 15:00,600,718,Ireland
61,1 July 2019 15:15,596,676,Ireland
62,1 July 2019 15:30,593,672,Ireland
63,1 July 2019 15:45,589,688,Ireland
64,1 July 2019 16:00,592,675,Ireland
65,1 July 2019 16:15,601,725,Ireland
66,1 July 2019 16:30,611,760,Ireland
67,1 July 2019 16:45,621,730,Ireland
68,1 July 2019 17:00,625,735,Ireland
69,1 July 2019 17:15,625,690,Ireland
70,1 July 2019 17:30,624,661,Ireland
71,1 July 2019 17:45,623,656,Ireland
72,1 July 2019 18:00,620,668,Ireland
73,1 July 2019 18:15,615,639,Ireland
74,1 July 2019 18:30,611,636,Ireland
75,1 July 2019 18:45,606,667,Ireland
76,1 July 2019 19:00,531,617,Ireland
77,1 July 2019 19:15,511,614,Ireland
78,1 July 2019 19:30,492,574,Ireland
79,1 July 2019 19:45,472,557,Ireland
80,1 July 2019 20:00,455,559,Ireland
81,1 July 2019 20:15,442,534,Ireland
82,1 July 2019 20:30,428,505,Ireland
83,1 July 2019 20:45,415,483,Ireland
84,1 July 2019 21:00,396,456,Ireland
85,1 July 2019 21:15,371,462,Ireland
86,1 July 2019 21:30,346,488,Ireland
87,1 July 2019 21:45,321,504,Ireland
88,1 July 2019 22:00,305,495,Ireland
89,1 July 2019 22:15,298,504,Ireland
90,1 July 2019 22:30,290,519,Ireland
91,1 July 2019 22:45,283,514,Ireland
92,1 July 2019 23:00,278,524,Ireland
93,1 July 2019 23:15,276,492,Ireland
94,1 July 2019 23:30,274,456,Ireland
95,1 July 2019 23:45,272,419,Ireland
96,2 July 2019 00:00,270,413,Ireland
97,2 July 2019 00:15,269,375,Ireland
98,2 July 2019 00:30,267,367,Ireland
99,2 July 2019 00:45,266,355,Ireland
100,2 July 2019 01:00,254,331,Ireland
101,2 July 2019 01:15,249,318,Ireland
102,2 July 2019 01:30,243,308,Ireland
103,2 July 2019 01:45,237,283,Ireland
104,2 July 2019 02:00,233,262,Ireland
105,2 July 2019 02:15,228,243,Ireland
106,2 July 2019 02:30,224,254,Ireland
107,2 July 2019 02:45,220,242,Ireland
108,2 July 2019 03:00,213,246,Ireland
109,2 July 2019 03:15,204,241,Ireland
110,2 July 2019 03:30,194,228,Ireland
111,2 July 2019 03:45,185,214,Ireland
112,2 July 2019 04:00,178,207,Ireland
113,2 July 2019 04:15,172,216,Ireland
114,2 July 2019 04:30,166,220,Ireland
115,2 July 2019 04:45,160,196,Ireland
116,2 July 2019 05:00,155,193,Ireland
117,2 July 2019 05:15,152,180,Ireland
118,2 July 2019 05:30,149,175,Ireland
119,2 July 2019 05:45,146,174,Ireland
120,2 July 2019 06:00,144,157,Ireland
