,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 August 2020 00:00,571,740,Ireland
1,1 August 2020 00:15,574,730,Ireland
2,1 August 2020 00:30,577,685,Ireland
3,1 August 2020 00:45,579,688,Ireland
4,1 August 2020 01:00,631,667,Ireland
5,1 August 2020 01:15,616,649,Ireland
6,1 August 2020 01:30,600,601,Ireland
7,1 August 2020 01:45,585,614,Ireland
8,1 August 2020 02:00,570,644,Ireland
9,1 August 2020 02:15,565,637,Ireland
10,1 August 2020 02:30,561,609,Ireland
11,1 August 2020 02:45,557,607,Ireland
12,1 August 2020 03:00,553,588,Ireland
13,1 August 2020 03:15,550,587,Ireland
14,1 August 2020 03:30,548,557,Ireland
15,1 August 2020 03:45,545,558,Ireland
16,1 August 2020 04:00,542,535,Ireland
17,1 August 2020 04:15,531,516,Ireland
18,1 August 2020 04:30,519,519,Ireland
19,1 August 2020 04:45,507,538,Ireland
20,1 August 2020 05:00,496,516,Ireland
21,1 August 2020 05:15,479,483,Ireland
22,1 August 2020 05:30,462,536,Ireland
23,1 August 2020 05:45,445,515,Ireland
24,1 August 2020 06:00,428,503,Ireland
25,1 August 2020 06:15,424,454,Ireland
26,1 August 2020 06:30,420,455,Ireland
27,1 August 2020 06:45,417,456,Ireland
28,1 August 2020 07:00,448,428,Ireland
29,1 August 2020 07:15,448,387,Ireland
30,1 August 2020 07:30,447,358,Ireland
31,1 August 2020 07:45,447,375,Ireland
32,1 August 2020 08:00,447,337,Ireland
33,1 August 2020 08:15,437,332,Ireland
34,1 August 2020 08:30,427,340,Ireland
35,1 August 2020 08:45,418,334,Ireland
36,1 August 2020 09:00,408,353,Ireland
37,1 August 2020 09:15,416,381,Ireland
38,1 August 2020 09:30,424,423,Ireland
39,1 August 2020 09:45,432,467,Ireland
40,1 August 2020 10:00,440,462,Ireland
41,1 August 2020 10:15,463,451,Ireland
42,1 August 2020 10:30,486,482,Ireland
43,1 August 2020 10:45,509,502,Ireland
44,1 August 2020 11:00,532,584,Ireland
45,1 August 2020 11:15,552,629,Ireland
46,1 August 2020 11:30,572,636,Ireland
47,1 August 2020 11:45,592,725,Ireland
48,1 August 2020 12:00,613,712,Ireland
49,1 August 2020 12:15,638,732,Ireland
50,1 August 2020 12:30,663,648,Ireland
51,1 August 2020 12:45,688,637,Ireland
52,1 August 2020 13:00,713,653,Ireland
53,1 August 2020 13:15,733,706,Ireland
54,1 August 2020 13:30,753,806,Ireland
55,1 August 2020 13:45,773,881,Ireland
56,1 August 2020 14:00,794,876,Ireland
57,1 August 2020 14:15,810,872,Ireland
58,1 August 2020 14:30,826,932,Ireland
59,1 August 2020 14:45,842,914,Ireland
60,1 August 2020 15:00,858,875,Ireland
61,1 August 2020 15:15,867,826,Ireland
62,1 August 2020 15:30,876,862,Ireland
63,1 August 2020 15:45,885,856,Ireland
64,1 August 2020 16:00,894,912,Ireland
65,1 August 2020 16:15,897,837,Ireland
66,1 August 2020 16:30,900,833,Ireland
67,1 August 2020 16:45,903,811,Ireland
68,1 August 2020 17:00,906,826,Ireland
69,1 August 2020 17:15,912,877,Ireland
70,1 August 2020 17:30,918,831,Ireland
71,1 August 2020 17:45,924,825,Ireland
72,1 August 2020 18:00,930,856,Ireland
73,1 August 2020 18:15,927,925,Ireland
74,1 August 2020 18:30,925,953,Ireland
75,1 August 2020 18:45,923,862,Ireland
76,1 August 2020 19:00,838,847,Ireland
77,1 August 2020 19:15,838,845,Ireland
78,1 August 2020 19:30,838,797,Ireland
79,1 August 2020 19:45,837,739,Ireland
80,1 August 2020 20:00,837,722,Ireland
81,1 August 2020 20:15,833,668,Ireland
82,1 August 2020 20:30,830,653,Ireland
83,1 August 2020 20:45,826,670,Ireland
84,1 August 2020 21:00,823,690,Ireland
85,1 August 2020 21:15,806,712,Ireland
86,1 August 2020 21:30,790,718,Ireland
87,1 August 2020 21:45,773,699,Ireland
88,1 August 2020 22:00,757,700,Ireland
89,1 August 2020 22:15,749,691,Ireland
90,1 August 2020 22:30,742,632,Ireland
91,1 August 2020 22:45,735,646,Ireland
92,1 August 2020 23:00,728,649,Ireland
93,1 August 2020 23:15,729,674,Ireland
94,1 August 2020 23:30,730,660,Ireland
95,1 August 2020 23:45,731,703,Ireland
96,2 August 2020 00:00,732,705,Ireland
97,2 August 2020 00:15,728,717,Ireland
98,2 August 2020 00:30,724,747,Ireland
99,2 August 2020 00:45,720,738,Ireland
100,2 August 2020 01:00,588,780,Ireland
