,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 December 2020 00:00,347,475,Ireland
1,1 December 2020 00:15,330,458,Ireland
2,1 December 2020 00:30,313,439,Ireland
3,1 December 2020 00:45,295,416,Ireland
4,1 December 2020 01:00,278,385,Ireland
5,1 December 2020 01:15,272,370,Ireland
6,1 December 2020 01:30,267,363,Ireland
7,1 December 2020 01:45,262,383,Ireland
8,1 December 2020 02:00,256,386,Ireland
9,1 December 2020 02:15,253,349,Ireland
10,1 December 2020 02:30,250,320,Ireland
11,1 December 2020 02:45,247,318,Ireland
12,1 December 2020 03:00,243,351,Ireland
13,1 December 2020 03:15,229,347,Ireland
14,1 December 2020 03:30,214,402,Ireland
15,1 December 2020 03:45,200,417,Ireland
16,1 December 2020 04:00,185,435,Ireland
17,1 December 2020 04:15,181,426,Ireland
18,1 December 2020 04:30,177,405,Ireland
19,1 December 2020 04:45,174,417,Ireland
20,1 December 2020 05:00,170,436,Ireland
21,1 December 2020 05:15,168,425,Ireland
22,1 December 2020 05:30,166,431,Ireland
23,1 December 2020 05:45,164,474,Ireland
24,1 December 2020 06:00,263,493,Ireland
25,1 December 2020 06:15,267,514,Ireland
26,1 December 2020 06:30,270,552,Ireland
27,1 December 2020 06:45,274,578,Ireland
28,1 December 2020 07:00,277,583,Ireland
29,1 December 2020 07:15,284,605,Ireland
30,1 December 2020 07:30,291,608,Ireland
31,1 December 2020 07:45,299,593,Ireland
32,1 December 2020 08:00,306,597,Ireland
33,1 December 2020 08:15,314,567,Ireland
34,1 December 2020 08:30,322,504,Ireland
35,1 December 2020 08:45,330,455,Ireland
36,1 December 2020 09:00,338,451,Ireland
37,1 December 2020 09:15,345,452,Ireland
38,1 December 2020 09:30,352,420,Ireland
39,1 December 2020 09:45,358,412,Ireland
40,1 December 2020 10:00,365,411,Ireland
41,1 December 2020 10:15,378,414,Ireland
42,1 December 2020 10:30,391,427,Ireland
43,1 December 2020 10:45,404,400,Ireland
44,1 December 2020 11:00,417,372,Ireland
45,1 December 2020 11:15,413,380,Ireland
46,1 December 2020 11:30,409,369,Ireland
47,1 December 2020 11:45,405,361,Ireland
48,1 December 2020 12:00,523,380,Ireland
49,1 December 2020 12:15,521,405,Ireland
50,1 December 2020 12:30,520,423,Ireland
51,1 December 2020 12:45,518,439,Ireland
52,1 December 2020 13:00,516,453,Ireland
53,1 December 2020 13:15,512,473,Ireland
54,1 December 2020 13:30,508,485,Ireland
55,1 December 2020 13:45,504,518,Ireland
56,1 December 2020 14:00,500,569,Ireland
57,1 December 2020 14:15,499,596,Ireland
58,1 December 2020 14:30,499,619,Ireland
59,1 December 2020 14:45,498,648,Ireland
60,1 December 2020 15:00,497,693,Ireland
61,1 December 2020 15:15,495,766,Ireland
62,1 December 2020 15:30,493,842,Ireland
63,1 December 2020 15:45,490,905,Ireland
64,1 December 2020 16:00,488,947,Ireland
65,1 December 2020 16:15,502,1011,Ireland
66,1 December 2020 16:30,515,1047,Ireland
67,1 December 2020 16:45,529,1110,Ireland
68,1 December 2020 17:00,543,1183,Ireland
69,1 December 2020 17:15,579,1251,Ireland
70,1 December 2020 17:30,615,1352,Ireland
71,1 December 2020 17:45,652,1454,Ireland
72,1 December 2020 18:00,759,1492,Ireland
73,1 December 2020 18:15,805,1478,Ireland
74,1 December 2020 18:30,851,1467,Ireland
75,1 December 2020 18:45,897,1508,Ireland
76,1 December 2020 19:00,943,1497,Ireland
77,1 December 2020 19:15,963,1583,Ireland
78,1 December 2020 19:30,984,1623,Ireland
79,1 December 2020 19:45,1004,1606,Ireland
80,1 December 2020 20:00,1025,1590,Ireland
81,1 December 2020 20:15,1000,1585,Ireland
82,1 December 2020 20:30,975,1619,Ireland
83,1 December 2020 20:45,950,1606,Ireland
84,1 December 2020 21:00,925,1573,Ireland
85,1 December 2020 21:15,916,1555,Ireland
86,1 December 2020 21:30,907,1566,Ireland
87,1 December 2020 21:45,897,1466,Ireland
88,1 December 2020 22:00,888,1501,Ireland
89,1 December 2020 22:15,916,1462,Ireland
90,1 December 2020 22:30,945,1436,Ireland
91,1 December 2020 22:45,974,1418,Ireland
92,1 December 2020 23:00,1003,1478,Ireland
93,1 December 2020 23:15,1050,1541,Ireland
94,1 December 2020 23:30,1097,1520,Ireland
95,1 December 2020 23:45,1145,1556,Ireland
96,2 December 2020 00:00,1192,1533,Ireland
97,2 December 2020 00:15,1229,1590,Ireland
98,2 December 2020 00:30,1266,1582,Ireland
99,2 December 2020 00:45,1303,1653,Ireland
100,2 December 2020 01:00,1340,1754,Ireland
101,2 December 2020 01:15,1375,1753,Ireland
102,2 December 2020 01:30,1410,1676,Ireland
103,2 December 2020 01:45,1446,1732,Ireland
104,2 December 2020 02:00,1481,1705,Ireland
105,2 December 2020 02:15,1537,1624,Ireland
106,2 December 2020 02:30,1593,1506,Ireland
107,2 December 2020 02:45,1649,1500,Ireland
108,2 December 2020 03:00,1705,1413,Ireland
109,2 December 2020 03:15,1738,1441,Ireland
110,2 December 2020 03:30,1770,1477,Ireland
111,2 December 2020 03:45,1803,1429,Ireland
112,2 December 2020 04:00,1836,1557,Ireland
113,2 December 2020 04:15,1831,1621,Ireland
114,2 December 2020 04:30,1826,1717,Ireland
115,2 December 2020 04:45,1821,1763,Ireland
116,2 December 2020 05:00,1816,1763,Ireland
117,2 December 2020 05:15,1799,1731,Ireland
118,2 December 2020 05:30,1782,1627,Ireland
119,2 December 2020 05:45,1765,1629,Ireland
120,2 December 2020 06:00,1696,1639,Ireland
121,2 December 2020 06:15,1731,1508,Ireland
122,2 December 2020 06:30,1765,1579,Ireland
123,2 December 2020 06:45,1800,1687,Ireland
124,2 December 2020 07:00,1835,1729,Ireland
125,2 December 2020 07:15,1851,1761,Ireland
126,2 December 2020 07:30,1868,1712,Ireland
127,2 December 2020 07:45,1885,1645,Ireland
128,2 December 2020 08:00,1901,1721,Ireland
129,2 December 2020 08:15,1871,1700,Ireland
130,2 December 2020 08:30,1841,1742,Ireland
131,2 December 2020 08:45,1812,1801,Ireland
132,2 December 2020 09:00,1782,1658,Ireland
133,2 December 2020 09:15,1799,1681,Ireland
134,2 December 2020 09:30,1816,1907,Ireland
135,2 December 2020 09:45,1833,1704,Ireland
136,2 December 2020 10:00,1851,1693,Ireland
137,2 December 2020 10:15,1863,1704,Ireland
138,2 December 2020 10:30,1876,1680,Ireland
139,2 December 2020 10:45,1889,1585,Ireland
140,2 December 2020 11:00,1902,1569,Ireland
141,2 December 2020 11:15,1921,1654,Ireland
142,2 December 2020 11:30,1941,1606,Ireland
143,2 December 2020 11:45,1960,1691,Ireland
144,2 December 2020 12:00,1748,1880,Ireland
145,2 December 2020 12:15,1792,1969,Ireland
146,2 December 2020 12:30,1836,1968,Ireland
147,2 December 2020 12:45,1879,1917,Ireland
148,2 December 2020 13:00,1923,1940,Ireland
149,2 December 2020 13:15,1942,1970,Ireland
150,2 December 2020 13:30,1961,1966,Ireland
151,2 December 2020 13:45,1980,2133,Ireland
152,2 December 2020 14:00,1999,2131,Ireland
153,2 December 2020 14:15,2015,2083,Ireland
154,2 December 2020 14:30,2030,2145,Ireland
155,2 December 2020 14:45,2046,2047,Ireland
156,2 December 2020 15:00,2061,2006,Ireland
157,2 December 2020 15:15,2120,2036,Ireland
158,2 December 2020 15:30,2179,2055,Ireland
159,2 December 2020 15:45,2238,1992,Ireland
160,2 December 2020 16:00,2297,2028,Ireland
161,2 December 2020 16:15,2291,2035,Ireland
162,2 December 2020 16:30,2284,2152,Ireland
163,2 December 2020 16:45,2278,2056,Ireland
164,2 December 2020 17:00,2272,2186,Ireland
165,2 December 2020 17:15,2281,2160,Ireland
166,2 December 2020 17:30,2290,2219,Ireland
167,2 December 2020 17:45,2298,2215,Ireland
168,2 December 2020 18:00,2118,2142,Ireland
169,2 December 2020 18:15,2141,2192,Ireland
170,2 December 2020 18:30,2164,2152,Ireland
171,2 December 2020 18:45,2187,2026,Ireland
172,2 December 2020 19:00,2211,2004,Ireland
173,2 December 2020 19:15,2229,2100,Ireland
174,2 December 2020 19:30,2248,2157,Ireland
175,2 December 2020 19:45,2267,2021,Ireland
176,2 December 2020 20:00,2286,2011,Ireland
177,2 December 2020 20:15,2299,2110,Ireland
178,2 December 2020 20:30,2311,2142,Ireland
179,2 December 2020 20:45,2324,2068,Ireland
180,2 December 2020 21:00,2337,2054,Ireland
181,2 December 2020 21:15,2332,2010,Ireland
182,2 December 2020 21:30,2327,2019,Ireland
183,2 December 2020 21:45,2322,2043,Ireland
184,2 December 2020 22:00,2316,2014,Ireland
185,2 December 2020 22:15,2313,1952,Ireland
186,2 December 2020 22:30,2309,1962,Ireland
187,2 December 2020 22:45,2306,1991,Ireland
188,2 December 2020 23:00,2302,2023,Ireland
189,2 December 2020 23:15,2287,2031,Ireland
190,2 December 2020 23:30,2273,1888,Ireland
191,2 December 2020 23:45,2258,1973,Ireland
192,3 December 2020 00:00,2093,1928,Ireland
193,3 December 2020 00:15,2053,1871,Ireland
194,3 December 2020 00:30,2014,1827,Ireland
195,3 December 2020 00:45,1974,1890,Ireland
196,3 December 2020 01:00,1934,1602,Ireland
197,3 December 2020 01:15,1881,1637,Ireland
198,3 December 2020 01:30,1827,1425,Ireland
199,3 December 2020 01:45,1774,1376,Ireland
200,3 December 2020 02:00,1720,1273,Ireland
201,3 December 2020 02:15,1696,1158,Ireland
202,3 December 2020 02:30,1673,968,Ireland
203,3 December 2020 02:45,1649,869,Ireland
204,3 December 2020 03:00,1625,853,Ireland
205,3 December 2020 03:15,1583,881,Ireland
206,3 December 2020 03:30,1541,842,Ireland
207,3 December 2020 03:45,1498,752,Ireland
208,3 December 2020 04:00,1456,722,Ireland
209,3 December 2020 04:15,1410,664,Ireland
210,3 December 2020 04:30,1363,688,Ireland
211,3 December 2020 04:45,1316,617,Ireland
212,3 December 2020 05:00,1270,599,Ireland
213,3 December 2020 05:15,1224,610,Ireland
214,3 December 2020 05:30,1179,526,Ireland
215,3 December 2020 05:45,1133,479,Ireland
216,3 December 2020 06:00,1027,495,Ireland
217,3 December 2020 06:15,983,506,Ireland
218,3 December 2020 06:30,940,429,Ireland
219,3 December 2020 06:45,896,385,Ireland
220,3 December 2020 07:00,852,407,Ireland
221,3 December 2020 07:15,850,370,Ireland
222,3 December 2020 07:30,849,367,Ireland
223,3 December 2020 07:45,847,366,Ireland
224,3 December 2020 08:00,845,360,Ireland
225,3 December 2020 08:15,864,312,Ireland
226,3 December 2020 08:30,883,293,Ireland
227,3 December 2020 08:45,903,305,Ireland
228,3 December 2020 09:00,922,270,Ireland
229,3 December 2020 09:15,941,301,Ireland
230,3 December 2020 09:30,960,392,Ireland
231,3 December 2020 09:45,979,423,Ireland
232,3 December 2020 10:00,998,488,Ireland
233,3 December 2020 10:15,1022,478,Ireland
