,DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
0,1 March 2020 00:00,3500,2376,Ireland
1,1 March 2020 00:15,3479,2488,Ireland
2,1 March 2020 00:30,3457,2432,Ireland
3,1 March 2020 00:45,3436,2383,Ireland
4,1 March 2020 01:00,3415,2315,Ireland
5,1 March 2020 01:15,3399,2316,Ireland
6,1 March 2020 01:30,3382,2299,Ireland
7,1 March 2020 01:45,3366,2314,Ireland
8,1 March 2020 02:00,3350,2300,Ireland
9,1 March 2020 02:15,3338,2252,Ireland
10,1 March 2020 02:30,3325,2231,Ireland
11,1 March 2020 02:45,3313,2081,Ireland
12,1 March 2020 03:00,3300,2039,Ireland
13,1 March 2020 03:15,3271,2029,Ireland
14,1 March 2020 03:30,3241,2006,Ireland
15,1 March 2020 03:45,3211,1985,Ireland
16,1 March 2020 04:00,3181,2016,Ireland
17,1 March 2020 04:15,3149,2009,Ireland
18,1 March 2020 04:30,3118,1987,Ireland
19,1 March 2020 04:45,3087,1970,Ireland
20,1 March 2020 05:00,3055,1979,Ireland
21,1 March 2020 05:15,3014,1990,Ireland
22,1 March 2020 05:30,2973,1933,Ireland
23,1 March 2020 05:45,2933,1932,Ireland
24,1 March 2020 06:00,2908,1926,Ireland
25,1 March 2020 06:15,2871,1883,Ireland
26,1 March 2020 06:30,2833,1874,Ireland
27,1 March 2020 06:45,2795,1829,Ireland
28,1 March 2020 07:00,2758,1835,Ireland
29,1 March 2020 07:15,2734,1805,Ireland
30,1 March 2020 07:30,2710,1850,Ireland
31,1 March 2020 07:45,2686,1923,Ireland
32,1 March 2020 08:00,2663,1936,Ireland
33,1 March 2020 08:15,2663,1963,Ireland
34,1 March 2020 08:30,2664,1991,Ireland
35,1 March 2020 08:45,2665,2023,Ireland
36,1 March 2020 09:00,2666,1984,Ireland
37,1 March 2020 09:15,2681,2010,Ireland
38,1 March 2020 09:30,2696,2090,Ireland
39,1 March 2020 09:45,2711,2139,Ireland
40,1 March 2020 10:00,2725,2282,Ireland
41,1 March 2020 10:15,2735,2286,Ireland
42,1 March 2020 10:30,2744,2334,Ireland
43,1 March 2020 10:45,2753,2315,Ireland
44,1 March 2020 11:00,2762,2322,Ireland
45,1 March 2020 11:15,2732,2297,Ireland
46,1 March 2020 11:30,2701,2345,Ireland
47,1 March 2020 11:45,2671,2382,Ireland
48,1 March 2020 12:00,2633,2383,Ireland
49,1 March 2020 12:15,2600,2526,Ireland
50,1 March 2020 12:30,2566,2491,Ireland
51,1 March 2020 12:45,2533,2337,Ireland
52,1 March 2020 13:00,2499,2443,Ireland
53,1 March 2020 13:15,2446,2515,Ireland
54,1 March 2020 13:30,2394,2311,Ireland
55,1 March 2020 13:45,2341,2241,Ireland
56,1 March 2020 14:00,2288,2282,Ireland
57,1 March 2020 14:15,2238,2279,Ireland
58,1 March 2020 14:30,2189,2289,Ireland
59,1 March 2020 14:45,2139,2102,Ireland
60,1 March 2020 15:00,2089,2115,Ireland
61,1 March 2020 15:15,2051,2103,Ireland
62,1 March 2020 15:30,2012,1973,Ireland
63,1 March 2020 15:45,1974,1848,Ireland
64,1 March 2020 16:00,1935,1826,Ireland
65,1 March 2020 16:15,1895,1857,Ireland
66,1 March 2020 16:30,1856,1829,Ireland
67,1 March 2020 16:45,1816,1463,Ireland
68,1 March 2020 17:00,1776,1396,Ireland
69,1 March 2020 17:15,1731,1293,Ireland
70,1 March 2020 17:30,1686,1298,Ireland
71,1 March 2020 17:45,1641,1308,Ireland
72,1 March 2020 18:00,1369,1247,Ireland
73,1 March 2020 18:15,1320,1350,Ireland
74,1 March 2020 18:30,1271,1241,Ireland
75,1 March 2020 18:45,1222,1186,Ireland
76,1 March 2020 19:00,1173,1187,Ireland
77,1 March 2020 19:15,1168,1167,Ireland
78,1 March 2020 19:30,1163,1196,Ireland
79,1 March 2020 19:45,1158,1164,Ireland
80,1 March 2020 20:00,1153,1059,Ireland
81,1 March 2020 20:15,1157,1047,Ireland
82,1 March 2020 20:30,1161,1069,Ireland
83,1 March 2020 20:45,1164,1140,Ireland
84,1 March 2020 21:00,1168,1058,Ireland
85,1 March 2020 21:15,1194,1083,Ireland
86,1 March 2020 21:30,1221,1064,Ireland
87,1 March 2020 21:45,1247,1081,Ireland
88,1 March 2020 22:00,1273,1084,Ireland
89,1 March 2020 22:15,1289,1054,Ireland
90,1 March 2020 22:30,1304,1117,Ireland
91,1 March 2020 22:45,1320,1174,Ireland
92,1 March 2020 23:00,1335,1241,Ireland
93,1 March 2020 23:15,1349,1218,Ireland
94,1 March 2020 23:30,1364,1226,Ireland
95,1 March 2020 23:45,1378,1283,Ireland
96,2 March 2020 00:00,1343,1268,Ireland
97,2 March 2020 00:15,1345,1325,Ireland
98,2 March 2020 00:30,1347,1285,Ireland
99,2 March 2020 00:45,1349,1287,Ireland
100,2 March 2020 01:00,1350,1390,Ireland
101,2 March 2020 01:15,1372,1391,Ireland
102,2 March 2020 01:30,1393,1409,Ireland
103,2 March 2020 01:45,1414,1389,Ireland
104,2 March 2020 02:00,1436,1496,Ireland
105,2 March 2020 02:15,1451,1551,Ireland
106,2 March 2020 02:30,1465,1554,Ireland
107,2 March 2020 02:45,1480,1595,Ireland
108,2 March 2020 03:00,1495,1570,Ireland
109,2 March 2020 03:15,1516,1630,Ireland
110,2 March 2020 03:30,1538,1585,Ireland
111,2 March 2020 03:45,1559,1497,Ireland
112,2 March 2020 04:00,1580,1577,Ireland
113,2 March 2020 04:15,1577,1751,Ireland
114,2 March 2020 04:30,1574,1773,Ireland
115,2 March 2020 04:45,1571,1723,Ireland
116,2 March 2020 05:00,1567,1567,Ireland
117,2 March 2020 05:15,1574,1613,Ireland
118,2 March 2020 05:30,1580,1522,Ireland
119,2 March 2020 05:45,1587,1412,Ireland
120,2 March 2020 06:00,1707,1473,Ireland
121,2 March 2020 06:15,1700,1535,Ireland
122,2 March 2020 06:30,1694,1730,Ireland
123,2 March 2020 06:45,1688,1731,Ireland
124,2 March 2020 07:00,1681,1798,Ireland
125,2 March 2020 07:15,1699,1837,Ireland
126,2 March 2020 07:30,1717,1771,Ireland
127,2 March 2020 07:45,1735,1622,Ireland
128,2 March 2020 08:00,1752,1666,Ireland
129,2 March 2020 08:15,1788,1574,Ireland
130,2 March 2020 08:30,1824,1649,Ireland
131,2 March 2020 08:45,1859,1657,Ireland
132,2 March 2020 09:00,1895,1720,Ireland
133,2 March 2020 09:15,1960,1652,Ireland
134,2 March 2020 09:30,2024,1552,Ireland
135,2 March 2020 09:45,2089,1520,Ireland
136,2 March 2020 10:00,2154,1503,Ireland
