#,Feature,Non-Null,Dtype,Source,Attribute,Unit,Comments,Colab file,Source,WWW,Google Drive path
0,Unnamed:,35813,int64,DO NOT USE,,-,This column should be removed,ScrapeEirGridData.ipynb,EirGrid,https://smartgriddashboard.eirgrid.com/,EirGrid/ROI
1,date,35813,datetime64[ns],Multiple,Hour:minute:seconds,Date,Date Time,,,,
2,ind_BEL,35813,int64,Weather,Belmullet Station,Number/Numeric,Identifier of measurement station in Belmullet Airport,1_weather-data-prep.ipynb,Met.ie,https://data.gov.ie/dataset/cork-airport-hourly-data,Key to hourly data: https://data.gov.ie/dataset/cork-airport-hourly-data/resource/088ccc28-e687-47b1-bb9b-2f555d9d11be Hourly Element
3,rain_BEL,35813,float64,Weather,Belmullet Station,mm (milimeters),Precipitation Amount in Belmullet Airport,1_weather-data-prep.ipynb,,,
4,ind.1_BEL,35813,int64,Weather,Belmullet Station,Number/Numeric,Identifier of measurement station in Belmullet Airport,1_weather-data-prep.ipynb,,,
5,temp_BEL,35813,float64,Weather,Belmullet Station,°C (Celsius),Air Temperature in Belmullet,1_weather-data-prep.ipynb,,,
6,ind.2_BEL,35813,int64,Weather,Belmullet Station,Number/Numeric,Identifier of measurement station in Belmullet Airport,1_weather-data-prep.ipynb,,,
7,wetb_BEL,35813,float64,Weather,Belmullet Station,°C (Celsius),Wet Bulb Air Temperature in Belmullet,1_weather-data-prep.ipynb,,,
8,dewpt_BEL,35813,float64,Weather,Belmullet Station,°C (Celsius),Dew Point Air Temperature in Belmullet,1_weather-data-prep.ipynb,,,
9,vappr_BEL,35813,float64,Weather,Belmullet Station,hPa (Hectopascal),Vapour Pressure in Belmullet,1_weather-data-prep.ipynb,,,
10,rhum_BEL,35813,int64,Weather,Belmullet Station,%,Relative Humidity in Belmullet,1_weather-data-prep.ipynb,,,
11,msl_BEL,35813,float64,Weather,Belmullet Station,hPa (Hectopascal),Mean Sea Level Pressure in Belmullet,1_weather-data-prep.ipynb,,,
12,ind.3_BEL,35813,int64,Weather,Belmullet Station,Number/Numeric,Identifier of measurement station in Belmullet Airport,1_weather-data-prep.ipynb,,,
13,wdsp_BEL,35813,int64,Weather,Belmullet Station,kt (knot),Mean Hourly Wind Speed in Belmullet,1_weather-data-prep.ipynb,,,
14,ind.4_BEL,35813,int64,Weather,Belmullet Station,Number/Numeric,Identifier of measurement station in Belmullet Airport,1_weather-data-prep.ipynb,,,
15,wddir_BEL,35813,int64,Weather,Belmullet Station,kt (knot),Predominant Hourly wind Direction in Belmullet,1_weather-data-prep.ipynb,,,
16,ww_BEL,35813,object,Weather,Belmullet Station,Decode in legend,Synop Code Present Weather in Belmullet,1_weather-data-prep.ipynb,,,
17,w_BEL,35813,object,Weather,Belmullet Station,Decode in legend,Synop Code Past Weather in Belmullet,1_weather-data-prep.ipynb,,,
18,sun_BEL,35813,object,Weather,Belmullet Station,h (hours),Sunshine duration in Belmullet,1_weather-data-prep.ipynb,,,
19,vis_BEL,35813,object,Weather,Belmullet Station,m (meters),Visibility in Belmullet,1_weather-data-prep.ipynb,,,
20,clht_BEL,35813,object,Weather,Belmullet Station,100s feet        ,Cloud Ceiling Height in Belmullet,1_weather-data-prep.ipynb,,,
